time,code,class
23.225,right_zone,1
110.512,lower_right_interaction,1
121.022,lower_left_interaction,1
136.638,upper_left_interaction,1
139.708,lower_left_interaction,1
149.95,upper_left_interaction,1
152.253,upper_right_interaction,1
160.195,upper_left_interaction,1
160.962,upper_right_interaction,1
164.799,right_zone,1
166.835,lower_right_interaction,1
168.902,upper_right_interaction,1
175.043,lower_right_interaction,1
175.809,upper_right_interaction,1
205.745,lower_right_interaction,1
208.069,lower_left_interaction,1
210.611,lower_right_interaction,1
212.146,lower_left_interaction,1
214.982,left_zone,1
222.149,upper_left_interaction,1
225.221,upper_right_interaction,1
239.54,upper_left_interaction,1
240.574,upper_right_interaction,1
243.644,upper_left_interaction,1
244.411,upper_right_interaction,1
245.179,lower_right_interaction,1
246.447,center,1
889.319,END,0
