time,code,class
31.199,right_zone,1
461.829,upper_right_interaction,1
463.236,upper_left_interaction,1
463.963,left_zone,1
715.182,lower_left_interaction,1
716.955,lower_right_interaction,1
718.052,right_zone,1
727.558,lower_right_interaction,1
728.176,upper_right_interaction,1
728.795,upper_left_interaction,1
739.954,upper_right_interaction,1
744.923,lower_right_interaction,1
751.452,upper_right_interaction,1
755.206,upper_left_interaction,1
756.123,upper_right_interaction,1
758.917,upper_left_interaction,1
766.043,upper_right_interaction,1
767.58,lower_right_interaction,1
772.848,upper_right_interaction,1
774.085,lower_right_interaction,1
779.035,lower_left_interaction,1
786.459,upper_left_interaction,1
796.059,upper_right_interaction,1
800.4,lower_right_interaction,1
805.371,upper_right_interaction,1
807.541,upper_left_interaction,1
824.603,upper_right_interaction,1
835.121,upper_left_interaction,1
835.434,left_zone,1
893.459,END,0
