time,code,class
26.726,right_zone,1
27.227,lower_right_interaction,1
36.703,lower_left_interaction,1
45.147,upper_left_interaction,1
52.587,upper_right_interaction,1
56.156,lower_right_interaction,1
63.331,lower_left_interaction,1
64.364,lower_right_interaction,1
65.131,lower_left_interaction,1
70.505,lower_right_interaction,1
74.608,lower_left_interaction,1
78.945,upper_left_interaction,1
86.119,center,1
131.164,lower_left_interaction,1
132.198,upper_left_interaction,1
133.466,lower_left_interaction,1
150.885,lower_right_interaction,1
153.453,lower_left_interaction,1
155.488,upper_left_interaction,1
157.532,upper_right_interaction,1
160.623,right_zone,1
162.159,lower_right_interaction,1
165.466,lower_left_interaction,1
166.499,left_zone,1
172.906,upper_left_interaction,1
177.243,lower_left_interaction,1
178.779,lower_right_interaction,1
183.918,upper_right_interaction,1
185.69,lower_right_interaction,1
187.227,upper_right_interaction,1
190.557,lower_right_interaction,1
194.927,lower_left_interaction,1
203.871,lower_right_interaction,1
204.904,upper_right_interaction,1
211.812,upper_left_interaction,1
213.851,upper_right_interaction,1
220.015,upper_left_interaction,1
220.784,upper_right_interaction,1
224.09,upper_left_interaction,1
233.833,upper_right_interaction,1
238.704,upper_left_interaction,1
239.974,upper_right_interaction,1
243.81,upper_left_interaction,1
253.019,left_zone,1
257.626,lower_left_interaction,1
258.658,upper_left_interaction,1
261.467,lower_left_interaction,1
262.235,upper_left_interaction,1
263.53,center,1
301.936,lower_left_interaction,1
302.435,lower_right_interaction,1
302.939,upper_right_interaction,1
303.97,upper_left_interaction,1
304.237,upper_right_interaction,1
315.483,upper_left_interaction,1
320.62,lower_left_interaction,1
345.711,upper_left_interaction,1
381.548,center,1
406.234,lower_right_interaction,1
410.074,upper_right_interaction,1
412.613,lower_right_interaction,1
413.915,upper_right_interaction,1
417.99,right_zone,1
425.158,upper_right_interaction,1
428.23,lower_right_interaction,1
428.997,right_zone,1
430.797,upper_right_interaction,1
431.064,lower_right_interaction,1
431.301,lower_left_interaction,1
435.142,center,1
470.737,upper_left_interaction,1
488.922,lower_left_interaction,1
497.097,lower_right_interaction,1
503.237,lower_left_interaction,1
510.938,lower_right_interaction,1
512.474,lower_left_interaction,1
516.816,lower_right_interaction,1
540.106,upper_right_interaction,1
542.409,lower_right_interaction,1
552.921,lower_left_interaction,1
553.688,lower_right_interaction,1
555.99,lower_left_interaction,1
559.059,lower_right_interaction,1
566.232,right_zone,1
573.907,lower_right_interaction,1
577.745,right_zone,1
580.047,lower_right_interaction,1
580.55,upper_right_interaction,1
582.615,upper_left_interaction,1
583.117,left_zone,1
585.158,upper_left_interaction,1
587.483,center,1
683.483,upper_left_interaction,1
684.751,lower_left_interaction,1
685.786,left_zone,1
695.762,lower_left_interaction,1
700.366,upper_left_interaction,1
710.107,center,1
734.167,upper_left_interaction,1
754.387,center,1
788.187,lower_right_interaction,1
792.262,upper_right_interaction,1
793.56,right_zone,1
795.863,upper_right_interaction,1
802.001,lower_right_interaction,1
802.77,lower_left_interaction,1
803.536,left_zone,1
807.109,upper_left_interaction,1
809.414,center,1
861.127,upper_right_interaction,1
870.603,center,1
904.905,END,0
