time,code,class
20.487,right_zone,1
21.255,lower_right_interaction,1
21.786,upper_right_interaction,1
22.554,lower_right_interaction,1
26.127,upper_right_interaction,1
31.765,lower_right_interaction,1
42.009,lower_left_interaction,1
49.683,lower_right_interaction,1
52.25,lower_left_interaction,1
56.326,lower_right_interaction,1
59.397,upper_right_interaction,1
62.229,lower_right_interaction,1
67.098,upper_right_interaction,1
70.938,lower_right_interaction,1
80.147,upper_right_interaction,1
81.178,upper_left_interaction,1
95.763,lower_left_interaction,1
99.6,lower_right_interaction,1
108.57,lower_left_interaction,1
116.25,lower_right_interaction,1
119.052,lower_left_interaction,1
120.326,lower_right_interaction,1
123.924,right_zone,1
129.798,upper_right_interaction,1
136.471,upper_left_interaction,1
139.539,upper_right_interaction,1
140.807,center,1
151.319,upper_left_interaction,1
153.353,upper_right_interaction,1
158.725,lower_right_interaction,1
161.563,lower_left_interaction,1
164.102,upper_left_interaction,1
168.469,center,1
181.515,upper_left_interaction,1
182.283,upper_right_interaction,1
183.817,upper_left_interaction,1
186.65,lower_left_interaction,1
187.921,lower_right_interaction,1
188.954,right_zone,1
196.63,lower_right_interaction,1
202.266,center,1
245.512,lower_right_interaction,1
246.042,lower_left_interaction,1
248.347,left_zone,1
253.189,upper_left_interaction,1
268.568,lower_left_interaction,1
269.837,upper_left_interaction,1
273.673,lower_left_interaction,1
280.347,lower_right_interaction,1
281.883,upper_right_interaction,1
291.091,right_zone,1
301.835,lower_right_interaction,1
302.869,lower_left_interaction,1
308.241,center,1
361.733,lower_left_interaction,1
363.03,lower_right_interaction,1
364.565,upper_right_interaction,1
367.634,right_zone,1
374.541,lower_right_interaction,1
376.077,center,1
425.754,upper_left_interaction,1
429.594,upper_right_interaction,1
432.399,right_zone,1
435.206,lower_right_interaction,1
443.41,lower_left_interaction,1
443.911,left_zone,1
450.054,lower_left_interaction,1
451.588,left_zone,1
454.922,lower_left_interaction,1
455.957,upper_left_interaction,1
456.457,lower_left_interaction,1
457.225,lower_right_interaction,1
457.754,right_zone,1
460.56,lower_right_interaction,1
461.83,center,1
467.734,upper_left_interaction,1
469.769,left_zone,1
477.445,upper_left_interaction,1
480.014,upper_right_interaction,1
481.815,right_zone,1
484.379,lower_right_interaction,1
486.92,right_zone,1
491.29,lower_right_interaction,1
503.834,lower_left_interaction,1
504.838,lower_right_interaction,1
511.748,upper_right_interaction,1
516.378,upper_left_interaction,1
517.651,upper_right_interaction,1
518.682,upper_left_interaction,1
523.525,lower_left_interaction,1
526.598,left_zone,1
530.965,upper_left_interaction,1
536.838,lower_left_interaction,1
537.871,lower_right_interaction,1
538.905,right_zone,1
545.813,lower_right_interaction,1
548.615,lower_left_interaction,1
549.649,center,1
584.718,lower_right_interaction,1
592.923,lower_left_interaction,1
594.694,lower_right_interaction,1
596.762,right_zone,1
600.6,upper_right_interaction,1
604.17,upper_left_interaction,1
613.382,upper_right_interaction,1
614.15,upper_left_interaction,1
615.181,upper_right_interaction,1
617.989,upper_left_interaction,1
628.229,center,1
682.249,upper_right_interaction,1
683.016,right_zone,1
688.389,upper_right_interaction,1
689.158,upper_left_interaction,1
690.19,left_zone,1
691.225,upper_left_interaction,1
691.724,upper_right_interaction,1
692.759,lower_right_interaction,1
692.997,upper_right_interaction,1
693.26,upper_left_interaction,1
693.766,left_zone,1
696.33,lower_left_interaction,1
697.626,left_zone,1
698.898,lower_left_interaction,1
700.166,left_zone,1
700.934,lower_left_interaction,1
701.702,lower_right_interaction,1
704.006,right_zone,1
704.774,lower_right_interaction,1
705.542,lower_left_interaction,1
707.608,lower_right_interaction,1
708.875,lower_left_interaction,1
709.642,center,1
711.178,lower_left_interaction,1
711.946,left_zone,1
714.01,lower_left_interaction,1
715.546,lower_right_interaction,1
718.852,upper_right_interaction,1
719.385,right_zone,1
721.157,upper_right_interaction,1
724.757,lower_right_interaction,1
725.259,center,1
741.908,lower_right_interaction,1
750.618,lower_left_interaction,1
751.62,left_zone,1
753.158,upper_left_interaction,1
759.322,lower_left_interaction,1
760.858,lower_right_interaction,1
761.361,right_zone,1
779.781,lower_right_interaction,1
780.313,right_zone,1
783.384,lower_right_interaction,1
785.418,right_zone,1
786.452,lower_right_interaction,1
787.221,upper_right_interaction,1
788.756,right_zone,1
789.523,upper_right_interaction,1
790.29,upper_left_interaction,1
790.554,left_zone,1
793.626,upper_left_interaction,1
794.127,lower_left_interaction,1
794.894,left_zone,1
795.397,lower_left_interaction,1
795.93,lower_right_interaction,1
797.964,center,1
812.549,lower_left_interaction,1
817.178,center,1
825.391,END,0
