time,code,class
48.453,right_zone,1
49.073,lower_right_interaction,1
49.69,lower_left_interaction,1
52.784,lower_right_interaction,1
54.021,lower_left_interaction,1
56.817,upper_left_interaction,1
58.991,upper_right_interaction,1
60.227,upper_left_interaction,1
63.331,upper_right_interaction,1
67.675,lower_right_interaction,1
68.301,lower_left_interaction,1
69.212,upper_left_interaction,1
76.678,lower_left_interaction,1
95.263,upper_left_interaction,1
96.198,left_zone,1
124.06,lower_left_interaction,1
128.395,lower_right_interaction,1
133.668,lower_left_interaction,1
134.903,upper_left_interaction,1
138.949,upper_right_interaction,1
142.96,lower_right_interaction,1
145.457,lower_left_interaction,1
148.23,left_zone,1
149.169,upper_left_interaction,1
152.902,upper_right_interaction,1
155.389,right_zone,1
160.902,lower_right_interaction,1
162.906,lower_left_interaction,1
163.567,left_zone,1
240.644,lower_left_interaction,1
240.975,lower_right_interaction,1
243.977,lower_left_interaction,1
244.655,upper_left_interaction,1
248.325,upper_right_interaction,1
249.989,upper_left_interaction,1
250.992,center,1
271.672,lower_left_interaction,1
272.672,upper_left_interaction,1
275.355,lower_left_interaction,1
282.695,lower_right_interaction,1
286.687,upper_right_interaction,1
289.691,upper_left_interaction,1
294.704,upper_right_interaction,1
297.03,lower_right_interaction,1
300.038,center,1
420.528,upper_left_interaction,1
422.193,left_zone,1
423.857,upper_left_interaction,1
427.205,lower_left_interaction,1
428.195,upper_left_interaction,1
429.532,lower_left_interaction,1
432.539,left_zone,1
454.221,lower_left_interaction,1
461.895,lower_right_interaction,1
464.564,right_zone,1
473.584,upper_right_interaction,1
475.909,upper_left_interaction,1
486.92,lower_left_interaction,1
487.922,left_zone,1
491.593,upper_left_interaction,1
495.93,upper_right_interaction,1
500.602,right_zone,1
501.273,upper_right_interaction,1
502.602,lower_right_interaction,1
503.281,right_zone,1
504.945,lower_right_interaction,1
505.605,upper_right_interaction,1
506.609,right_zone,1
508.275,lower_right_interaction,1
513.946,center,1
556.336,END,0
