time,code,class
35.368,right_zone,1
41.108,upper_right_interaction,1
41.818,upper_left_interaction,1
43.249,upper_right_interaction,1
50.084,upper_left_interaction,1
60.806,upper_right_interaction,1
93.404,upper_left_interaction,1
115.349,upper_right_interaction,1
116.783,upper_left_interaction,1
132.967,upper_right_interaction,1
143.386,upper_left_interaction,1
148.058,lower_left_interaction,1
166.999,lower_right_interaction,1
169.836,lower_left_interaction,1
172.314,lower_right_interaction,1
173.742,lower_left_interaction,1
188.422,upper_left_interaction,1
193.095,lower_left_interaction,1
208.219,upper_left_interaction,1
210.745,upper_right_interaction,1
212.549,upper_left_interaction,1
231.465,upper_right_interaction,1
238.639,upper_left_interaction,1
240.047,upper_right_interaction,1
253.586,upper_left_interaction,1
260.061,upper_right_interaction,1
262.23,upper_left_interaction,1
271.217,upper_right_interaction,1
272.64,upper_left_interaction,1
296.698,lower_left_interaction,1
301.702,lower_right_interaction,1
310.678,lower_left_interaction,1
313.215,lower_right_interaction,1
315.717,upper_right_interaction,1
321.734,lower_right_interaction,1
326.427,upper_right_interaction,1
333.966,lower_right_interaction,1
336.113,upper_right_interaction,1
337.937,upper_left_interaction,1
338.652,upper_right_interaction,1
341.507,upper_left_interaction,1
345.813,lower_left_interaction,1
347.249,upper_left_interaction,1
407.875,upper_right_interaction,1
428.694,upper_left_interaction,1
435.135,upper_right_interaction,1
447.322,lower_right_interaction,1
451.994,right_zone,1
462.404,upper_right_interaction,1
468.143,lower_right_interaction,1
469.57,lower_left_interaction,1
475.654,upper_left_interaction,1
479.279,upper_right_interaction,1
487.854,upper_left_interaction,1
490.391,upper_right_interaction,1
504.304,upper_left_interaction,1
515.35,upper_right_interaction,1
517.15,upper_left_interaction,1
518.252,upper_right_interaction,1
527.194,upper_left_interaction,1
549.049,upper_right_interaction,1
551.917,lower_right_interaction,1
553.354,upper_right_interaction,1
563.03,upper_left_interaction,1
565.533,left_zone,1
580.948,lower_left_interaction,1
588.828,upper_left_interaction,1
592.794,upper_right_interaction,1
640.041,upper_left_interaction,1
659.76,upper_right_interaction,1
676.243,lower_right_interaction,1
680.179,upper_right_interaction,1
680.916,lower_right_interaction,1
683.05,lower_left_interaction,1
690.556,lower_right_interaction,1
694.829,lower_left_interaction,1
696.996,lower_right_interaction,1
700.966,upper_right_interaction,1
708.485,lower_right_interaction,1
721.388,upper_right_interaction,1
727.431,upper_left_interaction,1
732.681,END,0
