time,code,class
52.754,right_zone,1
53.52,upper_right_interaction,1
55.824,lower_right_interaction,1
57.358,upper_right_interaction,1
60.427,lower_right_interaction,1
62.996,upper_right_interaction,1
98.565,upper_left_interaction,1
130.831,upper_right_interaction,1
139.274,upper_left_interaction,1
144.644,lower_left_interaction,1
150.284,lower_right_interaction,1
156.954,lower_left_interaction,1
158.992,lower_right_interaction,1
160.794,lower_left_interaction,1
163.598,upper_left_interaction,1
176.143,upper_right_interaction,1
184.851,lower_right_interaction,1
192.793,upper_right_interaction,1
194.061,lower_right_interaction,1
196.102,upper_right_interaction,1
199.195,upper_left_interaction,1
203.034,lower_left_interaction,1
227.095,lower_right_interaction,1
228.362,right_zone,1
234.769,upper_right_interaction,1
244.746,lower_right_interaction,1
245.274,lower_left_interaction,1
248.081,upper_right_interaction,1
250.651,upper_left_interaction,1
253.957,upper_right_interaction,1
254.726,lower_right_interaction,1
256.262,upper_right_interaction,1
256.79,center,1
266,upper_right_interaction,1
267.035,lower_right_interaction,1
267.801,lower_left_interaction,1
269.336,upper_left_interaction,1
271.371,lower_left_interaction,1
271.899,upper_left_interaction,1
273.174,upper_right_interaction,1
282.65,upper_left_interaction,1
284.685,upper_right_interaction,1
285.452,lower_right_interaction,1
299.801,lower_left_interaction,1
301.069,left_zone,1
305.435,upper_left_interaction,1
309.274,lower_left_interaction,1
326.26,upper_right_interaction,1
331.632,lower_right_interaction,1
334.969,upper_right_interaction,1
338.806,center,1
369.536,lower_right_interaction,1
371.333,upper_right_interaction,1
373.875,upper_left_interaction,1
375.676,upper_right_interaction,1
377.712,lower_right_interaction,1
381.315,lower_left_interaction,1
382.32,left_zone,1
385.152,upper_left_interaction,1
387.956,center,1
392.827,lower_left_interaction,1
394.361,upper_left_interaction,1
394.864,lower_left_interaction,1
405.106,upper_left_interaction,1
408.945,lower_left_interaction,1
413.313,upper_left_interaction,1
419.186,upper_right_interaction,1
422.022,lower_right_interaction,1
423.792,upper_right_interaction,1
425.592,lower_right_interaction,1
435.836,lower_left_interaction,1
440.44,upper_left_interaction,1
442.242,upper_right_interaction,1
443.249,center,1
474.742,upper_right_interaction,1
475.269,upper_left_interaction,1
480.881,center,1
490.117,lower_left_interaction,1
492.422,upper_left_interaction,1
496.262,upper_right_interaction,1
497.029,right_zone,1
508.806,lower_right_interaction,1
513.647,upper_right_interaction,1
524.421,right_zone,1
532.866,lower_right_interaction,1
536.704,lower_left_interaction,1
538.74,left_zone,1
540.273,upper_left_interaction,1
541.573,upper_right_interaction,1
542.342,upper_left_interaction,1
544.881,upper_right_interaction,1
559.493,lower_right_interaction,1
561.796,lower_left_interaction,1
565.893,lower_right_interaction,1
566.4,center,1
593.794,lower_left_interaction,1
594.821,upper_left_interaction,1
596.097,center,1
621.955,upper_left_interaction,1
628.357,lower_left_interaction,1
636.537,center,1
638.575,lower_left_interaction,1
639.873,upper_left_interaction,1
643.973,left_zone,1
644.979,upper_left_interaction,1
645.747,upper_right_interaction,1
646.781,lower_right_interaction,1
649.349,upper_right_interaction,1
650.885,lower_right_interaction,1
652.152,lower_left_interaction,1
654.454,left_zone,1
655.75,upper_left_interaction,1
657.791,center,1
676.21,upper_left_interaction,1
679.281,lower_left_interaction,1
688.755,upper_left_interaction,1
702.597,lower_left_interaction,1
711.044,upper_left_interaction,1
712.049,lower_left_interaction,1
715.909,lower_right_interaction,1
717.952,upper_left_interaction,1
720.517,upper_right_interaction,1
727.16,right_zone,1
733.781,lower_right_interaction,1
738.905,upper_right_interaction,1
741.208,center,1
761.929,upper_left_interaction,1
763.226,upper_right_interaction,1
766.032,upper_left_interaction,1
768.069,upper_right_interaction,1
770.136,upper_left_interaction,1
773.706,left_zone,1
774.741,upper_left_interaction,1
775.508,lower_left_interaction,1
781.146,center,1
825.391,END,0
