time,code,class
46.348,right_zone,1
48.026,lower_right_interaction,1
49.69,upper_right_interaction,1
51.019,lower_right_interaction,1
51.354,upper_right_interaction,1
62.362,lower_right_interaction,1
63.365,right_zone,1
68.036,upper_right_interaction,1
71.708,lower_right_interaction,1
73.374,lower_left_interaction,1
76.044,lower_right_interaction,1
85.724,lower_left_interaction,1
87.387,upper_left_interaction,1
94.406,lower_left_interaction,1
102.406,upper_left_interaction,1
106.741,lower_left_interaction,1
111.411,lower_right_interaction,1
113.755,lower_left_interaction,1
114.757,lower_right_interaction,1
129.097,lower_left_interaction,1
129.764,lower_right_interaction,1
132.1,right_zone,1
155.889,upper_right_interaction,1
157.232,lower_right_interaction,1
158.558,upper_right_interaction,1
164.232,lower_right_interaction,1
168.901,right_zone,1
172.251,lower_right_interaction,1
178.245,upper_right_interaction,1
180.914,upper_left_interaction,1
188.254,lower_left_interaction,1
190.597,lower_right_interaction,1
191.258,lower_left_interaction,1
195.27,center,1
253.853,upper_right_interaction,1
259.868,upper_left_interaction,1
262.864,left_zone,1
268.869,upper_left_interaction,1
269.536,left_zone,1
274.545,lower_left_interaction,1
285.553,lower_right_interaction,1
286.896,right_zone,1
289.562,lower_right_interaction,1
291.568,upper_right_interaction,1
295.562,right_zone,1
315.249,lower_right_interaction,1
320.586,lower_left_interaction,1
322.928,lower_right_interaction,1
323.93,lower_left_interaction,1
334.278,lower_right_interaction,1
377.648,lower_left_interaction,1
380.316,lower_right_interaction,1
402.337,lower_left_interaction,1
407.343,lower_right_interaction,1
408.347,lower_left_interaction,1
420.358,upper_left_interaction,1
427.035,upper_right_interaction,1
433.032,lower_right_interaction,1
447.046,lower_left_interaction,1
448.047,upper_left_interaction,1
450.054,center,1
456.731,upper_left_interaction,1
509.787,upper_right_interaction,1
522.8,lower_right_interaction,1
543.476,right_zone,1
544.816,lower_right_interaction,1
546.479,lower_left_interaction,1
551.819,lower_right_interaction,1
620.553,lower_left_interaction,1
624.559,lower_right_interaction,1
627.227,lower_left_interaction,1
628.896,left_zone,1
637.574,upper_left_interaction,1
653.593,upper_right_interaction,1
663.942,lower_right_interaction,1
669.275,right_zone,1
716.655,lower_right_interaction,1
725.658,lower_left_interaction,1
728.666,lower_right_interaction,1
730.998,lower_left_interaction,1
736.348,lower_right_interaction,1
737.671,upper_right_interaction,1
742.021,upper_left_interaction,1
743.343,upper_right_interaction,1
747.355,upper_left_interaction,1
751.685,lower_left_interaction,1
753.354,upper_left_interaction,1
756.358,lower_left_interaction,1
782.726,lower_right_interaction,1
783.727,lower_left_interaction,1
789.389,lower_right_interaction,1
792.393,lower_left_interaction,1
802.074,center,1
814.242,END,0
