time,code,class
41.512,right_zone,1
43.574,upper_right_interaction,1
45.772,upper_left_interaction,1
51.116,left_zone,1
66.067,lower_left_interaction,1
78.677,lower_right_interaction,1
79.205,right_zone,1
95.632,upper_right_interaction,1
95.632,upper_right_interaction,1
103.745,center,1
125.689,upper_left_interaction,1
127.063,left_zone,1
128.181,upper_left_interaction,1
132.333,lower_left_interaction,1
133.106,lower_right_interaction,1
133.564,right_zone,1
137.741,upper_right_interaction,1
156.621,right_zone,1
167.335,lower_right_interaction,1
169.829,right_zone,1
173.055,upper_right_interaction,1
175.774,upper_left_interaction,1
193.33,left_zone,1
197.64,lower_left_interaction,1
198.299,lower_right_interaction,1
199.606,right_zone,1
224.017,lower_right_interaction,1
245.037,lower_left_interaction,1
271.206,lower_right_interaction,1
271.636,upper_right_interaction,1
283.23,center,1
306.297,lower_right_interaction,1
314.422,lower_left_interaction,1
315.066,upper_left_interaction,1
321.26,left_zone,1
325.089,upper_left_interaction,1
337.882,upper_right_interaction,1
343.378,upper_left_interaction,1
344.811,lower_left_interaction,1
350.151,lower_right_interaction,1
350.748,right_zone,1
359.56,upper_right_interaction,1
361.426,upper_left_interaction,1
362.703,lower_left_interaction,1
363.964,left_zone,1
369.426,upper_left_interaction,1
374.77,upper_right_interaction,1
393.963,lower_right_interaction,1
397.533,center,1
416.183,lower_left_interaction,1
430.133,lower_right_interaction,1
437.174,center,1
443.023,upper_left_interaction,1
448.982,upper_right_interaction,1
455.794,lower_right_interaction,1
459.337,lower_left_interaction,1
460.471,center,1
484.403,lower_left_interaction,1
485.155,lower_right_interaction,1
506.528,lower_left_interaction,1
509.953,lower_right_interaction,1
515.684,lower_left_interaction,1
516.742,center,1
532.83,upper_left_interaction,1
545.752,center,1
615.947,lower_right_interaction,1
621.931,upper_right_interaction,1
622.22,upper_right_interaction,1
623.68,lower_right_interaction,1
626.725,lower_left_interaction,1
627.629,left_zone,1
629.571,lower_left_interaction,1
633.435,lower_right_interaction,1
634.339,right_zone,1
639.411,upper_right_interaction,1
663.635,center,1
706.273,lower_left_interaction,1
746.077,center,1
791.895,lower_right_interaction,1
793.467,right_zone,1
794.807,lower_right_interaction,1
801.483,lower_left_interaction,1
802.238,left_zone,1
817.887,upper_left_interaction,1
842.48,upper_right_interaction,1
842.944,right_zone,1
865.921,lower_right_interaction,1
872.909,upper_right_interaction,1
873.881,upper_left_interaction,1
882.544,left_zone,1
887.089,upper_left_interaction,1
888.054,lower_left_interaction,1
888.69,center,1
892.222,upper_left_interaction,1
894.528,center,1
925.992,END,0
