time,code,class
34.068,right_zone,1
37.837,upper_right_interaction,1
43.786,upper_left_interaction,1
51.001,upper_right_interaction,1
51.457,right_zone,1
53.987,lower_right_interaction,1
58.13,right_zone,1
59.968,upper_right_interaction,1
67.848,upper_left_interaction,1
73.53,lower_left_interaction,1
83.055,lower_right_interaction,1
84.959,center,1
106.876,upper_left_interaction,1
107.783,center,1
109.199,upper_right_interaction,1
110.988,right_zone,1
119.023,upper_right_interaction,1
128.029,upper_left_interaction,1
128.455,left_zone,1
158.483,upper_left_interaction,1
173.099,upper_right_interaction,1
185.821,lower_right_interaction,1
199.773,upper_right_interaction,1
211.587,upper_left_interaction,1
217.723,lower_left_interaction,1
225.068,lower_right_interaction,1
229.266,right_zone,1
239.531,upper_right_interaction,1
242.337,upper_left_interaction,1
243.356,left_zone,1
280.92,upper_left_interaction,1
292.726,upper_right_interaction,1
294.895,center,1
301.895,lower_right_interaction,1
317.551,lower_left_interaction,1
322.819,center,1
351.009,upper_right_interaction,1
353.326,center,1
355.661,upper_right_interaction,1
359.158,center,1
375.008,lower_left_interaction,1
376.207,lower_right_interaction,1
379.411,center,1
383.092,lower_right_interaction,1
388,upper_right_interaction,1
389.874,upper_left_interaction,1
390.369,left_zone,1
394.522,upper_left_interaction,1
397.257,left_zone,1
409.319,lower_left_interaction,1
421.717,upper_left_interaction,1
424.719,upper_right_interaction,1
425.26,right_zone,1
426.964,upper_right_interaction,1
433.391,lower_right_interaction,1
434.213,right_zone,1
438.669,lower_right_interaction,1
441.648,lower_left_interaction,1
443.135,lower_right_interaction,1
445.187,right_zone,1
455.776,upper_right_interaction,1
467.393,right_zone,1
470.645,lower_right_interaction,1
473.31,lower_left_interaction,1
505.947,upper_left_interaction,1
511.583,upper_right_interaction,1
526.892,center,1
531.402,upper_left_interaction,1
533.46,center,1
565.334,lower_left_interaction,1
573.912,lower_right_interaction,1
577.081,right_zone,1
629.973,upper_right_interaction,1
631.887,upper_left_interaction,1
633.306,left_zone,1
641.306,upper_left_interaction,1
646.082,left_zone,1
717.429,upper_left_interaction,1
718.314,upper_right_interaction,1
719.154,right_zone,1
722.417,lower_right_interaction,1
731.63,right_zone,1
742.508,upper_right_interaction,1
744.625,upper_left_interaction,1
745.959,left_zone,1
967.033,END,0
