time,code,class
36.406,right_zone,1
56.99,upper_right_interaction,1
62.94,upper_left_interaction,1
70.602,lower_left_interaction,1
70.602,lower_left_interaction,1
77.045,upper_left_interaction,1
111.583,lower_left_interaction,1
113.419,left_zone,1
129.068,upper_left_interaction,1
283.21,upper_right_interaction,1
286.457,upper_left_interaction,1
433.424,left_zone,1
470.549,center,1
487.361,lower_left_interaction,1
497.071,center,1
516.52,lower_left_interaction,1
552.246,upper_left_interaction,1
595.671,center,1
774.34,END,0
