time,code,class
55.923,right_zone,1
56.725,upper_right_interaction,1
106.243,upper_left_interaction,1
106.852,left_zone,1
139.674,lower_left_interaction,1
140.44,lower_right_interaction,1
159.965,upper_right_interaction,1
194.99,upper_left_interaction,1
195.497,left_zone,1
332.903,upper_left_interaction,1
344.908,lower_left_interaction,1
346.49,lower_right_interaction,1
360.598,upper_right_interaction,1
361.686,right_zone,1
369.611,lower_right_interaction,1
369.799,upper_right_interaction,1
388.873,upper_left_interaction,1
389.577,left_zone,1
409.177,upper_left_interaction,1
420.029,lower_left_interaction,1
429.402,lower_right_interaction,1
433.305,upper_right_interaction,1
448.214,upper_left_interaction,1
455.669,lower_left_interaction,1
460.928,upper_left_interaction,1
467.336,lower_left_interaction,1
468.371,left_zone,1
475.899,upper_left_interaction,1
479.69,lower_left_interaction,1
480.986,lower_right_interaction,1
483.854,right_zone,1
485.454,upper_right_interaction,1
498.867,upper_left_interaction,1
500.877,lower_left_interaction,1
517.348,upper_left_interaction,1
537.593,upper_right_interaction,1
542.51,right_zone,1
547.886,lower_right_interaction,1
551.321,lower_left_interaction,1
552.097,left_zone,1
561.326,upper_left_interaction,1
564.2,upper_right_interaction,1
564.73,right_zone,1
579.807,upper_right_interaction,1
586.089,right_zone,1
592.017,lower_right_interaction,1
592.331,lower_left_interaction,1
593.199,lower_right_interaction,1
593.729,right_zone,1
597.175,lower_right_interaction,1
604.609,lower_left_interaction,1
618.829,lower_right_interaction,1
651.242,upper_right_interaction,1
658.462,center,1
660.353,lower_right_interaction,1
662.167,center,1
668.944,lower_left_interaction,1
676.733,center,1
679.021,upper_right_interaction,1
692.691,upper_left_interaction,1
693.835,left_zone,1
773.84,END,0
