time,code,class
51.058,right_zone,1
53.598,upper_right_interaction,1
85.729,upper_left_interaction,1
106.109,lower_left_interaction,1
113.395,upper_left_interaction,1
131.267,upper_right_interaction,1
145.302,lower_right_interaction,1
158.428,lower_left_interaction,1
160.737,upper_left_interaction,1
163.615,upper_right_interaction,1
166.808,lower_right_interaction,1
167.174,lower_left_interaction,1
186.924,upper_left_interaction,1
207.407,upper_right_interaction,1
208.882,right_zone,1
216.968,lower_right_interaction,1
219.189,lower_left_interaction,1
219.95,center,1
300.468,upper_left_interaction,1
303.273,upper_right_interaction,1
305.483,right_zone,1
312.817,lower_right_interaction,1
321.857,lower_left_interaction,1
323.995,left_zone,1
334.361,upper_left_interaction,1
342.041,upper_right_interaction,1
360.394,upper_left_interaction,1
377.587,lower_left_interaction,1
379.437,lower_right_interaction,1
380.319,upper_right_interaction,1
386.15,center,1
438.509,upper_right_interaction,1
441.647,upper_left_interaction,1
442.676,upper_right_interaction,1
447.384,right_zone,1
455.349,lower_right_interaction,1
468.437,lower_left_interaction,1
475.418,upper_left_interaction,1
477.623,upper_right_interaction,1
478.794,right_zone,1
495.596,lower_right_interaction,1
499.147,lower_left_interaction,1
501.083,center,1
512.812,upper_left_interaction,1
518.368,upper_right_interaction,1
523.455,lower_right_interaction,1
529.01,lower_left_interaction,1
537.61,upper_left_interaction,1
543.349,upper_right_interaction,1
559.218,upper_left_interaction,1
576.724,lower_left_interaction,1
580.3,left_zone,1
594.566,upper_left_interaction,1
627.12,upper_right_interaction,1
634.429,right_zone,1
639.484,lower_right_interaction,1
653.09,lower_left_interaction,1
659.417,upper_left_interaction,1
667.826,upper_right_interaction,1
672.877,lower_right_interaction,1
699.899,lower_left_interaction,1
700.636,upper_left_interaction,1
719.623,center,1
760.357,lower_left_interaction,1
761.778,center,1
799.503,lower_right_interaction,1
800.633,center,1
830.03,upper_left_interaction,1
832.203,center,1
834.879,upper_left_interaction,1
847.106,upper_right_interaction,1
848.691,right_zone,1
859.696,upper_right_interaction,1
864.365,lower_right_interaction,1
867.007,lower_left_interaction,1
868.151,left_zone,1
871.404,upper_left_interaction,1
885.829,upper_right_interaction,1
886.816,right_zone,1
892.16,lower_right_interaction,1
895.137,upper_right_interaction,1
898.68,upper_left_interaction,1
900.523,lower_left_interaction,1
906.549,upper_left_interaction,1
913.14,upper_right_interaction,1
914.525,center,1
924.557,lower_right_interaction,1
926.997,center,1
1064.63,END,0
