time,code,class
41.207,right_zone,1
41.483,upper_right_interaction,1
46.388,lower_right_interaction,1
49.525,upper_right_interaction,1
56.797,upper_left_interaction,1
57.563,left_zone,1
59.505,lower_left_interaction,1
61.634,lower_right_interaction,1
66.034,lower_left_interaction,1
67.616,left_zone,1
70.373,upper_left_interaction,1
72.865,upper_right_interaction,1
74.479,right_zone,1
78.847,lower_right_interaction,1
122.881,upper_right_interaction,1
124.396,upper_left_interaction,1
127.056,lower_left_interaction,1
142.782,left_zone,1
147.008,upper_left_interaction,1
148.675,upper_right_interaction,1
151.244,right_zone,1
169.07,upper_right_interaction,1
178.182,upper_left_interaction,1
179.693,center,1
197.83,lower_right_interaction,1
204.916,lower_left_interaction,1
206.786,lower_right_interaction,1
207.786,lower_left_interaction,1
208.573,lower_right_interaction,1
208.762,lower_left_interaction,1
210.113,left_zone,1
211.127,upper_left_interaction,1
213.685,upper_right_interaction,1
214.794,lower_right_interaction,1
215.561,right_zone,1
220.009,upper_right_interaction,1
224.888,upper_left_interaction,1
225.824,upper_right_interaction,1
231.773,lower_right_interaction,1
232.911,upper_right_interaction,1
240.885,lower_right_interaction,1
245.581,upper_right_interaction,1
255.264,upper_left_interaction,1
255.988,left_zone,1
258.633,lower_left_interaction,1
260.818,lower_right_interaction,1
261.627,right_zone,1
265.027,lower_right_interaction,1
268.678,lower_left_interaction,1
271.383,upper_left_interaction,1
272.542,center,1
278.254,upper_left_interaction,1
278.349,upper_right_interaction,1
288.563,upper_left_interaction,1
289.608,lower_left_interaction,1
295.358,upper_left_interaction,1
296.032,lower_left_interaction,1
297.075,lower_right_interaction,1
300.317,upper_right_interaction,1
300.317,right_zone,1
304.011,lower_right_interaction,1
304.964,upper_right_interaction,1
307.318,upper_left_interaction,1
308.212,left_zone,1
308.981,upper_left_interaction,1
328.735,upper_right_interaction,1
329.782,lower_right_interaction,1
331.267,upper_right_interaction,1
336.196,lower_right_interaction,1
360.668,right_zone,1
377.723,upper_right_interaction,1
379.56,upper_left_interaction,1
381.299,left_zone,1
394.052,upper_left_interaction,1
395.369,upper_right_interaction,1
412.962,right_zone,1
422.992,lower_right_interaction,1
427.231,center,1
456.166,upper_left_interaction,1
456.847,center,1
472.692,lower_right_interaction,1
474.452,lower_left_interaction,1
475.677,center,1
490.693,lower_left_interaction,1
507.614,lower_right_interaction,1
508.377,upper_right_interaction,1
510.685,upper_left_interaction,1
516.293,upper_right_interaction,1
535.309,upper_left_interaction,1
537.17,upper_right_interaction,1
539.649,upper_left_interaction,1
540.549,upper_right_interaction,1
541.686,right_zone,1
546.814,lower_right_interaction,1
550.687,lower_left_interaction,1
551.177,left_zone,1
553.016,lower_left_interaction,1
564.699,upper_left_interaction,1
567.108,upper_right_interaction,1
568.973,upper_left_interaction,1
570.036,center,1
574.108,lower_right_interaction,1
576.001,center,1
579.717,upper_right_interaction,1
580.495,center,1
586.034,upper_left_interaction,1
586.551,center,1
587.164,upper_left_interaction,1
589.76,left_zone,1
595.766,lower_left_interaction,1
605.977,upper_right_interaction,1
607.917,right_zone,1
614.712,lower_right_interaction,1
618.192,right_zone,1
627.593,upper_right_interaction,1
628.564,lower_right_interaction,1
640.679,right_zone,1
644.882,upper_right_interaction,1
648.017,upper_left_interaction,1
655.867,upper_right_interaction,1
656.26,right_zone,1
714.645,upper_right_interaction,1
719.249,lower_right_interaction,1
723.729,upper_right_interaction,1
742.933,right_zone,1
763.172,upper_right_interaction,1
764.736,lower_right_interaction,1
765.866,lower_left_interaction,1
768.165,lower_right_interaction,1
774.154,lower_left_interaction,1
776.807,lower_right_interaction,1
782.429,lower_left_interaction,1
785.679,left_zone,1
793.705,upper_left_interaction,1
796.093,lower_left_interaction,1
798.409,upper_left_interaction,1
800.778,upper_right_interaction,1
805.075,lower_right_interaction,1
806.036,upper_right_interaction,1
807.013,lower_right_interaction,1
808.759,lower_left_interaction,1
809.482,lower_right_interaction,1
813.182,lower_left_interaction,1
814.52,left_zone,1
818.05,upper_left_interaction,1
818.945,lower_left_interaction,1
821.825,lower_right_interaction,1
824.432,lower_left_interaction,1
825.19,left_zone,1
826.816,lower_left_interaction,1
833.441,center,1
845.106,upper_left_interaction,1
845.751,upper_right_interaction,1
846.577,upper_left_interaction,1
849.561,left_zone,1
852.657,upper_left_interaction,1
854.314,lower_left_interaction,1
856.63,lower_right_interaction,1
857.965,right_zone,1
861.758,upper_right_interaction,1
865.91,lower_right_interaction,1
883.323,right_zone,1
896.89,lower_right_interaction,1
904.396,upper_right_interaction,1
905.781,right_zone,1
912.243,upper_right_interaction,1
912.904,lower_right_interaction,1
913.866,END,0
