time,code,class
53.709,right_zone,1
56.217,lower_right_interaction,1
59.821,lower_left_interaction,1
62.992,lower_right_interaction,1
81.547,upper_right_interaction,1
85.319,upper_left_interaction,1
105.043,upper_right_interaction,1
111.584,upper_left_interaction,1
113.403,upper_right_interaction,1
119.963,upper_left_interaction,1
129.61,upper_right_interaction,1
146.273,upper_left_interaction,1
154.517,upper_right_interaction,1
172.233,upper_left_interaction,1
174.316,upper_right_interaction,1
176.683,upper_left_interaction,1
190.063,upper_right_interaction,1
192.833,upper_left_interaction,1
193.493,upper_right_interaction,1
202.545,upper_left_interaction,1
209.88,lower_left_interaction,1
211.149,upper_left_interaction,1
212.578,lower_left_interaction,1
216.15,lower_right_interaction,1
221.757,upper_right_interaction,1
260.043,lower_right_interaction,1
264.138,upper_right_interaction,1
264.735,lower_right_interaction,1
268.46,lower_left_interaction,1
272.971,upper_left_interaction,1
280.161,upper_right_interaction,1
294.318,upper_left_interaction,1
331.402,lower_left_interaction,1
338.098,upper_left_interaction,1
339.376,lower_left_interaction,1
345.943,upper_left_interaction,1
355.946,upper_right_interaction,1
358.385,upper_left_interaction,1
370.872,upper_right_interaction,1
413.326,upper_left_interaction,1
414.897,upper_right_interaction,1
420.257,upper_left_interaction,1
427.197,upper_right_interaction,1
438.568,upper_left_interaction,1
450.552,lower_left_interaction,1
453.687,lower_right_interaction,1
454.599,lower_left_interaction,1
455.186,lower_right_interaction,1
457.394,lower_left_interaction,1
458.394,lower_right_interaction,1
472.85,upper_right_interaction,1
476.077,upper_left_interaction,1
476.921,lower_left_interaction,1
482.209,lower_right_interaction,1
483.544,right_zone,1
506.711,lower_right_interaction,1
506.979,upper_right_interaction,1
509.907,right_zone,1
515.585,upper_right_interaction,1
516.422,upper_left_interaction,1
517.025,left_zone,1
533.108,upper_left_interaction,1
535.337,upper_right_interaction,1
537.838,lower_right_interaction,1
539.967,lower_left_interaction,1
552.11,upper_left_interaction,1
561.291,upper_right_interaction,1
567.31,lower_right_interaction,1
568.128,upper_right_interaction,1
569.664,lower_right_interaction,1
571.372,upper_right_interaction,1
573.75,lower_right_interaction,1
576.419,lower_left_interaction,1
578.271,left_zone,1
584.684,upper_left_interaction,1
592.252,upper_right_interaction,1
592.665,right_zone,1
605.049,upper_right_interaction,1
607.345,upper_left_interaction,1
608.076,left_zone,1
621.866,lower_left_interaction,1
624.605,upper_left_interaction,1
632.962,left_zone,1
634.269,lower_left_interaction,1
635.84,lower_right_interaction,1
637.009,right_zone,1
652.351,lower_right_interaction,1
654.195,lower_left_interaction,1
654.592,left_zone,1
662.515,upper_left_interaction,1
662.732,lower_left_interaction,1
664.662,lower_right_interaction,1
666.595,right_zone,1
679.988,upper_right_interaction,1
686.182,upper_left_interaction,1
690.462,lower_left_interaction,1
693.23,lower_right_interaction,1
700.935,upper_right_interaction,1
711.805,upper_left_interaction,1
715.66,upper_right_interaction,1
718.951,right_zone,1
722.396,lower_right_interaction,1
725.093,upper_right_interaction,1
743.746,center,1
834.898,upper_right_interaction,1
838.814,center,1
851.591,upper_right_interaction,1
853.02,center,1
854.589,upper_right_interaction,1
883.955,lower_right_interaction,1
888.194,upper_right_interaction,1
906.189,lower_right_interaction,1
909.81,upper_right_interaction,1
912.412,upper_left_interaction,1
913.168,lower_left_interaction,1
915.659,lower_right_interaction,1
918.529,upper_right_interaction,1
924.729,right_zone,1
955.521,END,0
