time,code,class
51.948,right_zone,1
54.257,upper_right_interaction,1
58.753,upper_left_interaction,1
62.56,left_zone,1
66.482,lower_left_interaction,1
67.382,lower_right_interaction,1
67.978,right_zone,1
70.738,upper_right_interaction,1
71.275,upper_left_interaction,1
72.346,left_zone,1
73.817,lower_left_interaction,1
78.792,lower_right_interaction,1
83.147,lower_left_interaction,1
85.694,upper_left_interaction,1
88.793,upper_right_interaction,1
94.253,lower_right_interaction,1
95.17,lower_left_interaction,1
95.707,upper_left_interaction,1
98.767,left_zone,1
102.163,lower_left_interaction,1
103.115,upper_left_interaction,1
109.488,upper_right_interaction,1
113.175,upper_left_interaction,1
117.777,lower_left_interaction,1
120.785,upper_left_interaction,1
133.394,upper_right_interaction,1
134.41,right_zone,1
139.597,lower_right_interaction,1
150.493,upper_right_interaction,1
155.414,upper_left_interaction,1
156.967,lower_left_interaction,1
164.906,upper_left_interaction,1
169.795,upper_right_interaction,1
171.416,upper_left_interaction,1
173.118,upper_right_interaction,1
178.548,upper_left_interaction,1
180.378,lower_left_interaction,1
181.554,upper_left_interaction,1
219.952,lower_left_interaction,1
221.535,upper_left_interaction,1
222.237,lower_left_interaction,1
234.837,upper_left_interaction,1
240.555,left_zone,1
243.948,lower_left_interaction,1
245.673,upper_left_interaction,1
255.37,lower_left_interaction,1
271.203,lower_right_interaction,1
272.709,right_zone,1
273.542,upper_right_interaction,1
278.143,upper_left_interaction,1
284.602,left_zone,1
286.15,lower_left_interaction,1
292.026,lower_right_interaction,1
293.176,right_zone,1
294.82,upper_right_interaction,1
295.776,right_zone,1
296.039,upper_right_interaction,1
300.91,upper_left_interaction,1
304.061,center,1
361.23,upper_right_interaction,1
363.234,upper_left_interaction,1
363.661,left_zone,1
369.243,upper_left_interaction,1
372.781,lower_left_interaction,1
373.443,lower_right_interaction,1
373.802,right_zone,1
376.713,lower_right_interaction,1
380.192,lower_left_interaction,1
381.353,lower_right_interaction,1
382.139,lower_left_interaction,1
383.585,lower_right_interaction,1
385.049,lower_left_interaction,1
386.038,upper_left_interaction,1
388.34,upper_right_interaction,1
389.6,right_zone,1
395.598,upper_right_interaction,1
396.388,upper_left_interaction,1
396.726,left_zone,1
400.305,lower_left_interaction,1
405.702,upper_left_interaction,1
415.682,lower_left_interaction,1
436.847,lower_right_interaction,1
438.571,lower_left_interaction,1
439.106,left_zone,1
442.479,upper_left_interaction,1
456.997,lower_left_interaction,1
459.059,upper_left_interaction,1
460.023,upper_right_interaction,1
462.289,lower_right_interaction,1
469.622,lower_left_interaction,1
470.076,upper_left_interaction,1
470.403,left_zone,1
472.284,upper_left_interaction,1
475.48,upper_right_interaction,1
477.038,upper_left_interaction,1
478.334,upper_right_interaction,1
482.619,lower_right_interaction,1
486.593,lower_left_interaction,1
487.391,lower_right_interaction,1
488.328,center,1
504.95,lower_left_interaction,1
506.975,center,1
514.47,upper_left_interaction,1
518.577,left_zone,1
523.039,lower_left_interaction,1
524.129,upper_left_interaction,1
525.688,upper_right_interaction,1
526.252,right_zone,1
530.738,lower_right_interaction,1
530.997,upper_right_interaction,1
531.872,lower_right_interaction,1
534.2,upper_right_interaction,1
535.966,upper_left_interaction,1
541.044,lower_left_interaction,1
541.74,upper_left_interaction,1
542.688,upper_right_interaction,1
544.578,upper_left_interaction,1
545.21,left_zone,1
548.521,lower_left_interaction,1
550.878,lower_right_interaction,1
553.122,right_zone,1
554.477,upper_right_interaction,1
555.296,upper_left_interaction,1
557.226,lower_left_interaction,1
558.729,left_zone,1
560.559,lower_left_interaction,1
561.925,lower_right_interaction,1
562.736,lower_left_interaction,1
563.425,left_zone,1
568.286,lower_left_interaction,1
569.935,lower_right_interaction,1
570.733,right_zone,1
574.225,lower_right_interaction,1
577.345,upper_right_interaction,1
577.842,right_zone,1
579.287,upper_right_interaction,1
583.954,upper_left_interaction,1
591.18,left_zone,1
592.632,upper_left_interaction,1
623.521,upper_right_interaction,1
624.373,right_zone,1
628.554,lower_right_interaction,1
630.401,lower_left_interaction,1
634.294,lower_right_interaction,1
635.828,center,1
646.893,lower_left_interaction,1
650.29,center,1
651.608,lower_left_interaction,1
652.38,center,1
661.535,upper_right_interaction,1
663.52,center,1
667.276,upper_left_interaction,1
668.935,upper_right_interaction,1
677.204,lower_right_interaction,1
678.411,upper_right_interaction,1
679.346,upper_left_interaction,1
679.789,left_zone,1
683.357,lower_left_interaction,1
686.767,upper_left_interaction,1
695.836,lower_left_interaction,1
702.638,lower_right_interaction,1
712.927,upper_right_interaction,1
714.058,lower_right_interaction,1
715.906,upper_right_interaction,1
719.649,upper_left_interaction,1
727.253,lower_left_interaction,1
731.487,lower_right_interaction,1
733.702,upper_right_interaction,1
735.218,upper_left_interaction,1
735.701,left_zone,1
737.717,lower_left_interaction,1
739.556,lower_right_interaction,1
747.211,upper_right_interaction,1
747.681,upper_left_interaction,1
749.181,left_zone,1
750.128,lower_left_interaction,1
752.23,left_zone,1
752.69,upper_left_interaction,1
753.078,upper_right_interaction,1
758.066,upper_left_interaction,1
770.139,lower_left_interaction,1
778.069,lower_right_interaction,1
780.853,lower_left_interaction,1
783.849,lower_right_interaction,1
794.491,upper_right_interaction,1
797.165,upper_left_interaction,1
798.17,left_zone,1
802.726,upper_left_interaction,1
804.039,upper_right_interaction,1
809.379,upper_left_interaction,1
809.839,left_zone,1
811.882,lower_left_interaction,1
815.46,upper_left_interaction,1
821.062,left_zone,1
823.84,upper_left_interaction,1
824.899,upper_right_interaction,1
825.672,right_zone,1
828.866,lower_right_interaction,1
830.886,center,1
878.686,upper_right_interaction,1
889.038,upper_left_interaction,1
889.699,left_zone,1
906.973,END,0
