time,code,class
52.522,left_zone,1
54.623,lower_left_interaction,1
58.524,upper_left_interaction,1
67.896,lower_left_interaction,1
72.998,left_zone,1
87.59,lower_left_interaction,1
93.45,lower_right_interaction,1
96.684,upper_right_interaction,1
122.32,upper_left_interaction,1
127.965,upper_right_interaction,1
134.528,upper_left_interaction,1
141.543,lower_left_interaction,1
159.775,upper_left_interaction,1
161.237,lower_left_interaction,1
177.395,lower_right_interaction,1
185.11,right_zone,1
185.488,upper_right_interaction,1
198.957,lower_right_interaction,1
200.802,right_zone,1
219.461,upper_right_interaction,1
222.253,right_zone,1
233.765,lower_right_interaction,1
237.446,lower_left_interaction,1
238.271,lower_right_interaction,1
239.48,lower_left_interaction,1
241.054,center,1
262.855,upper_left_interaction,1
263.805,left_zone,1
270.102,lower_left_interaction,1
275.837,lower_right_interaction,1
276.985,right_zone,1
284.609,upper_right_interaction,1
305.301,upper_left_interaction,1
313.255,lower_left_interaction,1
319.689,upper_left_interaction,1
323.248,left_zone,1
338.842,lower_left_interaction,1
339.933,lower_right_interaction,1
343.104,upper_right_interaction,1
353.257,center,1
378.357,lower_left_interaction,1
380.876,center,1
403.598,upper_right_interaction,1
406.446,center,1
414.491,upper_left_interaction,1
418.179,lower_left_interaction,1
424.604,lower_right_interaction,1
430.976,lower_left_interaction,1
433.308,left_zone,1
457.961,lower_left_interaction,1
460.06,left_zone,1
463.5,lower_left_interaction,1
467.841,upper_left_interaction,1
473.644,upper_right_interaction,1
476.502,center,1
494.494,lower_right_interaction,1
498.505,center,1
523.184,upper_right_interaction,1
525.473,right_zone,1
528.261,upper_right_interaction,1
533.644,lower_right_interaction,1
537.817,lower_left_interaction,1
538.706,left_zone,1
543.98,upper_left_interaction,1
547.083,lower_left_interaction,1
551.956,lower_right_interaction,1
562.566,lower_left_interaction,1
580.306,lower_right_interaction,1
581.656,lower_left_interaction,1
584.454,upper_left_interaction,1
603.73,lower_left_interaction,1
604.1,left_zone,1
606.968,lower_left_interaction,1
626.732,upper_left_interaction,1
628.558,upper_right_interaction,1
633.182,upper_left_interaction,1
636.225,upper_right_interaction,1
639.843,upper_left_interaction,1
647.947,upper_right_interaction,1
648.724,center,1
687.677,lower_left_interaction,1
698.371,lower_right_interaction,1
703.626,lower_left_interaction,1
707.173,lower_right_interaction,1
713.178,right_zone,1
749.158,lower_right_interaction,1
752.624,upper_right_interaction,1
760.827,lower_right_interaction,1
768.467,upper_right_interaction,1
775.168,right_zone,1
779.253,lower_right_interaction,1
779.886,lower_left_interaction,1
783.89,upper_left_interaction,1
786.117,lower_left_interaction,1
791.777,left_zone,1
795.205,upper_left_interaction,1
799.001,center,1
802.506,upper_right_interaction,1
807.441,center,1
821.051,upper_right_interaction,1
823.424,center,1
832.488,upper_right_interaction,1
833.228,center,1
838.532,lower_left_interaction,1
841.654,center,1
853.492,upper_right_interaction,1
865.302,upper_left_interaction,1
866.794,upper_right_interaction,1
874.08,lower_right_interaction,1
876.746,lower_left_interaction,1
877.623,upper_left_interaction,1
877.982,left_zone,1
880.086,upper_left_interaction,1
881.474,center,1
908.474,END,0
