time,code,class
44.219,left_zone,1
45.209,upper_left_interaction,1
87.621,upper_right_interaction,1
99.402,upper_left_interaction,1
108.023,upper_right_interaction,1
125.627,upper_left_interaction,1
128.897,lower_left_interaction,1
134.755,lower_right_interaction,1
137.761,lower_left_interaction,1
140.919,lower_right_interaction,1
154.825,lower_left_interaction,1
163.025,lower_right_interaction,1
168.66,lower_left_interaction,1
170.478,upper_left_interaction,1
177.082,upper_right_interaction,1
193.203,lower_right_interaction,1
194.62,upper_right_interaction,1
221.639,lower_right_interaction,1
228.506,lower_left_interaction,1
229.921,lower_right_interaction,1
235.695,lower_left_interaction,1
241.152,upper_left_interaction,1
255.449,upper_right_interaction,1
267.785,lower_right_interaction,1
278.719,upper_right_interaction,1
281.688,lower_right_interaction,1
286.58,upper_right_interaction,1
296.191,upper_left_interaction,1
299.258,upper_right_interaction,1
302.004,lower_right_interaction,1
348.361,upper_right_interaction,1
368.544,right_zone,1
371.627,upper_right_interaction,1
373.111,upper_left_interaction,1
377.943,lower_left_interaction,1
379.739,upper_left_interaction,1
381.355,lower_left_interaction,1
389.35,lower_right_interaction,1
391.594,lower_left_interaction,1
397.228,center,1
454.455,lower_left_interaction,1
458.288,lower_right_interaction,1
459.018,right_zone,1
523.73,lower_right_interaction,1
532.173,lower_left_interaction,1
537.012,upper_left_interaction,1
538.496,lower_left_interaction,1
541.104,upper_left_interaction,1
546.807,upper_right_interaction,1
550.917,lower_right_interaction,1
561.439,lower_left_interaction,1
591.946,lower_right_interaction,1
626.593,right_zone,1
662.633,upper_right_interaction,1
665.595,upper_left_interaction,1
722.316,lower_left_interaction,1
727.934,left_zone,1
762.741,lower_left_interaction,1
768.499,lower_right_interaction,1
776.751,center,1
798.765,lower_right_interaction,1
812.624,upper_right_interaction,1
814.173,upper_left_interaction,1
815.18,upper_right_interaction,1
815.553,right_zone,1
821.893,lower_right_interaction,1
823.26,upper_right_interaction,1
825.736,right_zone,1
832.135,upper_right_interaction,1
838.775,center,1
854.443,lower_right_interaction,1
859.044,center,1
860.922,END,0
