time,code,class
68.534,right_zone,1
93.926,lower_right_interaction,1
105.049,upper_right_interaction,1
116.727,lower_right_interaction,1
119.921,lower_left_interaction,1
129.717,lower_right_interaction,1
134.269,upper_right_interaction,1
134.919,right_zone,1
137.865,upper_right_interaction,1
139.839,upper_left_interaction,1
142.771,upper_right_interaction,1
145.818,upper_left_interaction,1
153.726,upper_right_interaction,1
155.722,lower_right_interaction,1
157.781,upper_right_interaction,1
160.261,lower_right_interaction,1
164.593,lower_left_interaction,1
167.524,upper_left_interaction,1
171.778,lower_left_interaction,1
172.378,upper_left_interaction,1
172.973,upper_right_interaction,1
181.658,lower_right_interaction,1
182.74,right_zone,1
185.272,lower_right_interaction,1
194.188,right_zone,1
196.968,upper_right_interaction,1
199.135,lower_right_interaction,1
199.866,upper_right_interaction,1
206.347,lower_right_interaction,1
215.086,lower_left_interaction,1
222.917,upper_left_interaction,1
233.314,left_zone,1
242.932,lower_left_interaction,1
250.388,lower_right_interaction,1
259.052,upper_right_interaction,1
268.543,upper_left_interaction,1
270.536,upper_right_interaction,1
271.353,upper_left_interaction,1
274.179,upper_right_interaction,1
277.935,center,1
311.448,upper_right_interaction,1
312.856,lower_right_interaction,1
319.21,upper_right_interaction,1
341.809,lower_right_interaction,1
365.175,lower_left_interaction,1
369.701,lower_right_interaction,1
373.845,lower_left_interaction,1
376.928,upper_left_interaction,1
383.079,lower_left_interaction,1
385.092,upper_left_interaction,1
386.988,lower_left_interaction,1
390.616,upper_left_interaction,1
394.892,upper_right_interaction,1
398.591,lower_right_interaction,1
402.976,lower_left_interaction,1
408.301,lower_right_interaction,1
418.759,lower_left_interaction,1
423.239,lower_right_interaction,1
426.744,right_zone,1
432.996,upper_right_interaction,1
442.775,lower_right_interaction,1
444.764,lower_left_interaction,1
445.507,left_zone,1
449.052,upper_left_interaction,1
462.257,upper_right_interaction,1
463.958,upper_left_interaction,1
472.543,right_zone,1
476.014,lower_right_interaction,1
479.278,lower_left_interaction,1
485.783,left_zone,1
494.856,upper_left_interaction,1
497.777,lower_left_interaction,1
505.517,lower_right_interaction,1
507.906,upper_right_interaction,1
514.48,upper_left_interaction,1
517.645,upper_right_interaction,1
527.274,right_zone,1
540.804,lower_right_interaction,1
542.369,upper_right_interaction,1
544.544,right_zone,1
548.72,lower_right_interaction,1
550.253,lower_left_interaction,1
561.718,upper_left_interaction,1
565.939,lower_left_interaction,1
574.536,lower_right_interaction,1
578.252,lower_left_interaction,1
581.731,lower_right_interaction,1
591.16,right_zone,1
593.437,upper_right_interaction,1
631.566,upper_left_interaction,1
632.928,upper_right_interaction,1
645.133,right_zone,1
646.636,lower_right_interaction,1
654.419,lower_left_interaction,1
662.445,center,1
682.641,lower_right_interaction,1
688.307,lower_left_interaction,1
689.19,lower_right_interaction,1
690.529,right_zone,1
692.094,upper_right_interaction,1
693.661,upper_left_interaction,1
696.179,upper_right_interaction,1
696.95,center,1
718.562,lower_left_interaction,1
740.236,left_zone,1
742.403,lower_left_interaction,1
750.817,lower_right_interaction,1
795.507,lower_left_interaction,1
812.899,lower_right_interaction,1
826.315,lower_left_interaction,1
829.237,upper_left_interaction,1
835.336,lower_left_interaction,1
846.322,upper_left_interaction,1
848.214,upper_right_interaction,1
863.394,right_zone,1
866.182,upper_right_interaction,1
868.164,right_zone,1
873.013,lower_right_interaction,1
877.082,lower_left_interaction,1
878.086,lower_right_interaction,1
885.721,right_zone,1
886.419,lower_right_interaction,1
888.193,lower_left_interaction,1
891.155,lower_right_interaction,1
907.974,END,0
