time,code,class
46.626,right_zone,1
48.81,upper_right_interaction,1
49.893,upper_left_interaction,1
52.296,upper_right_interaction,1
53.401,upper_left_interaction,1
54.984,left_zone,1
56.727,lower_left_interaction,1
58.311,lower_right_interaction,1
60.833,center,1
88.489,lower_left_interaction,1
89.021,lower_right_interaction,1
91.297,upper_right_interaction,1
102.93,lower_right_interaction,1
103.982,lower_left_interaction,1
106.022,left_zone,1
107.75,upper_left_interaction,1
109.635,lower_left_interaction,1
111.412,upper_left_interaction,1
112.009,lower_left_interaction,1
118.254,center,1
136.039,lower_left_interaction,1
143.012,upper_left_interaction,1
146.177,upper_right_interaction,1
148.885,lower_right_interaction,1
149.344,lower_left_interaction,1
153.897,lower_right_interaction,1
181.748,center,1
186.057,lower_left_interaction,1
187.761,lower_right_interaction,1
188.598,right_zone,1
191.053,lower_right_interaction,1
200.001,upper_right_interaction,1
204.609,right_zone,1
207.68,lower_right_interaction,1
217.562,lower_left_interaction,1
219.691,lower_right_interaction,1
234.207,lower_left_interaction,1
237.743,upper_left_interaction,1
242.113,upper_right_interaction,1
246.325,right_zone,1
250.357,lower_right_interaction,1
250.83,lower_left_interaction,1
254.418,upper_left_interaction,1
255.789,lower_left_interaction,1
257.871,upper_left_interaction,1
259.121,lower_left_interaction,1
260.664,lower_right_interaction,1
264.498,right_zone,1
271.472,lower_right_interaction,1
273.069,lower_left_interaction,1
281.876,lower_right_interaction,1
302.57,lower_left_interaction,1
305.313,lower_right_interaction,1
388.225,center,1
389.429,lower_left_interaction,1
391.33,lower_right_interaction,1
428.722,lower_left_interaction,1
430.559,lower_right_interaction,1
436.371,lower_left_interaction,1
464.423,lower_right_interaction,1
468.555,lower_left_interaction,1
475.067,center,1
478.104,lower_left_interaction,1
479.185,lower_right_interaction,1
491.453,lower_left_interaction,1
501.337,lower_right_interaction,1
505.205,lower_left_interaction,1
512.951,lower_right_interaction,1
539.167,lower_left_interaction,1
550.585,lower_right_interaction,1
552.899,lower_left_interaction,1
556.722,upper_left_interaction,1
562.22,upper_right_interaction,1
563.228,upper_left_interaction,1
564.589,upper_right_interaction,1
573.399,lower_right_interaction,1
574.784,lower_left_interaction,1
580.277,lower_right_interaction,1
661.443,lower_left_interaction,1
676.105,center,1
693.729,lower_left_interaction,1
700.812,upper_left_interaction,1
704.731,lower_left_interaction,1
706.549,lower_right_interaction,1
765.589,upper_right_interaction,1
770.206,upper_left_interaction,1
774.315,lower_left_interaction,1
776.953,lower_right_interaction,1
849.104,lower_left_interaction,1
853.76,END,0
