time,code,class
26.929,left_zone,1
31.535,lower_left_interaction,1
116.317,upper_left_interaction,1
117.852,upper_right_interaction,1
138.608,lower_right_interaction,1
143.744,lower_left_interaction,1
149.914,upper_left_interaction,1
159.893,lower_left_interaction,1
169.904,lower_right_interaction,1
172.443,upper_right_interaction,1
183.484,lower_right_interaction,1
200.667,lower_left_interaction,1
203.206,lower_right_interaction,1
212.68,lower_left_interaction,1
217.818,left_zone,1
228.058,upper_left_interaction,1
234.201,lower_left_interaction,1
260.061,lower_right_interaction,1
268.528,lower_left_interaction,1
274.437,upper_left_interaction,1
306.272,upper_right_interaction,1
316.783,lower_right_interaction,1
322.989,lower_left_interaction,1
331.978,upper_left_interaction,1
337.872,lower_left_interaction,1
339.91,lower_right_interaction,1
340.941,center,1
707.079,lower_right_interaction,1
721.454,upper_right_interaction,1
726.059,upper_left_interaction,1
742.442,left_zone,1
743.471,lower_left_interaction,1
749.853,upper_left_interaction,1
752.155,lower_left_interaction,1
755.288,lower_right_interaction,1
769.37,right_zone,1
781.649,upper_right_interaction,1
783.182,right_zone,1
783.685,upper_right_interaction,1
791.387,right_zone,1
794.458,lower_right_interaction,1
796.23,lower_left_interaction,1
796.762,left_zone,1
808.007,lower_left_interaction,1
812.378,upper_left_interaction,1
815.95,upper_right_interaction,1
822.088,lower_right_interaction,1
824.906,upper_right_interaction,1
826.458,lower_right_interaction,1
829.765,lower_left_interaction,1
837.704,center,1
941.909,END,0
