time,code,class
47.885,left_zone,1
50.187,upper_left_interaction,1
54.292,lower_left_interaction,1
60.167,lower_right_interaction,1
71.442,upper_right_interaction,1
75.546,lower_right_interaction,1
80.918,center,1
103.174,upper_right_interaction,1
113.051,upper_left_interaction,1
128.902,lower_left_interaction,1
147.591,lower_left_interaction,1
149.653,lower_right_interaction,1
155.527,right_zone,1
161.671,lower_right_interaction,1
162.439,upper_right_interaction,1
204.679,right_zone,1
217.488,lower_right_interaction,1
236.679,lower_left_interaction,1
238.475,left_zone,1
247.451,upper_left_interaction,1
249.223,center,1
258.196,lower_right_interaction,1
259.228,lower_left_interaction,1
260.497,lower_right_interaction,1
270.982,upper_right_interaction,1
274.313,upper_left_interaction,1
275.98,lower_left_interaction,1
278.322,center,1
290.631,lower_right_interaction,1
300.743,upper_right_interaction,1
302.748,right_zone,1
304.413,upper_right_interaction,1
311.417,upper_left_interaction,1
314.418,left_zone,1
322.759,lower_left_interaction,1
327.431,center,1
336.775,lower_right_interaction,1
337.442,upper_right_interaction,1
343.451,center,1
350.129,upper_right_interaction,1
352.796,upper_left_interaction,1
355.805,left_zone,1
362.466,lower_left_interaction,1
383.155,lower_right_interaction,1
392.838,right_zone,1
405.51,lower_right_interaction,1
411.849,center,1
447.559,upper_left_interaction,1
449.565,lower_left_interaction,1
451.229,center,1
467.911,lower_right_interaction,1
479.584,right_zone,1
483.932,upper_right_interaction,1
485.257,upper_left_interaction,1
486.599,left_zone,1
491.27,lower_left_interaction,1
492.596,center,1
505.61,lower_right_interaction,1
509.959,right_zone,1
534.984,lower_right_interaction,1
536.975,upper_right_interaction,1
549.987,upper_left_interaction,1
569.35,lower_left_interaction,1
580.358,lower_right_interaction,1
583.688,upper_right_interaction,1
585.031,center,1
607.047,upper_right_interaction,1
608.713,center,1
624.071,lower_right_interaction,1
626.396,lower_left_interaction,1
640.412,upper_right_interaction,1
645.75,center,1
786.395,lower_right_interaction,1
802.076,right_zone,1
812.75,lower_right_interaction,1
817.756,upper_right_interaction,1
822.428,right_zone,1
857.138,lower_right_interaction,1
859.144,upper_right_interaction,1
863.474,upper_left_interaction,1
866.139,lower_left_interaction,1
866.804,left_zone,1
876.486,upper_left_interaction,1
884.487,upper_right_interaction,1
886.835,lower_right_interaction,1
895.5,upper_right_interaction,1
906.511,right_zone,1
941.88,lower_right_interaction,1
945.222,right_zone,1
952.018,END,0
