time,code,class
32.901,left_zone,1
34.778,lower_left_interaction,1
46.247,upper_left_interaction,1
47.481,left_zone,1
48.73,upper_left_interaction,1
50.885,upper_right_interaction,1
51.519,right_zone,1
52.444,lower_right_interaction,1
55.835,upper_right_interaction,1
59.561,upper_left_interaction,1
64.56,center,1
79.447,lower_left_interaction,1
80.987,upper_left_interaction,1
81.616,lower_left_interaction,1
91.558,lower_right_interaction,1
98.066,lower_left_interaction,1
99.632,upper_left_interaction,1
100.25,lower_left_interaction,1
103.004,lower_right_interaction,1
104.572,right_zone,1
106.716,upper_right_interaction,1
112.644,upper_left_interaction,1
113.863,lower_left_interaction,1
116.358,upper_left_interaction,1
123.206,left_zone,1
131.298,lower_left_interaction,1
147.749,lower_right_interaction,1
148.984,right_zone,1
157.062,upper_right_interaction,1
157.691,lower_right_interaction,1
158.618,upper_right_interaction,1
160.474,upper_left_interaction,1
161.391,lower_left_interaction,1
165.766,lower_right_interaction,1
166.701,center,1
201.401,lower_right_interaction,1
201.401,lower_left_interaction,1
202.011,left_zone,1
203.567,upper_left_interaction,1
204.805,lower_left_interaction,1
206.982,lower_right_interaction,1
208.539,upper_right_interaction,1
210.693,center,1
220.737,upper_right_interaction,1
232.821,upper_left_interaction,1
237.792,center,1
251.444,upper_left_interaction,1
252.063,left_zone,1
255.477,upper_left_interaction,1
256.415,upper_right_interaction,1
257.653,right_zone,1
258.275,upper_right_interaction,1
259.209,center,1
296.178,upper_left_interaction,1
297.413,lower_left_interaction,1
320.053,lower_right_interaction,1
321.604,right_zone,1
323.465,lower_right_interaction,1
331.814,upper_right_interaction,1
333.065,lower_right_interaction,1
336.479,center,1
345.463,upper_left_interaction,1
346.08,left_zone,1
349.499,upper_left_interaction,1
352.586,center,1
368.986,upper_right_interaction,1
372.083,upper_left_interaction,1
375.796,lower_left_interaction,1
378.272,upper_left_interaction,1
380.763,lower_left_interaction,1
381.999,lower_right_interaction,1
387.905,right_zone,1
394.378,lower_right_interaction,1
396.276,upper_right_interaction,1
398.473,upper_left_interaction,1
399.091,left_zone,1
400.009,lower_left_interaction,1
415.498,upper_left_interaction,1
418.3,lower_left_interaction,1
429.194,lower_right_interaction,1
430.751,upper_right_interaction,1
433.226,center,1
455.923,lower_left_interaction,1
457.474,lower_right_interaction,1
460.255,lower_left_interaction,1
463.968,lower_right_interaction,1
464.907,lower_left_interaction,1
467.684,left_zone,1
473.268,upper_left_interaction,1
476.693,upper_right_interaction,1
478.228,upper_left_interaction,1
482.265,lower_left_interaction,1
493.41,center,1
505.225,upper_left_interaction,1
506.155,upper_right_interaction,1
509.893,lower_right_interaction,1
512.693,center,1
522.571,upper_left_interaction,1
525.042,center,1
543.661,lower_left_interaction,1
555.107,upper_left_interaction,1
561.632,lower_left_interaction,1
566.623,lower_right_interaction,1
570.335,lower_left_interaction,1
571.573,upper_left_interaction,1
572.192,lower_left_interaction,1
575.96,upper_left_interaction,1
576.267,left_zone,1
579.401,upper_left_interaction,1
581.565,upper_right_interaction,1
582.494,right_zone,1
586.547,lower_right_interaction,1
587.785,lower_left_interaction,1
591.198,center,1
617.601,upper_right_interaction,1
618.227,upper_left_interaction,1
624.117,lower_left_interaction,1
625.994,lower_right_interaction,1
628.477,lower_left_interaction,1
629.712,center,1
656.106,lower_left_interaction,1
684.166,upper_left_interaction,1
686.346,left_zone,1
693.175,lower_left_interaction,1
694.411,lower_right_interaction,1
695.604,lower_right_interaction,1
696.845,center,1
715.465,lower_right_interaction,1
716.085,upper_right_interaction,1
725.087,upper_left_interaction,1
729.111,center,1
767.016,lower_left_interaction,1
769.486,left_zone,1
770.742,upper_left_interaction,1
771.977,upper_right_interaction,1
773.195,upper_left_interaction,1
773.824,center,1
788.103,lower_left_interaction,1
789.962,lower_right_interaction,1
793.993,upper_right_interaction,1
802.051,upper_left_interaction,1
803.892,lower_left_interaction,1
822.517,lower_right_interaction,1
823.754,lower_left_interaction,1
824.692,lower_right_interaction,1
828.105,right_zone,1
850.433,upper_right_interaction,1
853.835,center,1
871.84,upper_left_interaction,1
874.315,left_zone,1
880.223,lower_left_interaction,1
896.352,upper_left_interaction,1
899.465,lower_left_interaction,1
901.017,left_zone,1
904.435,lower_left_interaction,1
905.973,left_zone,1
915.294,upper_left_interaction,1
930.186,center,1
955.274,lower_left_interaction,1
956.022,END,0
