time,code,class
39.137,left_zone,1
39.383,lower_left_interaction,1
45.75,upper_left_interaction,1
50.449,lower_left_interaction,1
53.061,upper_left_interaction,1
55.028,upper_right_interaction,1
59.084,upper_left_interaction,1
62.928,upper_right_interaction,1
65.015,upper_left_interaction,1
73.742,upper_left_interaction,1
73.742,upper_right_interaction,1
74.804,upper_left_interaction,1
79.976,upper_right_interaction,1
88.315,upper_left_interaction,1
91.467,upper_right_interaction,1
98.663,lower_right_interaction,1
104.822,lower_left_interaction,1
109.26,lower_right_interaction,1
111.681,lower_left_interaction,1
114.742,upper_left_interaction,1
117.062,lower_left_interaction,1
120.545,upper_left_interaction,1
127.317,upper_right_interaction,1
131.136,upper_left_interaction,1
135.398,left_zone,1
161.266,upper_left_interaction,1
169.875,upper_right_interaction,1
170.78,upper_left_interaction,1
172.501,upper_right_interaction,1
173.234,right_zone,1
176.877,lower_right_interaction,1
179.673,lower_left_interaction,1
180.983,left_zone,1
309.38,upper_left_interaction,1
316.832,lower_left_interaction,1
329.836,upper_left_interaction,1
330.847,lower_left_interaction,1
334.567,left_zone,1
405.336,upper_left_interaction,1
410.911,lower_left_interaction,1
411.531,lower_right_interaction,1
412.419,right_zone,1
414.261,upper_right_interaction,1
414.851,lower_right_interaction,1
418.531,lower_left_interaction,1
419.781,upper_left_interaction,1
420.957,lower_left_interaction,1
422.52,upper_left_interaction,1
424.249,lower_left_interaction,1
426.999,upper_left_interaction,1
430.215,upper_right_interaction,1
431.033,right_zone,1
436.27,lower_right_interaction,1
440.24,lower_left_interaction,1
441.989,left_zone,1
461.472,lower_left_interaction,1
468.2,lower_right_interaction,1
468.627,right_zone,1
478.521,upper_right_interaction,1
480.489,upper_left_interaction,1
481.34,left_zone,1
501.38,upper_left_interaction,1
517.882,upper_right_interaction,1
518.815,upper_left_interaction,1
519.814,lower_left_interaction,1
535.067,upper_left_interaction,1
536.425,lower_left_interaction,1
554.479,upper_left_interaction,1
570.06,lower_left_interaction,1
579.668,upper_left_interaction,1
588.827,left_zone,1
589.964,lower_left_interaction,1
622.901,upper_left_interaction,1
623.92,lower_left_interaction,1
627.133,upper_left_interaction,1
628.025,lower_left_interaction,1
640.88,upper_left_interaction,1
644.643,lower_left_interaction,1
647.032,upper_left_interaction,1
649.271,lower_left_interaction,1
656.349,upper_left_interaction,1
659.355,upper_right_interaction,1
666.133,lower_right_interaction,1
668.742,lower_left_interaction,1
673.133,left_zone,1
757.162,upper_left_interaction,1
760.784,lower_left_interaction,1
769.009,left_zone,1
775.752,lower_left_interaction,1
778.641,upper_left_interaction,1
780.613,upper_right_interaction,1
791.295,center,1
812.775,lower_right_interaction,1
813.302,lower_left_interaction,1
831.33,upper_left_interaction,1
838.815,upper_right_interaction,1
841.775,upper_left_interaction,1
843.077,upper_right_interaction,1
843.969,upper_left_interaction,1
847.621,left_zone,1
864.176,upper_left_interaction,1
864.839,lower_left_interaction,1
873.298,upper_left_interaction,1
877.086,upper_right_interaction,1
880.757,upper_left_interaction,1
883.104,upper_right_interaction,1
889.903,center,1
892.415,END,0
