time,code,class
42.044,right_zone,1
42.408,upper_right_interaction,1
43.616,lower_right_interaction,1
45.748,upper_right_interaction,1
58.392,right_zone,1
60.885,upper_right_interaction,1
62.699,upper_left_interaction,1
71.392,upper_right_interaction,1
79.64,upper_left_interaction,1
115.285,upper_right_interaction,1
119.045,lower_right_interaction,1
126.455,lower_left_interaction,1
131.99,upper_left_interaction,1
135.643,lower_left_interaction,1
136.112,upper_left_interaction,1
168.965,lower_left_interaction,1
177.246,upper_left_interaction,1
188.154,lower_left_interaction,1
190.197,upper_left_interaction,1
196.449,upper_right_interaction,1
200.414,lower_right_interaction,1
203.375,lower_left_interaction,1
209.408,lower_right_interaction,1
210.504,lower_left_interaction,1
212.748,upper_left_interaction,1
294.833,upper_right_interaction,1
296.717,right_zone,1
298.6,upper_right_interaction,1
306.359,upper_left_interaction,1
341.645,upper_right_interaction,1
342.668,upper_left_interaction,1
343.944,upper_right_interaction,1
345.357,upper_left_interaction,1
346.884,upper_right_interaction,1
347.855,upper_left_interaction,1
361.732,upper_right_interaction,1
364.631,upper_left_interaction,1
371.402,lower_left_interaction,1
373.331,upper_left_interaction,1
401.534,lower_left_interaction,1
404.231,lower_right_interaction,1
408.383,lower_left_interaction,1
411.147,lower_right_interaction,1
412.013,lower_left_interaction,1
413.236,upper_left_interaction,1
424.13,upper_right_interaction,1
425.395,upper_left_interaction,1
426.092,upper_right_interaction,1
431.14,upper_left_interaction,1
444.711,lower_left_interaction,1
445.914,lower_right_interaction,1
456.216,lower_left_interaction,1
458.998,upper_left_interaction,1
461.492,lower_left_interaction,1
475.952,upper_left_interaction,1
479.153,lower_left_interaction,1
483.298,upper_left_interaction,1
512.289,lower_left_interaction,1
518.593,upper_left_interaction,1
735.07,upper_right_interaction,1
736.648,lower_right_interaction,1
746.333,lower_left_interaction,1
756.193,upper_left_interaction,1
769.129,upper_right_interaction,1
778.483,lower_right_interaction,1
784.578,upper_right_interaction,1
785.708,lower_right_interaction,1
786.879,lower_left_interaction,1
791.961,lower_right_interaction,1
801.237,lower_left_interaction,1
805.675,left_zone,1
820.317,lower_left_interaction,1
820.765,upper_left_interaction,1
899.465,END,0
