time,code,class
42.811,left_zone,1
43.313,upper_left_interaction,1
66.63,upper_right_interaction,1
90.424,upper_left_interaction,1
94.79,lower_left_interaction,1
102.971,upper_left_interaction,1
118.319,lower_left_interaction,1
120.623,lower_right_interaction,1
150.085,upper_right_interaction,1
173.374,upper_left_interaction,1
184.386,upper_right_interaction,1
194.863,lower_right_interaction,1
199.233,lower_left_interaction,1
204.869,left_zone,1
209.977,upper_left_interaction,1
223.357,upper_right_interaction,1
226.159,lower_right_interaction,1
229.999,lower_left_interaction,1
236.166,upper_left_interaction,1
339.974,upper_right_interaction,1
342.809,upper_left_interaction,1
346.886,upper_right_interaction,1
351.751,lower_right_interaction,1
365.595,lower_left_interaction,1
372.741,lower_right_interaction,1
378.379,lower_left_interaction,1
379.146,upper_left_interaction,1
388.622,upper_right_interaction,1
390.423,center,1
402.703,lower_right_interaction,1
409.877,center,1
449.816,upper_right_interaction,1
450.317,upper_left_interaction,1
451.085,lower_left_interaction,1
453.387,lower_right_interaction,1
457.224,upper_right_interaction,1
463.129,upper_left_interaction,1
463.897,left_zone,1
486.152,lower_left_interaction,1
489.222,upper_left_interaction,1
493.062,upper_right_interaction,1
494.095,right_zone,1
503.835,lower_right_interaction,1
508.678,lower_left_interaction,1
510.981,left_zone,1
518.151,upper_left_interaction,1
522.522,center,1
552.219,upper_right_interaction,1
555.525,upper_left_interaction,1
556.557,upper_right_interaction,1
558.092,lower_right_interaction,1
566.534,lower_left_interaction,1
578.843,upper_left_interaction,1
598.534,upper_right_interaction,1
604.938,upper_left_interaction,1
611.344,upper_right_interaction,1
614.15,right_zone,1
624.155,lower_right_interaction,1
625.426,upper_right_interaction,1
635.403,lower_right_interaction,1
639.239,upper_right_interaction,1
651.785,upper_left_interaction,1
652.82,left_zone,1
663.062,lower_left_interaction,1
664.07,lower_right_interaction,1
674.574,lower_left_interaction,1
675.609,upper_left_interaction,1
679.447,upper_right_interaction,1
681.749,lower_right_interaction,1
683.784,upper_right_interaction,1
689.157,center,1
858.124,upper_left_interaction,1
862.997,upper_right_interaction,1
870.67,lower_right_interaction,1
884.751,upper_right_interaction,1
896.262,right_zone,1
949.923,END,0
