time,code,class
40.859,left_zone,1
41.358,lower_left_interaction,1
43.161,lower_right_interaction,1
44.193,right_zone,1
45.728,upper_right_interaction,1
56.207,lower_right_interaction,1
58.009,lower_left_interaction,1
59.04,left_zone,1
60.576,upper_left_interaction,1
61.078,upper_right_interaction,1
62.348,right_zone,1
62.88,lower_right_interaction,1
64.416,lower_left_interaction,1
68.492,upper_left_interaction,1
69.28,upper_right_interaction,1
70.554,lower_right_interaction,1
78.731,upper_right_interaction,1
82.834,right_zone,1
86.937,lower_right_interaction,1
87.705,upper_right_interaction,1
89.239,lower_right_interaction,1
98.957,upper_right_interaction,1
117.902,upper_left_interaction,1
128.912,upper_right_interaction,1
139.724,lower_right_interaction,1
140.224,upper_right_interaction,1
141.494,lower_right_interaction,1
142.026,upper_right_interaction,1
144.83,upper_left_interaction,1
145.863,upper_right_interaction,1
152.003,upper_left_interaction,1
153.271,upper_right_interaction,1
156.607,lower_right_interaction,1
156.607,right_zone,1
157.111,lower_right_interaction,1
159.414,lower_left_interaction,1
162.508,lower_right_interaction,1
163.014,lower_left_interaction,1
165.58,upper_left_interaction,1
167.351,left_zone,1
171.19,upper_left_interaction,1
178.629,lower_left_interaction,1
179.13,left_zone,1
184.936,upper_left_interaction,1
186.165,upper_right_interaction,1
187.085,right_zone,1
197.622,lower_right_interaction,1
201.952,lower_left_interaction,1
202.573,left_zone,1
207.226,lower_left_interaction,1
209.099,lower_right_interaction,1
210.329,right_zone,1
214.333,upper_right_interaction,1
218.38,upper_left_interaction,1
220.24,left_zone,1
220.557,upper_left_interaction,1
222.107,upper_left_interaction,1
227.702,upper_right_interaction,1
229.858,lower_right_interaction,1
232.351,center,1
299.083,upper_left_interaction,1
299.383,left_zone,1
300.953,lower_left_interaction,1
314.599,upper_left_interaction,1
315.228,upper_right_interaction,1
315.836,right_zone,1
322.669,lower_right_interaction,1
329.809,lower_left_interaction,1
332.007,upper_left_interaction,1
336.658,upper_right_interaction,1
345.958,lower_right_interaction,1
348.155,lower_left_interaction,1
349.394,upper_left_interaction,1
352.808,center,1
369.298,lower_left_interaction,1
369.916,upper_left_interaction,1
370.236,lower_left_interaction,1
373.648,lower_right_interaction,1
377.64,upper_left_interaction,1
378.258,upper_right_interaction,1
379.194,right_zone,1
381.062,upper_right_interaction,1
382.929,lower_right_interaction,1
383.547,center,1
397.159,lower_left_interaction,1
397.778,left_zone,1
398.713,upper_left_interaction,1
400.881,lower_left_interaction,1
408.594,lower_right_interaction,1
409.531,upper_right_interaction,1
411.388,upper_left_interaction,1
412.306,center,1
439.57,lower_left_interaction,1
439.886,upper_left_interaction,1
440.82,upper_right_interaction,1
441.745,right_zone,1
444.224,lower_right_interaction,1
445.458,lower_left_interaction,1
445.778,left_zone,1
452.3,upper_left_interaction,1
452.903,lower_left_interaction,1
455.077,lower_right_interaction,1
468.732,upper_right_interaction,1
502.226,upper_left_interaction,1
502.85,lower_left_interaction,1
513.093,upper_left_interaction,1
516.829,center,1
525.181,upper_right_interaction,1
525.5,upper_left_interaction,1
526.118,center,1
540.653,upper_left_interaction,1
542.205,upper_right_interaction,1
542.824,right_zone,1
545.34,upper_right_interaction,1
547.195,lower_right_interaction,1
548.134,upper_right_interaction,1
554.664,upper_left_interaction,1
555.58,lower_left_interaction,1
555.899,left_zone,1
559.313,lower_left_interaction,1
568.282,upper_left_interaction,1
568.592,left_zone,1
569.517,upper_left_interaction,1
570.13,upper_right_interaction,1
571.069,lower_right_interaction,1
571.686,lower_left_interaction,1
572.625,center,1
594.3,upper_right_interaction,1
602.684,upper_left_interaction,1
607.987,upper_right_interaction,1
608.923,upper_left_interaction,1
609.533,lower_left_interaction,1
612.959,upper_left_interaction,1
616.965,upper_right_interaction,1
617.596,right_zone,1
618.833,lower_right_interaction,1
622.87,lower_left_interaction,1
623.502,lower_right_interaction,1
623.803,lower_left_interaction,1
624.437,left_zone,1
625.041,lower_left_interaction,1
628.453,upper_left_interaction,1
630.93,lower_left_interaction,1
631.547,upper_left_interaction,1
631.847,left_zone,1
639.591,lower_left_interaction,1
643.657,lower_right_interaction,1
645.5,right_zone,1
647.361,upper_right_interaction,1
647.675,upper_left_interaction,1
648.912,left_zone,1
655.099,lower_left_interaction,1
656.317,center,1
663.762,upper_left_interaction,1
665.946,left_zone,1
668.114,lower_left_interaction,1
680.509,lower_right_interaction,1
681.761,lower_left_interaction,1
682.696,lower_right_interaction,1
683.303,lower_left_interaction,1
687.333,left_zone,1
691.067,upper_left_interaction,1
692.305,upper_right_interaction,1
695.719,center,1
718.664,lower_left_interaction,1
719.9,upper_left_interaction,1
722.045,left_zone,1
723.6,lower_left_interaction,1
724.52,lower_right_interaction,1
725.138,right_zone,1
729.808,lower_right_interaction,1
731.367,center,1
751.532,upper_right_interaction,1
755.57,upper_left_interaction,1
756.504,upper_right_interaction,1
758.971,upper_left_interaction,1
759.889,lower_left_interaction,1
761.742,lower_right_interaction,1
762.982,lower_left_interaction,1
763.91,lower_right_interaction,1
764.519,lower_left_interaction,1
765.457,upper_left_interaction,1
771.026,left_zone,1
776.893,upper_left_interaction,1
779.089,lower_left_interaction,1
780.647,left_zone,1
781.586,lower_left_interaction,1
784.363,upper_left_interaction,1
