time,code,class
48.354,right_zone,1
69.606,lower_right_interaction,1
78.885,lower_left_interaction,1
79.788,left_zone,1
81.585,upper_left_interaction,1
84.196,lower_left_interaction,1
84.723,upper_left_interaction,1
86.708,upper_right_interaction,1
87.986,right_zone,1
110.208,lower_right_interaction,1
110.778,upper_right_interaction,1
119.085,lower_right_interaction,1
123.003,upper_right_interaction,1
128.297,lower_right_interaction,1
135.101,lower_left_interaction,1
136.97,upper_left_interaction,1
138.949,left_zone,1
141.743,upper_left_interaction,1
143.266,upper_right_interaction,1
143.678,right_zone,1
187.628,lower_right_interaction,1
193.674,lower_left_interaction,1
193.957,left_zone,1
199.904,upper_left_interaction,1
204.903,upper_right_interaction,1
205.41,right_zone,1
217.92,upper_right_interaction,1
219.017,lower_right_interaction,1
219.656,lower_left_interaction,1
220.773,left_zone,1
229.596,lower_left_interaction,1
241.079,lower_right_interaction,1
250.243,lower_left_interaction,1
253.281,lower_right_interaction,1
254.547,right_zone,1
256.254,upper_right_interaction,1
262.47,upper_left_interaction,1
265.572,lower_left_interaction,1
267.235,upper_left_interaction,1
275.765,upper_right_interaction,1
278.579,lower_right_interaction,1
280.819,upper_right_interaction,1
282.981,lower_right_interaction,1
293.024,upper_right_interaction,1
303.139,right_zone,1
362.667,lower_right_interaction,1
364.272,lower_left_interaction,1
377.238,lower_right_interaction,1
378.014,right_zone,1
380.255,lower_right_interaction,1
397.333,right_zone,1
398.867,lower_right_interaction,1
424.423,right_zone,1
459.756,upper_right_interaction,1
464.338,lower_right_interaction,1
470.78,right_zone,1
473.541,upper_right_interaction,1
474.598,upper_left_interaction,1
476.275,left_zone,1
483.809,upper_left_interaction,1
495.8,left_zone,1
503.637,upper_left_interaction,1
506.008,upper_right_interaction,1
512.775,lower_right_interaction,1
515.468,upper_right_interaction,1
520.054,lower_right_interaction,1
521.553,upper_right_interaction,1
522.761,lower_right_interaction,1
524.734,lower_left_interaction,1
530.676,upper_left_interaction,1
532.382,upper_right_interaction,1
533.373,lower_right_interaction,1
535.234,lower_left_interaction,1
538.236,lower_right_interaction,1
543.914,lower_left_interaction,1
545.274,lower_right_interaction,1
546.052,upper_right_interaction,1
554.291,lower_right_interaction,1
556.462,center,1
601.803,upper_right_interaction,1
606.528,center,1
615.011,upper_right_interaction,1
621.184,center,1
686.484,upper_right_interaction,1
688.022,center,1
690.924,upper_right_interaction,1
694.058,lower_right_interaction,1
694.337,right_zone,1
773.283,lower_right_interaction,1
776.776,lower_left_interaction,1
777.506,left_zone,1
788.384,lower_left_interaction,1
790.621,lower_right_interaction,1
791.258,right_zone,1
890.79,END,0
