time,code,class
38.273,left_zone,1
49.519,upper_left_interaction,1
56.19,upper_right_interaction,1
65.969,lower_right_interaction,1
76.741,right_zone,1
89.285,upper_right_interaction,1
93.628,upper_left_interaction,1
96.198,upper_right_interaction,1
98.239,upper_left_interaction,1
101.069,upper_right_interaction,1
102.103,right_zone,1
103.115,upper_right_interaction,1
104.137,right_zone,1
173.841,lower_right_interaction,1
179.746,right_zone,1
186.653,lower_right_interaction,1
189.223,lower_left_interaction,1
199.967,upper_left_interaction,1
201.768,upper_right_interaction,1
202.783,right_zone,1
223.291,lower_right_interaction,1
226.867,right_zone,1
234.803,upper_right_interaction,1
235.836,upper_left_interaction,1
237.372,left_zone,1
240.975,lower_left_interaction,1
241.477,left_zone,1
276.314,lower_left_interaction,1
285.285,lower_right_interaction,1
286.556,upper_right_interaction,1
291.692,center,1
303.97,upper_right_interaction,1
306.016,center,1
324.725,lower_right_interaction,1
331.632,center,1
370.305,upper_right_interaction,1
375.943,upper_left_interaction,1
383.625,center,1
407.174,lower_right_interaction,1
415.983,lower_left_interaction,1
421.622,left_zone,1
434.601,upper_left_interaction,1
435.103,lower_left_interaction,1
436.135,center,1
461.295,upper_right_interaction,1
464.368,lower_right_interaction,1
470.004,center,1
546.544,lower_right_interaction,1
549.083,right_zone,1
552.419,lower_right_interaction,1
552.925,upper_right_interaction,1
556.763,upper_left_interaction,1
557.791,left_zone,1
571.104,lower_left_interaction,1
590.56,upper_left_interaction,1
592.86,left_zone,1
602.369,lower_left_interaction,1
604.404,lower_right_interaction,1
611.312,lower_left_interaction,1
614.148,upper_left_interaction,1
618.753,lower_left_interaction,1
621.834,center,1
646.92,upper_right_interaction,1
655.855,lower_right_interaction,1
657.631,upper_right_interaction,1
674.54,lower_right_interaction,1
676.844,right_zone,1
681.712,upper_right_interaction,1
682.715,center,1
804.741,lower_left_interaction,1
817.551,left_zone,1
820.357,lower_left_interaction,1
822.682,lower_right_interaction,1
828.827,right_zone,1
834.701,upper_right_interaction,1
840.586,center,1
968.034,END,0
