time,code,class
30.931,left_zone,1
31.698,upper_left_interaction,1
35.537,lower_left_interaction,1
36.805,left_zone,1
42.443,upper_left_interaction,1
43.21,left_zone,1
204.079,upper_left_interaction,1
215.196,upper_right_interaction,1
219.526,right_zone,1
224.176,upper_right_interaction,1
228.507,upper_left_interaction,1
228.806,left_zone,1
230.363,lower_left_interaction,1
237.487,upper_left_interaction,1
242.159,upper_right_interaction,1
246.171,right_zone,1
258.259,lower_right_interaction,1
267.267,lower_left_interaction,1
271.601,upper_left_interaction,1
284.015,upper_right_interaction,1
285.553,upper_left_interaction,1
287.12,left_zone,1
291.125,lower_left_interaction,1
292.998,left_zone,1
297.968,upper_left_interaction,1
314.714,left_zone,1
317.509,lower_left_interaction,1
321.2,lower_right_interaction,1
326.171,right_zone,1
331.78,upper_right_interaction,1
333.915,lower_right_interaction,1
346.929,right_zone,1
350.961,upper_right_interaction,1
353.754,upper_left_interaction,1
354.374,left_zone,1
363.063,upper_left_interaction,1
367.729,upper_right_interaction,1
368.347,right_zone,1
372.698,upper_right_interaction,1
375.174,upper_left_interaction,1
384.475,left_zone,1
397.21,lower_left_interaction,1
401.234,lower_right_interaction,1
401.841,right_zone,1
409.277,lower_right_interaction,1
412.7,upper_right_interaction,1
430.342,lower_right_interaction,1
432.5,upper_right_interaction,1
445.244,upper_left_interaction,1
446.78,left_zone,1
462.596,upper_left_interaction,1
469.103,upper_right_interaction,1
470.341,lower_right_interaction,1
479.963,lower_left_interaction,1
491.441,left_zone,1
495.462,upper_left_interaction,1
498.865,upper_right_interaction,1
501.958,upper_left_interaction,1
502.875,upper_right_interaction,1
510.918,upper_left_interaction,1
513.714,left_zone,1
518.982,upper_left_interaction,1
519.285,lower_left_interaction,1
521.154,left_zone,1
528.902,lower_right_interaction,1
532.01,lower_left_interaction,1
532.913,left_zone,1
539.439,upper_left_interaction,1
543.776,upper_right_interaction,1
554.02,upper_left_interaction,1
556.485,left_zone,1
558.025,upper_left_interaction,1
559.92,upper_right_interaction,1
561.761,right_zone,1
568.262,lower_right_interaction,1
579.98,lower_left_interaction,1
580.293,left_zone,1
683.397,upper_left_interaction,1
687.09,left_zone,1
693.018,upper_left_interaction,1
696.411,upper_right_interaction,1
697.33,right_zone,1
710.043,upper_right_interaction,1
710.977,lower_right_interaction,1
713.157,lower_left_interaction,1
713.777,left_zone,1
935.344,END,0
