time,code,class
28.529,left_zone,1
31.6,lower_left_interaction,1
38.273,upper_left_interaction,1
39.808,lower_left_interaction,1
40.07,upper_left_interaction,1
43.91,upper_right_interaction,1
45.68,right_zone,1
47.749,upper_right_interaction,1
49.784,upper_left_interaction,1
50.818,left_zone,1
105.219,upper_left_interaction,1
107.697,lower_left_interaction,1
110.172,lower_right_interaction,1
112.028,right_zone,1
113.926,lower_right_interaction,1
116.396,upper_right_interaction,1
118.565,lower_right_interaction,1
119.493,upper_right_interaction,1
122.608,lower_right_interaction,1
124.165,upper_right_interaction,1
131.59,lower_right_interaction,1
133.146,lower_left_interaction,1
133.767,upper_left_interaction,1
136.561,lower_left_interaction,1
143.964,lower_right_interaction,1
147.061,right_zone,1
147.994,lower_right_interaction,1
148.294,upper_right_interaction,1
150.789,lower_right_interaction,1
151.728,upper_right_interaction,1
162.608,right_zone,1
168.199,lower_right_interaction,1
171.617,lower_left_interaction,1
172.549,left_zone,1
186.78,lower_left_interaction,1
188.335,upper_left_interaction,1
191.749,lower_left_interaction,1
193.287,upper_left_interaction,1
195.442,upper_right_interaction,1
197.617,upper_left_interaction,1
198.245,upper_right_interaction,1
199.479,upper_left_interaction,1
200.732,upper_right_interaction,1
203.824,upper_left_interaction,1
205.362,upper_right_interaction,1
216.242,upper_left_interaction,1
217.799,upper_right_interaction,1
219.066,lower_right_interaction,1
219.995,upper_right_interaction,1
225.605,lower_right_interaction,1
228.699,upper_right_interaction,1
234.608,lower_right_interaction,1
239.28,upper_right_interaction,1
239.899,upper_left_interaction,1
241.136,lower_left_interaction,1
253.2,upper_left_interaction,1
254.134,lower_left_interaction,1
274.921,lower_right_interaction,1
276.764,upper_right_interaction,1
277.39,right_zone,1
280.159,upper_right_interaction,1
289.77,lower_right_interaction,1
295.642,lower_left_interaction,1
297.82,upper_left_interaction,1
301.851,lower_left_interaction,1
347.793,left_zone,1
354.608,upper_left_interaction,1
359.872,left_zone,1
372.934,lower_left_interaction,1
376.049,left_zone,1
385.364,upper_left_interaction,1
387.525,left_zone,1
388.444,lower_left_interaction,1
400.88,left_zone,1
404.614,upper_left_interaction,1
405.852,lower_left_interaction,1
411.441,lower_right_interaction,1
413.596,upper_right_interaction,1
433.457,lower_right_interaction,1
439.052,right_zone,1
475.923,lower_right_interaction,1
480.56,upper_right_interaction,1
491.783,upper_left_interaction,1
495.207,left_zone,1
499.526,lower_left_interaction,1
502.62,left_zone,1
503.856,lower_left_interaction,1
505.414,lower_right_interaction,1
506.971,lower_left_interaction,1
509.454,lower_right_interaction,1
510.086,lower_left_interaction,1
515.056,upper_left_interaction,1
516.294,lower_left_interaction,1
517.83,left_zone,1
520.001,lower_left_interaction,1
522.468,lower_right_interaction,1
524.336,upper_right_interaction,1
532.08,lower_right_interaction,1
532.711,right_zone,1
534.256,lower_right_interaction,1
538.268,upper_right_interaction,1
538.887,right_zone,1
540.453,upper_right_interaction,1
542.622,upper_left_interaction,1
543.559,left_zone,1
548.229,upper_left_interaction,1
552.241,left_zone,1
555.655,lower_left_interaction,1
556.592,upper_left_interaction,1
557.836,upper_right_interaction,1
559.404,right_zone,1
560.966,lower_right_interaction,1
564.042,upper_right_interaction,1
564.657,upper_left_interaction,1
565.594,left_zone,1
587.226,upper_left_interaction,1
593.117,upper_right_interaction,1
604.294,lower_right_interaction,1
608.327,upper_right_interaction,1
616.709,lower_right_interaction,1
619.484,lower_left_interaction,1
621.339,upper_left_interaction,1
626.305,upper_right_interaction,1
627.228,right_zone,1
656.114,upper_right_interaction,1
686.811,lower_right_interaction,1
694.696,upper_right_interaction,1
694.83,upper_left_interaction,1
697.275,lower_left_interaction,1
700.667,upper_left_interaction,1
708.432,left_zone,1
712.443,lower_left_interaction,1
721.403,lower_right_interaction,1
722.321,lower_left_interaction,1
723.259,lower_right_interaction,1
724.496,upper_right_interaction,1
734.118,lower_right_interaction,1
740.625,lower_left_interaction,1
741.874,upper_left_interaction,1
757.99,left_zone,1
882.064,upper_left_interaction,1
885.783,lower_left_interaction,1
889.188,upper_left_interaction,1
898.491,upper_right_interaction,1
899.408,lower_right_interaction,1
934.461,END,0
