time,code,class
0.768,center_middle,1
6.643,center_left,1
7.913,left_wall,1
9.712,upper_wall,1
35.073,upper_left,1
36.077,center_left,1
37.11,lower_middle,1
40.447,center_left,1
41.451,center_middle,1
44.782,center_left,1
46.848,center_middle,1
48.121,lower_left,1
48.622,lower_middle,1
50.154,center_middle,1
51.954,upper_middle,1
52.461,upper_right,1
53.229,right_wall,1
54.527,upper_right,1
55.027,upper_middle,1
55.793,center_middle,1
57.069,center_left,1
58.623,lower_left,1
60.16,lower_middle,1
61.696,lower_left,1
62.968,lower_middle,1
65.273,lower_right,1
66.805,center_middle,1
67.839,upper_middle,1
69.105,center_middle,1
69.375,center_left,1
70.399,upper_left,1
71.408,left_wall,1
72.947,center_left,1
73.98,upper_left,1
74.748,upper_wall,1
78.848,upper_left,1
81.92,upper_middle,1
84.458,upper_right,1
87.551,upper_middle,1
89.087,upper_left,1
90.364,upper_wall,1
95.469,left_wall,1
100.076,upper_left,1
101.874,upper_middle,1
102.139,center_middle,1
104.704,lower_middle,1
107.008,lower_left,1
107.513,lower_wall,1
111.349,lower_middle,1
111.615,lower_left,1
112.621,lower_wall,1
122.362,right_wall,1
126.465,upper_right,1
127.469,upper_middle,1
129.535,upper_left,1
129.77,center_left,1
132.095,lower_middle,1
134.141,center_middle,1
135.404,center_right,1
137.471,right_wall,1
139.511,upper_wall,1
175.085,upper_left,1
176.117,upper_middle,1
177.918,center_middle,1
178.943,center_left,1
181.755,lower_left,1
185.089,lower_middle,1
186.358,lower_left,1
186.623,center_left,1
189.425,upper_left,1
190.197,upper_middle,1
193.023,center_middle,1
193.772,lower_middle,1
195.068,center_middle,1
196.334,center_left,1
196.601,upper_left,1
198.639,left_wall,1
203.008,lower_wall,1
209.388,lower_left,1
210.418,lower_middle,1
222.719,center_right,1
223.727,upper_right,1
224.255,upper_wall,1
227.565,upper_middle,1
229.87,upper_left,1
233.472,upper_middle,1
234.477,center_middle,1
235.006,center_right,1
236.012,right_wall,1
250.353,upper_wall,1
261.102,upper_middle,1
262.401,center_middle,1
263.405,lower_middle,1
264.703,lower_left,1
267.506,lower_middle,1
268.541,center_middle,1
278.515,lower_middle,1
280.05,center_middle,1
281.585,center_left,1
282.622,upper_left,1
285.692,left_wall,1
290.797,upper_left,1
296.433,upper_wall,1
317.424,upper_left,1
320.256,center_middle,1
320.758,upper_middle,1
322.561,upper_right,1
326.131,right_wall,1
333.04,upper_right,1
333.807,center_right,1
335.873,lower_middle,1
336.877,center_middle,1
338.413,center_left,1
341.246,lower_left,1
343.039,lower_middle,1
365.039,lower_right,1
367.105,center_right,1
367.341,center_middle,1
368.372,upper_middle,1
369.906,upper_left,1
370.942,center_left,1
371.44,center_middle,1
372.478,center_left,1
374.513,left_wall,1
378.352,lower_wall,1
387.827,center_left,1
389.887,lower_middle,1
420.225,center_middle,1
423.793,upper_middle,1
427.391,upper_wall,1
433.537,upper_left,1
436.608,center_left,1
439.148,lower_middle,1
439.916,lower_wall,1
453.994,right_wall,1
458.861,lower_wall,1
462.201,lower_middle,1
462.464,lower_middle,1
463.47,lower_right,1
464,center_middle,1
471.148,center_right,1
473.471,upper_right,1
477.312,upper_middle,1
478.316,upper_left,1
480.883,upper_wall,1
488.56,left_wall,1
490.624,upper_wall,1
493.167,upper_left,1
495.233,center_middle,1
497.005,lower_middle,1
542.08,lower_left,1
545.151,center_left,1
546.686,upper_left,1
548.984,upper_right,1
549.227,upper_left,1
551.552,upper_right,1
554.358,upper_wall,1
564.096,upper_right,1
567.407,center_middle,1
570.477,lower_middle,1
591.996,lower_wall,1
602.931,lower_middle,1
612.504,lower_wall,1
612.504,END,0
