time,code,class
1.036,center_middle,1
2.063,center_right,1
7.44,right_wall,1
11.516,lower_wall,1
131.334,right_wall,1
142.342,upper_wall,1
176.911,left_wall,1
180.238,upper_left,1
180.749,center_left,1
181.775,lower_left,1
182.781,lower_wall,1
185.353,lower_middle,1
187.656,lower_wall,1
196.623,left_wall,1
198.401,upper_left,1
199.695,upper_middle,1
200.965,upper_right,1
202.237,center_middle,1
207.374,center_right,1
209.444,right_wall,1
211.745,lower_wall,1
234.003,right_wall,1
246.048,upper_wall,1
352.549,upper_middle,1
353.556,upper_right,1
354.853,upper_wall,1
369.934,upper_left,1
372.773,center_middle,1
376.341,center_right,1
378.404,right_wall,1
381.216,lower_wall,1
388.625,lower_right,1
389.156,right_wall,1
399.134,upper_wall,1
509.712,left_wall,1
620.519,left_wall,1
621.762,lower_wall,1
621.762,END,0
