time,code,class
1.8,center_middle,1
3.601,upper_middle,1
5.137,upper_right,1
6.141,upper_wall,1
31.497,upper_right,1
32.467,center_middle,1
34.003,center_left,1
34.264,upper_middle,1
38.371,upper_wall,1
41.175,upper_left,1
45.54,center_middle,1
47.577,lower_middle,1
53.218,center_middle,1
54.488,upper_middle,1
56.289,center_middle,1
56.79,center_left,1
58.323,left_wall,1
63.462,upper_wall,1
79.314,upper_middle,1
80.101,upper_right,1
81.111,center_middle,1
81.877,center_left,1
83.683,lower_left,1
85.985,lower_middle,1
89.052,center_left,1
89.823,upper_left,1
90.59,upper_wall,1
98.528,upper_middle,1
99.557,upper_wall,1
102.63,right_wall,1
108.507,lower_wall,1
111.333,lower_right,1
114.645,center_middle,1
115.941,center_right,1
116.948,upper_middle,1
117.717,center_middle,1
119.518,lower_middle,1
120.55,center_left,1
128.724,lower_left,1
131.027,lower_middle,1
131.797,lower_wall,1
139.237,lower_left,1
142.805,center_left,1
143.333,lower_left,1
144.869,left_wall,1
145.375,lower_wall,1
152.019,left_wall,1
155.351,upper_left,1
157.924,center_middle,1
161.495,upper_middle,1
162.529,upper_wall,1
176.101,upper_middle,1
177.377,upper_left,1
178.406,upper_wall,1
181.212,left_wall,1
188.388,lower_left,1
188.645,center_left,1
189.653,center_middle,1
190.424,upper_middle,1
191.189,center_middle,1
191.959,center_right,1
192.992,lower_right,1
193.759,lower_wall,1
198.361,lower_middle,1
199.398,lower_right,1
200.165,lower_wall,1
206.807,right_wall,1
211.174,upper_wall,1
214.483,upper_right,1
215.511,upper_middle,1
217.573,center_middle,1
219.353,center_left,1
220.645,lower_left,1
221.154,center_left,1
221.921,center_middle,1
222.689,upper_middle,1
223.456,upper_right,1
224.486,upper_wall,1
229.327,right_wall,1
230.626,center_right,1
232.932,upper_right,1
233.429,upper_middle,1
233.957,upper_wall,1
242.641,upper_left,1
245.714,center_left,1
247.779,upper_left,1
248.805,center_left,1
250.341,left_wall,1
254.421,lower_left,1
255.718,lower_wall,1
271.068,left_wall,1
272.871,center_left,1
273.874,center_middle,1
275.408,center_right,1
276.944,lower_right,1
277.713,lower_wall,1
279.779,lower_right,1
280.545,right_wall,1
282.081,center_right,1
282.849,upper_right,1
287.451,upper_middle,1
290.789,upper_wall,1
297.431,left_wall,1
300.763,upper_left,1
303.833,center_middle,1
317.651,upper_middle,1
320.983,upper_wall,1
325.589,right_wall,1
326.885,upper_right,1
328.928,upper_middle,1
331.494,upper_left,1
337.106,left_wall,1
338.134,upper_wall,1
341.473,left_wall,1
343.269,upper_left,1
345.812,center_left,1
346.342,center_middle,1
357.33,upper_right,1
358.358,right_wall,1
359.391,upper_wall,1
438.737,upper_left,1
439.27,upper_middle,1
444.882,center_middle,1
445.911,upper_middle,1
452.819,upper_left,1
455.123,upper_wall,1
535.525,upper_left,1
536.536,upper_middle,1
537.568,center_middle,1
540.373,upper_middle,1
542.676,upper_wall,1
545.51,right_wall,1
553.186,center_right,1
555.75,right_wall,1
556.753,upper_wall,1
633.885,END,0
