time,code,class
0.767,center_middle,1
6.144,center_right,1
7.439,right_wall,1
8.207,upper_wall,1
22.291,upper_right,1
22.82,center_middle,1
23.589,lower_middle,1
25.125,center_middle,1
27.429,lower_middle,1
28.197,center_middle,1
33.041,center_left,1
34.338,center_middle,1
36.64,lower_middle,1
37.907,center_middle,1
40.475,lower_middle,1
42.277,center_middle,1
45.585,lower_middle,1
46.115,center_middle,1
50.721,upper_middle,1
51.222,upper_right,1
51.989,upper_wall,1
57.624,upper_middle,1
58.661,center_middle,1
60.693,lower_middle,1
62.229,center_middle,1
64.535,center_right,1
66.068,right_wall,1
69.404,upper_wall,1
75.281,left_wall,1
79.908,upper_wall,1
84.859,upper_left,1
86.923,center_middle,1
90.255,right_wall,1
95.1,center_right,1
96.9,center_middle,1
98.939,lower_middle,1
101.505,lower_left,1
102.273,left_wall,1
104.335,lower_wall,1
107.911,lower_left,1
108.413,left_wall,1
109.711,center_left,1
111.48,center_middle,1
116.62,lower_middle,1
118.155,center_middle,1
118.656,center_right,1
119.423,right_wall,1
120.456,upper_wall,1
136.335,right_wall,1
137.103,upper_wall,1
140.675,upper_right,1
143.744,right_wall,1
147.585,lower_wall,1
156.289,right_wall,1
157.056,center_right,1
157.827,upper_right,1
159.099,upper_middle,1
159.629,upper_wall,1
166.535,upper_left,1
172.941,center_left,1
174.975,lower_left,1
177.277,center_middle,1
180.616,upper_middle,1
180.879,upper_right,1
185.218,upper_wall,1
204.67,upper_right,1
205.443,upper_middle,1
205.966,upper_left,1
207.24,center_left,1
209.546,left_wall,1
210.815,lower_wall,1
214.416,lower_middle,1
218.254,center_middle,1
225.663,center_right,1
226.43,right_wall,1
227.965,lower_wall,1
236.172,lower_middle,1
240.01,left_wall,1
245.648,upper_wall,1
261.5,upper_right,1
262.528,upper_middle,1
263.803,upper_wall,1
280.974,upper_left,1
285.823,center_left,1
289.156,center_middle,1
290.69,lower_middle,1
291.727,lower_right,1
292.495,right_wall,1
293.499,lower_wall,1
295.298,right_wall,1
305.806,lower_wall,1
310.413,lower_middle,1
311.682,lower_wall,1
312.445,lower_left,1
313.743,center_left,1
314.251,center_middle,1
317.054,center_right,1
317.583,upper_right,1
320.387,upper_wall,1
328.833,upper_middle,1
332.169,upper_left,1
333.7,upper_wall,1
340.14,left_wall,1
341.674,upper_wall,1
350.119,left_wall,1
353.722,center_left,1
355.759,lower_left,1
358.059,center_left,1
358.328,center_middle,1
359.353,upper_middle,1
361.13,upper_wall,1
370.603,upper_left,1
372.138,center_left,1
372.406,left_wall,1
374.445,lower_wall,1
378.78,lower_middle,1
381.084,center_middle,1
382.616,center_right,1
389.284,right_wall,1
390.294,center_right,1
391.588,lower_right,1
393.364,lower_wall,1
403.344,right_wall,1
407.972,upper_wall,1
426.897,upper_right,1
427.664,upper_middle,1
429.462,center_middle,1
430.755,lower_middle,1
432.272,center_middle,1
432.802,center_right,1
434.337,lower_middle,1
437.669,lower_wall,1
438.942,lower_middle,1
439.709,lower_wall,1
440.741,lower_right,1
441.746,lower_wall,1
444.577,lower_right,1
445.082,center_right,1
445.849,upper_right,1
446.883,upper_wall,1
452.516,upper_left,1
455.589,left_wall,1
458.129,upper_wall,1
471.442,upper_left,1
479.647,left_wall,1
485.52,upper_wall,1
498.836,upper_middle,1
500.368,center_middle,1
503.205,center_right,1
504.474,right_wall,1
508.307,upper_wall,1
516.517,upper_right,1
518.551,upper_middle,1
520.356,upper_left,1
521.123,upper_wall,1
530.835,upper_middle,1
532.901,center_left,1
536.209,left_wall,1
538.272,lower_wall,1
542.112,lower_middle,1
542.879,lower_wall,1
547.986,right_wall,1
554.391,center_right,1
554.916,right_wall,1
558.756,upper_right,1
561.061,upper_middle,1
562.066,upper_left,1
563.1,center_left,1
564.369,left_wall,1
568.738,upper_left,1
569.503,upper_wall,1
574.609,upper_middle,1
577.177,center_middle,1
579.213,lower_middle,1
579.982,lower_right,1
581.282,lower_wall,1
588.955,right_wall,1
599.703,center_right,1
600.737,center_middle,1
601.504,center_left,1
603.806,left_wall,1
610.71,lower_wall,1
612.247,left_wall,1
613.539,lower_wall,1
615.076,left_wall,1
630.884,lower_left,1
633.328,lower_wall,1
634.583,END,0
