time,code,class
1.03,center_middle,1
2.567,right_wall,1
4.371,upper_right,1
5.906,upper_middle,1
6.934,center_middle,1
7.942,upper_left,1
9.477,upper_wall,1
25.088,upper_left,1
25.859,upper_middle,1
26.628,upper_right,1
27.657,center_right,1
28.694,lower_middle,1
35.074,lower_left,1
36.104,lower_middle,1
36.63,lower_right,1
37.137,lower_wall,1
43.542,lower_middle,1
50.952,lower_left,1
52.487,lower_middle,1
53.519,center_middle,1
56.587,center_right,1
58.122,right_wall,1
59.391,right_wall,1
61.459,center_right,1
61.963,upper_right,1
63.253,center_middle,1
64.265,lower_middle,1
64.79,lower_right,1
65.557,lower_wall,1
66.065,right_wall,1
69.636,upper_wall,1
74.006,upper_middle,1
77.077,center_middle,1
78.21,center_middle,1
79.475,upper_middle,1
82.048,center_middle,1
83.053,lower_middle,1
93.826,lower_right,1
94.324,lower_wall,1
100.224,lower_middle,1
101.5,lower_right,1
102.768,right_wall,1
110.707,upper_wall,1
113.777,upper_right,1
114.549,center_right,1
115.84,right_wall,1
116.847,lower_wall,1
122.488,lower_right,1
122.754,lower_middle,1
124.289,center_middle,1
125.555,center_left,1
126.062,left_wall,1
127.36,lower_wall,1
131.965,lower_middle,1
132.993,lower_wall,1
136.304,lower_left,1
140.142,center_left,1
141.171,upper_left,1
141.939,upper_wall,1
145.777,upper_left,1
149.083,upper_left,1
151.649,left_wall,1
160.094,lower_wall,1
161.387,left_wall,1
174.441,center_left,1
175.467,lower_left,1
176.474,lower_middle,1
178.779,lower_right,1
179.547,lower_wall,1
182.115,right_wall,1
183.916,lower_wall,1
186.985,lower_middle,1
188.752,lower_wall,1
192.086,lower_middle,1
192.592,lower_right,1
194.891,center_right,1
195.926,upper_right,1
198.467,right_wall,1
199.766,upper_wall,1
203.603,upper_middle,1
205.398,center_middle,1
206.407,lower_middle,1
228.931,lower_right,1
229.462,lower_wall,1
236.868,lower_right,1
237.637,lower_middle,1
238.672,lower_right,1
239.437,center_right,1
240.471,upper_right,1
241.239,upper_middle,1
242.507,upper_wall,1
243.011,upper_middle,1
247.112,upper_left,1
247.882,upper_wall,1
258.39,upper_left,1
259.394,center_left,1
260.693,lower_middle,1
263.019,center_middle,1
263.53,upper_middle,1
264.297,upper_wall,1
271.705,right_wall,1
273.005,upper_right,1
274.009,center_right,1
277.341,upper_middle,1
281.949,center_middle,1
285.019,lower_left,1
286.554,left_wall,1
287.084,lower_wall,1
392.026,right_wall,1
394.86,lower_right,1
395.358,lower_wall,1
407.404,lower_right,1
407.908,lower_middle,1
409.342,lower_middle,1
410.368,lower_wall,1
414.209,lower_middle,1
414.713,lower_left,1
415.216,center_left,1
416.248,left_wall,1
417.014,upper_wall,1
419.054,upper_left,1
420.352,upper_middle,1
422.125,upper_wall,1
433.666,right_wall,1
435.698,center_right,1
436.736,right_wall,1
438.768,lower_wall,1
445.442,lower_middle,1
484.085,lower_wall,1
514.311,right_wall,1
518.919,upper_wall,1
523.524,upper_right,1
524.555,center_right,1
525.827,lower_right,1
526.596,lower_middle,1
533.526,center_middle,1
535.062,upper_middle,1
535.568,upper_left,1
536.07,upper_wall,1
538.903,left_wall,1
540.439,upper_left,1
541.974,upper_middle,1
544.514,upper_right,1
545.044,center_right,1
547.848,lower_middle,1
573.97,lower_right,1
574.471,lower_wall,1
580.879,right_wall,1
585.484,upper_right,1
588.551,upper_middle,1
589.057,center_middle,1
589.587,lower_middle,1
618.026,END,0
