time,code,class
1.797,center_middle,1
3.072,center_right,1
4.101,right_wall,1
15.108,center_right,1
17.917,center_middle,1
20.955,lower_middle,1
23.258,lower_right,1
24.026,center_middle,1
24.261,center_right,1
25.29,right_wall,1
26.83,lower_right,1
28.365,lower_middle,1
29.132,center_middle,1
29.9,center_right,1
31.434,lower_middle,1
34.001,center_middle,1
37.839,lower_middle,1
41.414,lower_left,1
42.97,left_wall,1
44.506,center_left,1
45.779,center_middle,1
47.752,lower_right,1
51.083,center_right,1
52.358,upper_right,1
53.145,upper_middle,1
54.925,upper_wall,1
58.76,left_wall,1
60.059,center_left,1
60.059,center_left,1
65.672,upper_left,1
66.701,upper_middle,1
68.238,upper_right,1
69.53,upper_wall,1
81.049,upper_right,1
81.306,center_right,1
81.55,lower_right,1
83.082,lower_wall,1
84.378,lower_right,1
85.654,lower_middle,1
86.422,center_middle,1
87.691,lower_middle,1
91.023,center_middle,1
92.296,lower_right,1
95.13,lower_middle,1
95.897,lower_right,1
97.163,center_right,1
100.503,right_wall,1
103.572,upper_right,1
104.34,upper_wall,1
106.907,upper_right,1
108.173,center_middle,1
115.085,center_left,1
115.59,upper_left,1
117.653,upper_middle,1
118.922,upper_wall,1
122.76,upper_left,1
126.361,center_middle,1
129.928,lower_right,1
131.468,lower_wall,1
135.569,right_wall,1
145.815,lower_right,1
150.153,right_wall,1
153.991,upper_wall,1
171.909,left_wall,1
178.842,lower_left,1
179.347,center_left,1
182.683,lower_left,1
189.85,lower_wall,1
193.93,lower_left,1
197.165,left_wall,1
199.467,lower_wall,1
205.872,left_wall,1
207.408,lower_left,1
208.176,center_left,1
209.967,upper_left,1
211.503,left_wall,1
218.153,center_left,1
220.72,lower_wall,1
225.327,lower_middle,1
226.351,lower_right,1
228.397,center_right,1
229.666,upper_right,1
233.768,upper_middle,1
234.267,center_middle,1
235.302,lower_middle,1
240.673,center_middle,1
242.716,center_right,1
243.744,right_wall,1
246.315,upper_wall,1
256.796,center_right,1
257.326,center_middle,1
258.594,center_left,1
260.892,lower_left,1
262.432,lower_middle,1
264.734,lower_wall,1
272.942,lower_left,1
276.271,left_wall,1
278.045,lower_wall,1
285.217,lower_middle,1
287.26,center_left,1
294.695,left_wall,1
298.531,upper_wall,1
397.096,upper_left,1
405.276,upper_wall,1
408.607,upper_right,1
410.411,center_right,1
411.681,right_wall,1
412.715,lower_right,1
413.48,lower_wall,1
415.518,lower_middle,1
419.357,lower_left,1
421.153,lower_wall,1
423.964,left_wall,1
429.358,center_left,1
429.599,center_middle,1
431.663,lower_middle,1
437.536,lower_right,1
439.075,center_right,1
439.58,right_wall,1
446.749,right_wall,1
449.584,center_right,1
452.384,lower_right,1
453.156,lower_middle,1
453.66,center_middle,1
456.226,upper_middle,1
457.76,upper_right,1
459.561,upper_wall,1
504.603,right_wall,1
509.981,upper_right,1
509.981,upper_right,1
511.009,center_right,1
513.071,right_wall,1
515.615,lower_wall,1
524.062,left_wall,1
527.194,center_left,1
531.033,center_middle,1
537.171,lower_middle,1
538.971,lower_wall,1
542.279,lower_right,1
552.02,right_wall,1
553.051,center_right,1
554.056,center_middle,1
559.691,center_left,1
563.029,lower_left,1
563.29,left_wall,1
564.3,lower_wall,1
593.754,left_wall,1
594.764,lower_wall,1
609.111,right_wall,1
614.184,lower_right,1
614.812,lower_wall,1
620.688,END,0
