time,code,class
1.036,center_middle,1
3.836,center_left,1
4.608,upper_left,1
5.9,upper_wall,1
8.711,left_wall,1
10.51,center_left,1
13.314,upper_left,1
15.614,center_left,1
16.382,lower_left,1
18.689,center_left,1
19.212,center_middle,1
20.49,center_right,1
21.759,right_wall,1
37.641,lower_wall,1
41.443,left_wall,1
42.978,center_left,1
43.984,lower_middle,1
63.296,center_middle,1
64.569,lower_middle,1
80.446,center_right,1
81.981,upper_right,1
82.748,upper_wall,1
87.117,upper_middle,1
88.12,center_middle,1
89.421,center_left,1
89.925,lower_left,1
91.191,lower_middle,1
94.029,center_left,1
95.564,left_wall,1
98.369,lower_wall,1
101.196,lower_left,1
102.202,left_wall,1
104.098,upper_wall,1
108.946,upper_right,1
109.977,center_right,1
110.48,center_middle,1
111.248,lower_left,1
112.278,lower_middle,1
112.784,lower_wall,1
114.85,lower_middle,1
117.651,lower_right,1
118.688,lower_middle,1
136.866,lower_wall,1
139.405,left_wall,1
140.177,lower_left,1
140.944,lower_middle,1
145.811,lower_wall,1
147.349,left_wall,1
148.384,center_left,1
149.653,center_middle,1
151.714,upper_middle,1
154.018,center_middle,1
156.056,lower_middle,1
157.859,lower_wall,1
163.426,lower_left,1
167.504,center_middle,1
168.272,upper_left,1
170.07,left_wall,1
170.338,upper_wall,1
171.34,left_wall,1
180.05,upper_wall,1
182.617,upper_left,1
184.154,center_middle,1
186.452,lower_right,1
186.959,right_wall,1
187.727,lower_wall,1
188.495,lower_middle,1
189.281,lower_wall,1
191.586,left_wall,1
192.862,center_left,1
193.89,left_wall,1
194.898,center_left,1
197.464,upper_left,1
197.731,left_wall,1
198.736,center_left,1
199.267,center_middle,1
199.999,upper_middle,1
200.766,upper_right,1
201.804,center_right,1
203.339,lower_right,1
203.841,lower_middle,1
215.117,lower_wall,1
219.98,lower_middle,1
223.821,lower_left,1
224.061,left_wall,1
230.298,upper_wall,1
231.568,right_wall,1
233.635,center_right,1
233.871,center_middle,1
234.639,lower_middle,1
245.147,lower_left,1
247.184,left_wall,1
248.213,lower_left,1
248.72,center_left,1
248.985,left_wall,1
251.553,upper_left,1
252.577,upper_middle,1
253.089,upper_wall,1
254.862,upper_right,1
255.888,center_middle,1
256.158,center_right,1
256.927,lower_middle,1
259.995,lower_wall,1
334.971,left_wall,1
336.77,center_left,1
337.805,lower_left,1
338.573,lower_middle,1
339.578,lower_wall,1
340.876,left_wall,1
342.649,upper_wall,1
346.509,upper_left,1
346.75,center_left,1
347.517,lower_left,1
348.28,lower_middle,1
352.122,lower_left,1
353.658,lower_wall,1
355.194,lower_middle,1
357.259,center_middle,1
357.497,upper_middle,1
358.79,upper_left,1
361.097,center_left,1
363.897,left_wall,1
365.964,upper_wall,1
371.578,left_wall,1
373.132,lower_left,1
374.143,lower_wall,1
376.713,lower_middle,1
381.046,center_middle,1
381.582,center_right,1
383.35,center_middle,1
385.15,lower_middle,1
404.364,lower_left,1
405.132,left_wall,1
405.641,lower_wall,1
408.445,left_wall,1
412.814,upper_wall,1
419.98,right_wall,1
422.024,center_right,1
422.526,center_middle,1
423.293,lower_middle,1
424.326,lower_left,1
425.092,lower_wall,1
425.595,left_wall,1
427.13,upper_wall,1
429.965,upper_left,1
431.231,upper_middle,1
432.002,upper_right,1
437.368,right_wall,1
440.44,lower_wall,1
441.707,lower_right,1
445.814,lower_middle,1
447.079,lower_wall,1
452.216,lower_left,1
452.984,center_left,1
453.486,center_middle,1
453.99,upper_middle,1
454.52,upper_wall,1
457.829,right_wall,1
459.364,center_right,1
459.895,lower_right,1
460.9,lower_wall,1
462.198,lower_middle,1
480.116,lower_left,1
481.651,left_wall,1
483.951,upper_wall,1
490.594,upper_middle,1
491.624,upper_wall,1
493.93,upper_middle,1
494.196,center_middle,1
494.696,center_left,1
495.223,left_wall,1
497.266,lower_left,1
497.767,lower_wall,1
505.207,left_wall,1
509.045,upper_left,1
509.809,upper_wall,1
511.608,upper_left,1
512.375,upper_middle,1
513.144,center_middle,1
514.68,lower_middle,1
529.528,lower_wall,1
530.533,left_wall,1
531.301,center_left,1
531.832,center_middle,1
532.6,center_right,1
533.367,right_wall,1
541.043,lower_wall,1
556.393,lower_middle,1
558.96,lower_wall,1
561.528,left_wall,1
563.301,center_left,1
564.065,upper_left,1
566.902,left_wall,1
579.447,center_left,1
580.45,lower_left,1
581.484,lower_wall,1
585.848,left_wall,1
587.122,upper_wall,1
588.656,upper_left,1
589.688,center_left,1
589.926,center_middle,1
591.224,lower_right,1
591.993,center_right,1
592.76,upper_right,1
594.026,upper_wall,1
609.143,upper_right,1
610.148,center_right,1
611.176,lower_middle,1
621.421,lower_left,1
621.925,lower_wall,1
623.991,left_wall,1
625.764,center_left,1
626.532,upper_left,1
627.062,upper_wall,1
640.872,upper_left,1
641.91,left_wall,1
653.708,END,0
