time,code,class
1.776,center_middle,1
2.305,upper_middle,1
4.34,center_middle,1
5.635,lower_middle,1
8.708,lower_left,1
9.21,center_left,1
9.711,upper_left,1
14.32,upper_middle,1
16.386,center_middle,1
19.714,upper_middle,1
20.224,upper_right,1
21.492,center_right,1
21.758,center_middle,1
24.324,upper_middle,1
28.163,upper_right,1
28.4,center_right,1
28.93,center_middle,1
29.955,lower_middle,1
71.175,lower_wall,1
72.206,lower_middle,1
73.741,lower_right,1
75.01,lower_middle,1
90.63,lower_left,1
91.16,center_left,1
91.66,upper_left,1
94.732,upper_middle,1
94.998,upper_wall,1
103.174,upper_right,1
104.204,upper_middle,1
104.71,center_middle,1
105.241,lower_middle,1
109.318,lower_wall,1
111.38,lower_middle,1
129.033,center_middle,1
131.333,upper_left,1
133.401,upper_wall,1
137.773,upper_middle,1
138.805,center_middle,1
139.842,lower_middle,1
147.78,lower_left,1
149.316,left_wall,1
153.155,lower_middle,1
157.091,lower_right,1
159.899,lower_wall,1
163.5,lower_right,1
164.526,lower_middle,1
166.303,lower_wall,1
167.598,lower_left,1
168.365,lower_middle,1
169.135,center_middle,1
170.671,center_right,1
171.172,upper_right,1
172.705,upper_middle,1
175.278,center_middle,1
177.31,lower_middle,1
196.526,center_right,1
197.801,right_wall,1
201.372,upper_wall,1
212.179,upper_left,1
213.451,upper_middle,1
214.985,upper_wall,1
216.52,upper_middle,1
217.552,center_middle,1
218.319,lower_middle,1
228.59,center_middle,1
229.866,center_right,1
233.702,center_middle,1
234.471,lower_middle,1
237.038,center_middle,1
237.537,center_left,1
238.043,lower_left,1
238.808,lower_middle,1
239.579,lower_wall,1
241.644,lower_middle,1
256.225,center_right,1
259.56,upper_middle,1
260.064,upper_right,1
260.831,upper_middle,1
261.358,upper_wall,1
274.67,left_wall,1
276.713,upper_wall,1
279.78,left_wall,1
280.282,upper_left,1
281.583,upper_middle,1
294.127,center_middle,1
294.895,lower_middle,1
300.766,center_middle,1
302.061,upper_middle,1
302.301,upper_left,1
303.073,upper_wall,1
307.176,upper_left,1
308.207,center_middle,1
308.975,lower_middle,1
310.511,lower_wall,1
323.559,right_wall,1
328.43,lower_right,1
329.966,right_wall,1
335.338,center_right,1
337.902,upper_middle,1
339.676,center_middle,1
341.475,lower_middle,1
366.83,center_middle,1
368.605,lower_middle,1
390.891,center_middle,1
393.963,lower_middle,1
394.731,lower_left,1
395.499,lower_wall,1
400.367,left_wall,1
402.671,center_left,1
402.908,upper_left,1
405.741,upper_middle,1
409.07,upper_right,1
410.606,upper_wall,1
422.892,upper_middle,1
423.918,center_middle,1
425.696,lower_middle,1
443.375,lower_right,1
444.377,lower_wall,1
510.409,right_wall,1
512.213,lower_right,1
512.713,center_right,1
517.586,upper_middle,1
518.617,upper_wall,1
533.202,upper_left,1
539.338,upper_middle,1
540.106,upper_wall,1
547.28,right_wall,1
550.351,upper_right,1
550.616,upper_wall,1
555.721,upper_middle,1
559.563,center_middle,1
560.33,lower_middle,1
562.898,lower_wall,1
574.677,lower_right,1
575.942,lower_middle,1
587.72,center_left,1
588.487,left_wall,1
590.026,upper_wall,1
604.103,upper_middle,1
605.4,upper_right,1
610.009,right_wall,1
611.277,lower_wall,1
616.916,lower_middle,1
629.352,center_middle,1
638.927,END,0
