time,code,class
1.039,center_middle,1
7.177,lower_middle,1
14.59,lower_right,1
14.853,lower_wall,1
15.62,right_wall,1
87.294,lower_right,1
88.322,lower_wall,1
89.598,lower_middle,1
113.415,lower_right,1
116.484,right_wall,1
118.018,lower_wall,1
125.458,lower_middle,1
126.73,lower_left,1
128.263,center_left,1
128.767,center_middle,1
130.565,lower_middle,1
144.646,center_middle,1
145.417,center_right,1
147.451,center_middle,1
148.483,lower_middle,1
173.842,lower_wall,1
175.615,lower_middle,1
176.913,lower_left,1
177.15,lower_wall,1
179.216,lower_left,1
179.984,lower_middle,1
196.367,lower_wall,1
200.203,lower_middle,1
213.252,lower_left,1
214.782,left_wall,1
217.088,lower_left,1
217.855,lower_wall,1
219.154,lower_middle,1
238.609,center_middle,1
239.106,center_left,1
239.873,left_wall,1
242.948,upper_left,1
248.082,upper_middle,1
249.087,upper_right,1
250.386,center_middle,1
252.689,lower_middle,1
262.93,lower_left,1
265.471,center_left,1
269.57,center_middle,1
269.84,upper_middle,1
270.338,upper_left,1
271.375,upper_middle,1
275.345,lower_middle,1
278.654,lower_wall,1
279.441,right_wall,1
280.977,lower_right,1
282.513,lower_middle,1
286.591,lower_wall,1
293.231,lower_middle,1
299.371,lower_wall,1
301.437,left_wall,1
310.648,upper_left,1
313.212,upper_middle,1
314.219,center_middle,1
315.517,lower_middle,1
329.067,lower_right,1
329.597,center_right,1
330.602,right_wall,1
333.672,center_right,1
334.439,lower_right,1
335.209,lower_middle,1
367.208,center_middle,1
367.735,center_left,1
369.002,upper_left,1
369.531,center_left,1
370.28,center_middle,1
380.786,lower_middle,1
450.155,lower_left,1
451.453,lower_middle,1
486.779,lower_right,1
487.291,center_right,1
489.593,right_wall,1
492.397,center_right,1
492.924,lower_middle,1
494.197,lower_wall,1
498.301,left_wall,1
499.835,center_left,1
502.906,upper_left,1
503.405,upper_middle,1
503.913,upper_wall,1
511.613,upper_left,1
518.519,upper_wall,1
523.09,upper_right,1
525.126,center_right,1
526.162,lower_right,1
528.721,lower_middle,1
540.741,lower_wall,1
542.012,right_wall,1
545.086,lower_right,1
546.113,lower_middle,1
567.105,center_middle,1
568.64,center_right,1
570.943,lower_middle,1
572.475,lower_wall,1
576.845,left_wall,1
580.414,center_left,1
583.487,center_middle,1
585.554,upper_middle,1
586.053,upper_right,1
587.589,upper_wall,1
591.185,upper_middle,1
592.702,center_middle,1
593.998,center_left,1
594.765,center_middle,1
596.3,lower_middle,1
600.135,lower_right,1
601.669,center_right,1
601.938,center_middle,1
605.008,lower_left,1
606.033,lower_middle,1
612.417,lower_right,1
618.558,lower_middle,1
622.656,lower_wall,1
628.562,left_wall,1
631.103,upper_left,1
633.169,upper_wall,1
646.907,upper_left,1
647.839,center_left,1
648.757,lower_middle,1
648.757,END,0
