time,code,class
1.793,center_middle,1
3.572,lower_middle,1
6.139,lower_left,1
6.403,lower_wall,1
21.487,left_wall,1
23.024,lower_left,1
25.328,lower_middle,1
30.464,center_middle,1
31.47,center_right,1
33.026,right_wall,1
37.635,center_right,1
37.872,lower_right,1
39.171,lower_middle,1
42.476,center_middle,1
43.009,center_left,1
43.511,lower_middle,1
44.277,lower_left,1
45.551,lower_middle,1
47.874,lower_right,1
49.148,lower_wall,1
52.72,right_wall,1
53.752,lower_wall,1
54.787,lower_middle,1
57.588,center_middle,1
59.123,center_left,1
59.649,upper_left,1
60.417,upper_middle,1
61.426,upper_wall,1
63.23,upper_middle,1
64.499,center_middle,1
65.267,lower_middle,1
71.806,center_middle,1
73.34,center_right,1
73.842,upper_right,1
74.371,upper_wall,1
79.476,upper_right,1
79.983,upper_middle,1
81.015,upper_left,1
82.547,upper_wall,1
85.886,left_wall,1
86.914,upper_left,1
87.682,center_left,1
88.69,lower_middle,1
96.897,lower_left,1
97.921,left_wall,1
102.269,lower_left,1
104.939,lower_middle,1
108.505,lower_wall,1
111.844,lower_right,1
112.345,lower_middle,1
113.377,center_middle,1
114.65,upper_middle,1
115.418,center_left,1
116.446,lower_left,1
117.484,lower_middle,1
133.337,lower_right,1
134.105,center_right,1
136.428,upper_right,1
137.439,upper_wall,1
148.145,upper_left,1
153.283,center_left,1
154.286,left_wall,1
155.055,center_left,1
156.087,lower_left,1
157.123,lower_middle,1
159.926,lower_right,1
160.692,lower_wall,1
168.899,left_wall,1
169.904,lower_left,1
170.669,lower_middle,1
172.975,center_middle,1
175.277,upper_middle,1
176.309,upper_wall,1
177.841,upper_right,1
179.381,center_right,1
180.674,lower_middle,1
193.727,lower_left,1
194.495,center_left,1
195.761,upper_left,1
197.058,upper_wall,1
200.131,upper_middle,1
201.136,center_middle,1
202.933,lower_middle,1
206.271,lower_right,1
207.297,right_wall,1
207.808,lower_wall,1
211.379,lower_middle,1
218.549,lower_wall,1
220.083,lower_left,1
221.623,lower_middle,1
222.386,center_middle,1
223.424,center_right,1
224.959,right_wall,1
235.201,upper_wall,1
240.833,upper_right,1
241.843,center_right,1
243.376,lower_right,1
244.675,lower_middle,1
253.12,center_middle,1
253.887,center_left,1
254.914,left_wall,1
255.922,upper_wall,1
260.291,upper_middle,1
260.792,center_middle,1
262.06,center_right,1
262.326,lower_right,1
263.362,lower_wall,1
273.34,lower_left,1
273.842,lower_middle,1
277.443,center_middle,1
277.942,center_right,1
279.215,right_wall,1
282.816,upper_right,1
283.584,upper_wall,1
292.789,upper_middle,1
299.697,upper_left,1
300.734,center_left,1
307.139,left_wall,1
312.247,center_left,1
313.28,left_wall,1
314.815,upper_wall,1
324.788,left_wall,1
331.458,upper_wall,1
335.536,left_wall,1
336.304,upper_left,1
337.603,center_left,1
341.171,center_middle,1
342.209,lower_middle,1
347.582,lower_right,1
348.345,right_wall,1
352.451,center_right,1
353.717,upper_right,1
359.359,right_wall,1
364.995,lower_wall,1
371.137,lower_right,1
372.143,lower_middle,1
420.546,lower_wall,1
427.696,left_wall,1
438.706,lower_wall,1
442.307,lower_middle,1
445.614,lower_wall,1
450.748,lower_middle,1
454.322,center_middle,1
456.123,upper_middle,1
457.155,upper_left,1
458.422,upper_wall,1
507.311,upper_right,1
520.62,right_wall,1
540.341,upper_wall,1
542.644,upper_right,1
543.677,upper_middle,1
544.444,center_middle,1
545.978,upper_middle,1
548.784,center_middle,1
549.813,lower_middle,1
572.098,lower_wall,1
605.309,lower_left,1
607.788,lower_middle,1
609.333,lower_right,1
610.25,right_wall,1
610.25,END,0
