time,code,class
0.679,center_middle,1
2.007,lower_middle,1
3.345,lower_right,1
4.671,lower_wall,1
5.674,lower_left,1
6.676,left_wall,1
13.692,lower_left,1
14.354,lower_middle,1
19.691,lower_wall,1
22.033,lower_middle,1
22.696,center_middle,1
23.036,upper_middle,1
24.038,upper_wall,1
25.362,upper_middle,1
26.027,center_middle,1
28.71,center_left,1
29.372,center_middle,1
30.702,upper_middle,1
31.377,upper_right,1
32.704,right_wall,1
34.707,center_right,1
36.048,center_middle,1
38.054,lower_middle,1
61.233,lower_right,1
61.906,lower_wall,1
63.57,lower_middle,1
69.907,lower_wall,1
71.912,lower_middle,1
75.92,center_middle,1
78.588,upper_middle,1
78.913,upper_left,1
80.592,left_wall,1
81.595,center_left,1
82.257,center_middle,1
84.587,lower_middle,1
87.592,center_middle,1
89.597,upper_right,1
90.939,upper_wall,1
93.267,upper_right,1
93.606,upper_middle,1
93.932,center_middle,1
95.934,lower_middle,1
102.95,lower_wall,1
105.277,lower_middle,1
122.962,lower_wall,1
135.781,lower_middle,1
138.772,center_middle,1
140.454,upper_left,1
141.456,upper_wall,1
143.12,upper_left,1
144.124,upper_middle,1
145.126,upper_wall,1
146.128,upper_middle,1
146.79,center_middle,1
147.452,lower_middle,1
154.129,lower_wall,1
163.472,lower_middle,1
169.474,lower_left,1
171.813,center_middle,1
174.822,lower_right,1
175.484,lower_middle,1
187.157,center_middle,1
188.498,center_left,1
189.823,left_wall,1
192.167,lower_left,1
192.507,lower_middle,1
195.174,lower_right,1
198.165,lower_wall,1
200.508,right_wall,1
201.172,lower_right,1
202.172,lower_middle,1
203.842,center_middle,1
205.18,center_left,1
205.521,upper_left,1
206.182,center_left,1
207.185,center_middle,1
208.18,upper_middle,1
209.511,upper_wall,1
213.184,upper_left,1
213.862,upper_middle,1
216.855,upper_right,1
217.531,right_wall,1
218.857,upper_wall,1
233.874,upper_middle,1
235.54,center_middle,1
236.207,lower_middle,1
244.22,center_middle,1
244.883,upper_middle,1
245.55,upper_wall,1
279.251,upper_left,1
281.919,center_middle,1
283.26,lower_middle,1
287.255,lower_wall,1
289.937,lower_middle,1
292.264,lower_right,1
293.266,lower_wall,1
296.601,lower_middle,1
300.283,lower_left,1
301.606,center_left,1
301.948,center_middle,1
304.614,center_right,1
305.617,right_wall,1
309.949,upper_right,1
310.615,center_right,1
311.29,lower_right,1
311.616,lower_middle,1
364.67,center_middle,1
365.332,upper_middle,1
366.333,upper_wall,1
377.02,left_wall,1
378.344,upper_left,1
379.024,center_left,1
380.351,center_middle,1
381.352,upper_middle,1
382.355,upper_right,1
383.021,upper_wall,1
384.699,upper_right,1
385.361,upper_middle,1
386.025,upper_left,1
387.692,left_wall,1
390.694,lower_wall,1
396.71,lower_middle,1
403.046,center_middle,1
403.37,center_left,1
403.71,upper_left,1
407.718,upper_middle,1
410.046,center_middle,1
411.716,upper_middle,1
412.717,upper_wall,1
423.739,right_wall,1
430.399,lower_wall,1
518.161,lower_middle,1
527.832,center_middle,1
529.834,upper_right,1
531.174,right_wall,1
536.51,lower_wall,1
540.519,lower_middle,1
556.862,center_middle,1
557.528,center_left,1
558.529,left_wall,1
559.53,upper_wall,1
566.871,upper_middle,1
568.21,center_middle,1
568.873,lower_middle,1
578.216,lower_middle,1
578.883,lower_wall,1
612.301,END,0
