time,code,class
1.268,center_middle,1
9.979,upper_middle,1
12.543,center_middle,1
13.311,center_right,1
13.814,upper_right,1
15.349,right_wall,1
16.119,upper_wall,1
55.591,upper_right,1
56.359,upper_middle,1
60.196,center_middle,1
65.065,center_right,1
66.335,center_middle,1
68.634,lower_left,1
69.405,lower_middle,1
75.045,center_right,1
75.812,center_middle,1
76.579,upper_middle,1
77.345,center_middle,1
77.848,center_left,1
80.413,lower_left,1
82.985,center_left,1
83.223,center_middle,1
83.989,upper_middle,1
85.545,center_middle,1
86.294,center_right,1
86.821,center_middle,1
88.617,lower_right,1
90.922,lower_middle,1
97.833,center_middle,1
104.234,lower_middle,1
113.449,lower_right,1
114.217,center_middle,1
115.222,upper_middle,1
120.09,upper_left,1
123.424,left_wall,1
126.762,upper_wall,1
131.1,upper_middle,1
135.969,upper_left,1
143.913,center_middle,1
144.918,lower_middle,1
156.957,center_middle,1
157.993,upper_right,1
159.528,upper_wall,1
170.441,upper_left,1
171.732,upper_middle,1
173.776,center_middle,1
174.278,center_left,1
175.572,left_wall,1
179.913,center_left,1
187.591,lower_middle,1
191.189,lower_wall,1
192.458,lower_right,1
193.493,lower_middle,1
195.528,lower_right,1
198.334,right_wall,1
201.938,upper_right,1
203.974,center_right,1
205.775,lower_right,1
206.805,right_wall,1
207.811,lower_wall,1
208.341,lower_right,1
211.649,center_right,1
217.554,upper_right,1
221.39,upper_middle,1
222.419,upper_wall,1
225.494,upper_middle,1
227.527,center_middle,1
228.564,center_left,1
229.587,lower_left,1
230.099,lower_middle,1
233.934,lower_wall,1
236.74,lower_middle,1
237.267,lower_wall,1
243.412,lower_left,1
244.947,center_left,1
249.284,center_middle,1
250.579,upper_middle,1
254.655,center_middle,1
260.033,lower_right,1
262.865,lower_middle,1
296.399,center_middle,1
302.535,upper_middle,1
305.605,upper_left,1
306.373,upper_wall,1
311.748,right_wall,1
317.889,center_right,1
318.42,right_wall,1
320.193,upper_wall,1
330.197,left_wall,1
336.596,center_left,1
339.905,left_wall,1
344.777,center_left,1
345.813,left_wall,1
346.581,upper_middle,1
348.353,upper_right,1
351.184,right_wall,1
352.722,lower_wall,1
363.969,lower_middle,1
372.941,center_middle,1
377.045,upper_middle,1
379.348,upper_wall,1
385.747,upper_middle,1
391.362,upper_right,1
391.624,center_right,1
394.196,lower_right,1
395.199,lower_middle,1
419.922,lower_wall,1
424.525,left_wall,1
425.796,lower_left,1
426.325,center_left,1
429.397,center_middle,1
430.402,upper_middle,1
434.505,upper_left,1
435.536,left_wall,1
438.1,upper_wall,1
617.596,END,0
