time,code,class
0.286,center_middle,1
1.611,center_right,1
2.952,lower_middle,1
4.958,center_middle,1
6.283,upper_middle,1
10.292,center_middle,1
15.29,center_right,1
16.628,right_wall,1
19.635,upper_wall,1
24.968,upper_right,1
25.634,center_middle,1
28.303,lower_middle,1
30.968,center_middle,1
32.648,lower_middle,1
34.313,center_middle,1
35.979,upper_left,1
38.323,upper_wall,1
40.311,upper_middle,1
40.99,center_middle,1
42.317,center_right,1
49.658,center_middle,1
51.336,center_left,1
53.323,center_middle,1
57.673,lower_right,1
59.337,lower_middle,1
70.347,lower_right,1
71.346,lower_middle,1
74.683,center_middle,1
76.021,upper_middle,1
76.683,upper_left,1
77.02,upper_wall,1
125.068,left_wall,1
126.409,upper_left,1
128.071,center_middle,1
128.737,upper_right,1
130.74,upper_middle,1
131.406,center_middle,1
132.745,lower_middle,1
154.1,lower_wall,1
166.111,left_wall,1
168.778,upper_wall,1
191.135,right_wall,1
192.478,upper_right,1
193.14,center_right,1
193.803,lower_middle,1
195.808,lower_left,1
196.471,lower_wall,1
203.812,right_wall,1
207.818,center_right,1
208.483,center_middle,1
212.83,upper_left,1
213.492,center_left,1
222.159,center_middle,1
223.161,upper_middle,1
224.501,upper_left,1
224.841,upper_wall,1
229.173,left_wall,1
231.177,upper_left,1
232.18,upper_middle,1
233.183,upper_right,1
245.52,right_wall,1
246.858,upper_wall,1
251.193,upper_right,1
252.872,center_right,1
253.534,lower_middle,1
288.565,lower_left,1
291.572,center_left,1
293.901,center_middle,1
295.582,upper_middle,1
296.907,center_left,1
297.572,center_middle,1
300.237,lower_middle,1
317.598,lower_right,1
318.601,lower_wall,1
327.945,lower_middle,1
332.941,center_middle,1
333.277,center_right,1
334.944,upper_right,1
337.278,upper_middle,1
337.951,upper_left,1
339.276,upper_wall,1
611.283,END,0
