time,code,class
0.412,center_middle,1
4.371,lower_middle,1
9.181,lower_left,1
10.419,lower_middle,1
11.045,lower_wall,1
11.679,lower_middle,1
12.722,lower_right,1
13.347,right_wall,1
13.981,lower_right,1
14.814,lower_middle,1
15.449,center_middle,1
16.69,lower_middle,1
22.557,center_middle,1
23.825,lower_middle,1
24.668,lower_wall,1
25.726,lower_middle,1
27.595,center_middle,1
29.696,lower_middle,1
45.879,lower_left,1
46.314,lower_middle,1
60.573,lower_wall,1
61.404,lower_middle,1
71.204,center_middle,1
72.882,center_right,1
73.307,center_middle,1
74.973,lower_middle,1
83.117,lower_right,1
83.527,lower_middle,1
89.59,center_middle,1
92.935,upper_right,1
93.981,center_right,1
96.063,center_middle,1
96.898,lower_middle,1
98.333,lower_left,1
99.399,lower_wall,1
100.434,lower_middle,1
105.238,lower_right,1
105.863,center_right,1
107.548,center_middle,1
109.213,lower_middle,1
111.517,center_left,1
113.414,left_wall,1
114.248,upper_left,1
114.881,upper_wall,1
118.218,upper_left,1
118.853,center_left,1
119.92,lower_left,1
122.423,left_wall,1
124.525,lower_wall,1
125.767,lower_left,1
126.394,lower_middle,1
128.062,center_middle,1
129.309,upper_right,1
130.141,center_right,1
131.399,lower_right,1
132.232,lower_middle,1
134.109,center_middle,1
134.941,center_left,1
136.003,upper_middle,1
136.412,upper_left,1
136.837,upper_wall,1
138.506,upper_left,1
139.14,upper_middle,1
139.549,center_middle,1
140.174,lower_middle,1
145.413,lower_wall,1
147.889,lower_right,1
148.515,lower_middle,1
152.92,lower_wall,1
153.755,lower_middle,1
154.162,lower_left,1
155.023,left_wall,1
155.857,center_left,1
156.69,center_middle,1
157.319,lower_middle,1
166.877,center_middle,1
168.54,upper_middle,1
169.799,center_middle,1
170.845,lower_middle,1
172.509,center_middle,1
173.362,upper_middle,1
174.208,center_middle,1
175.667,center_left,1
178.802,upper_left,1
179.013,upper_middle,1
180.061,center_middle,1
181.917,lower_middle,1
183.183,center_middle,1
184.221,upper_middle,1
184.651,upper_right,1
185.906,upper_wall,1
187.357,right_wall,1
188.829,upper_right,1
189.89,center_right,1
191.132,lower_right,1
191.558,lower_middle,1
195.933,center_middle,1
196.363,center_left,1
199.709,center_middle,1
201.167,upper_right,1
