time,code,class
0.017,center_middle,1
2.07,center_left,1
2.576,center_middle,1
6.414,upper_middle,1
8.214,center_middle,1
9.75,upper_middle,1
11.286,center_middle,1
15.123,lower_middle,1
24.331,lower_left,1
26.134,lower_wall,1
27.137,lower_middle,1
34.07,lower_wall,1
35.342,lower_middle,1
41.482,center_middle,1
43.784,lower_wall,1
44.551,lower_left,1
46.593,lower_middle,1
82.957,center_middle,1
84.758,upper_middle,1
85.26,upper_left,1
86.293,upper_middle,1
87.061,center_middle,1
87.829,lower_middle,1
90.131,lower_wall,1
90.898,lower_middle,1
91.137,lower_right,1
92.166,center_right,1
92.933,center_middle,1
94.23,lower_middle,1
95.502,lower_left,1
97.302,lower_middle,1
109.271,lower_middle,1
110.784,upper_right,1
111.819,upper_wall,1
118.226,upper_middle,1
118.726,center_middle,1
119.494,lower_middle,1
123.597,center_middle,1
125.398,lower_middle,1
128.969,center_middle,1
131.009,upper_middle,1
132.545,upper_left,1
133.073,upper_middle,1
134.85,upper_left,1
136.406,left_wall,1
136.644,upper_wall,1
138.946,center_left,1
139.477,center_middle,1
139.98,lower_middle,1
140.747,lower_right,1
141.248,center_right,1
142.252,right_wall,1
148.417,lower_right,1
149.184,lower_middle,1
154.56,lower_wall,1
159.166,left_wall,1
160.171,lower_left,1
160.702,center_left,1
160.94,center_middle,1
161.708,lower_middle,1
162.497,lower_right,1
163.504,lower_wall,1
164.272,lower_middle,1
168.109,center_middle,1
169.408,upper_middle,1
171.179,upper_wall,1
172.212,upper_right,1
172.98,center_middle,1
174.014,lower_middle,1
176.555,center_middle,1
178.619,center_right,1
179.648,upper_right,1
180.154,center_middle,1
181.423,lower_middle,1
183.725,center_right,1
184.759,lower_right,1
185.024,lower_middle,1
186.56,center_middle,1
189.099,lower_middle,1
191.166,center_middle,1
192.7,center_right,1
193.967,upper_right,1
194.497,center_right,1
195.003,center_middle,1
196.537,lower_middle,1
201.409,center_middle,1
203.711,center_right,1
204.211,center_middle,1
205.484,lower_middle,1
209.851,center_middle,1
213.953,upper_middle,1
221.099,center_middle,1
222.636,lower_middle,1
223.665,lower_right,1
224.432,lower_wall,1
228.033,lower_middle,1
229.804,center_middle,1
231.606,upper_middle,1
232.106,upper_right,1
232.639,right_wall,1
234.675,upper_wall,1
241.583,right_wall,1
242.349,upper_right,1
243.648,center_right,1
243.884,center_middle,1
244.417,lower_middle,1
252.331,center_middle,1
252.86,lower_middle,1
253.889,center_middle,1
254.896,center_left,1
255.93,lower_left,1
257.197,lower_wall,1
257.966,left_wall,1
258.732,center_left,1
259.5,center_middle,1
263.103,lower_middle,1
264.107,lower_wall,1
266.941,right_wall,1
271.041,left_wall,1
272.576,upper_right,1
273.848,upper_wall,1
282.56,upper_left,1
283.858,upper_middle,1
284.098,center_middle,1
287.189,center_right,1
287.427,center_middle,1
289.229,lower_middle,1
306.646,center_middle,1
307.915,lower_middle,1
313.026,center_middle,1
315.089,upper_middle,1
315.856,upper_right,1
316.118,center_middle,1
317.654,lower_middle,1
317.891,center_middle,1
318.422,lower_middle,1
318.925,center_middle,1
319.426,lower_middle,1
319.957,center_middle,1
320.193,center_left,1
322.762,center_middle,1
324.298,lower_middle,1
325.334,center_middle,1
327.635,upper_middle,1
329.169,upper_left,1
330.177,upper_middle,1
333.007,center_middle,1
335.574,center_right,1
336.843,right_wall,1
338.881,center_right,1
339.413,lower_right,1
340.418,lower_wall,1
341.448,lower_middle,1
344.785,center_middle,1
346.82,lower_middle,1
347.587,lower_right,1
347.854,lower_middle,1
352.193,center_middle,1
352.459,center_right,1
353.227,upper_right,1
354.761,center_right,1
354.761,center_middle,1
355.796,lower_middle,1
357.331,lower_left,1
359.105,left_wall,1
363.97,lower_left,1
364.738,lower_middle,1
366.274,center_middle,1
366.541,center_right,1
368.075,lower_right,1
368.075,lower_middle,1
368.842,lower_left,1
369.877,lower_wall,1
376.783,lower_left,1
377.045,lower_middle,1
377.813,center_middle,1
379.587,upper_middle,1
383.425,upper_left,1
384.457,left_wall,1
385.225,upper_wall,1
391.631,upper_left,1
391.894,upper_middle,1
393.667,center_middle,1
395.202,lower_middle,1
396.736,center_middle,1
397.004,center_right,1
398.038,lower_right,1
398.806,right_wall,1
399.573,lower_wall,1
400.341,lower_right,1
401.608,lower_middle,1
401.875,center_middle,1
402.881,center_left,1
404.947,left_wall,1
407.248,lower_left,1
408.515,lower_middle,1
415.956,center_middle,1
418.759,lower_middle,1
419.794,lower_wall,1
421.828,lower_middle,1
425.165,center_middle,1
425.932,center_left,1
427.2,lower_left,1
427.969,lower_middle,1
431.04,center_middle,1
433.344,upper_middle,1
433.874,upper_right,1
435.142,right_wall,1
438.212,upper_right,1
438.741,center_right,1
439.746,lower_middle,1
441.045,center_middle,1
442.315,lower_middle,1
444.884,center_middle,1
446.153,center_right,1
446.92,upper_right,1
447.688,right_wall,1
448.722,upper_wall,1
454.094,right_wall,1
454.862,upper_wall,1
456.662,upper_right,1
456.897,upper_middle,1
457.932,center_middle,1
460.234,lower_middle,1
461.505,center_middle,1
462.536,lower_middle,1
464.107,lower_wall,1
466.412,left_wall,1
469.744,center_left,1
470.511,center_middle,1
470.778,lower_middle,1
471.546,lower_right,1
472.813,right_wall,1
478.72,lower_right,1
480.755,center_right,1
481.022,center_middle,1
486.894,upper_middle,1
488.696,upper_wall,1
489.728,upper_left,1
490.496,upper_middle,1
492.033,center_middle,1
493.567,center_right,1
494.335,center_middle,1
497.138,lower_middle,1
498.172,center_middle,1
520.961,lower_middle,1
563.969,lower_left,1
580.587,lower_middle,1
582.389,center_middle,1
584.428,upper_middle,1
584.692,upper_left,1
586.493,upper_wall,1
589.297,upper_left,1
590.33,center_left,1
590.592,center_middle,1
593.401,lower_middle,1
601.579,lower_left,1
602.61,lower_wall,1
603.813,END,0
