time,code,class
0.84,center_middle,1
2.001,center_right,1
2.001,lower_middle,1
14.001,lower_left,1
14.001,lower_middle,1
20.001,center_middle,1
21.201,lower_middle,1
26,lower_left,1
27.201,left_wall,1
28.401,lower_left,1
29.601,lower_middle,1
32.001,lower_right,1
32.001,lower_middle,1
47.6,center_middle,1
48.8,center_right,1
50,upper_right,1
50,upper_middle,1
50,center_middle,1
51.201,lower_middle,1
54.8,lower_wall,1
56.001,lower_middle,1
70.401,lower_right,1
72.801,lower_middle,1
77.6,lower_wall,1
78.801,lower_middle,1
102.801,center_middle,1
104,upper_middle,1
105.201,center_middle,1
107.601,lower_middle,1
110,lower_left,1
111.201,lower_wall,1
113.601,lower_left,1
113.601,lower_middle,1
114.801,center_middle,1
114.801,center_right,1
114.801,upper_right,1
116,right_wall,1
117.201,lower_wall,1
122,lower_middle,1
122,center_middle,1
124.401,upper_middle,1
124.401,upper_left,1
125.601,upper_wall,1
126.801,upper_middle,1
128.001,center_middle,1
131.6,lower_middle,1
132.8,center_middle,1
134,center_right,1
134,upper_right,1
136.401,center_right,1
137.6,center_middle,1
138.8,lower_middle,1
138.8,lower_left,1
142.401,lower_middle,1
158,center_middle,1
160.401,upper_middle,1
160.401,upper_left,1
161.601,center_left,1
162.8,left_wall,1
167.601,lower_left,1
168.801,lower_middle,1
170,lower_wall,1
171.201,right_wall,1
171.201,lower_right,1
172.401,lower_middle,1
176,lower_left,1
178.4,lower_middle,1
185.601,center_middle,1
185.601,upper_middle,1
186.8,upper_wall,1
189.201,right_wall,1
190.4,upper_right,1
191.6,center_right,1
192.8,lower_middle,1
194.001,lower_left,1
195.201,lower_wall,1
197.601,left_wall,1
197.601,lower_left,1
200.001,center_left,1
202.401,lower_left,1
203.601,lower_middle,1
204.801,lower_left,1
206.001,center_left,1
206.001,left_wall,1
208.401,upper_left,1
208.401,upper_wall,1
213.2,upper_middle,1
213.2,center_middle,1
214.4,center_right,1
215.601,lower_right,1
216.801,right_wall,1
216.801,lower_wall,1
218.001,lower_right,1
218.001,lower_middle,1
219.201,lower_left,1
221.601,lower_middle,1
231.201,lower_left,1
232.401,center_left,1
233.6,center_middle,1
234.8,center_middle,1
238.401,lower_middle,1
243.201,lower_left,1
244.401,left_wall,1
245.601,lower_left,1
248.001,lower_middle,1
260,center_middle,1
261.2,center_left,1
262.401,lower_left,1
262.401,lower_middle,1
263.6,lower_wall,1
264.801,right_wall,1
267.2,lower_wall,1
267.2,right_wall,1
274.4,lower_right,1
275.6,right_wall,1
276.801,upper_right,1
278,upper_wall,1
279.2,upper_middle,1
280.4,center_middle,1
281.6,lower_middle,1
282.8,lower_left,1
284,center_left,1
284,upper_left,1
285.2,upper_middle,1
287.6,center_middle,1
290.001,upper_middle,1
292.401,upper_right,1
292.401,upper_wall,1
294.8,right_wall,1
294.8,upper_right,1
296,upper_middle,1
299.6,upper_left,1
303.201,left_wall,1
305.6,upper_wall,1
309.201,left_wall,1
310.401,center_left,1
311.6,upper_left,1
316.401,center_left,1
317.601,center_middle,1
317.601,lower_middle,1
320,lower_wall,1
321.2,left_wall,1
322.401,lower_left,1
322.401,center_left,1
323.601,center_middle,1
323.601,upper_middle,1
324.801,upper_wall,1
328.4,upper_middle,1
330.801,upper_right,1
330.801,center_right,1
332.001,lower_right,1
332.001,lower_middle,1
336.8,lower_wall,1
338,lower_middle,1
339.2,lower_left,1
340.4,center_left,1
342.8,center_middle,1
345.2,center_right,1
345.2,right_wall,1
350,upper_right,1
351.201,upper_middle,1
352.4,upper_wall,1
352.4,upper_left,1
356.001,center_left,1
360.8,lower_left,1
360.8,lower_middle,1
364.4,lower_left,1
365.601,center_left,1
365.601,center_middle,1
366.8,lower_middle,1
368,lower_right,1
368,lower_wall,1
369.2,right_wall,1
370.401,lower_right,1
371.601,lower_middle,1
374.001,lower_left,1
375.201,left_wall,1
376.401,lower_wall,1
377.6,lower_middle,1
396.8,lower_left,1
398.001,lower_middle,1
404,center_middle,1
405.2,center_right,1
405.2,center_middle,1
406.4,lower_middle,1
419.6,center_middle,1
419.6,upper_middle,1
423.2,upper_wall,1
430.401,upper_right,1
430.401,upper_middle,1
431.601,upper_left,1
432.8,upper_left,1
438.8,center_left,1
438.8,center_middle,1
440,center_right,1
441.2,lower_middle,1
448.401,center_middle,1
449.601,center_right,1
449.601,upper_right,1
455.601,center_right,1
455.601,center_middle,1
456.8,lower_middle,1
461.601,center_left,1
462.801,upper_left,1
464.001,left_wall,1
464.001,upper_wall,1
465.201,upper_left,1
466.4,center_left,1
466.4,center_middle,1
467.6,lower_middle,1
495.201,lower_wall,1
497.601,lower_middle,1
500.001,center_middle,1
500.001,center_right,1
501.201,right_wall,1
503.601,lower_wall,1
504.8,right_wall,1
506,lower_right,1
507.201,center_right,1
507.201,center_middle,1
508.4,center_left,1
509.601,left_wall,1
512.001,lower_wall,1
515.6,left_wall,1
527.6,center_left,1
530.001,lower_middle,1
551.6,lower_left,1
554.001,lower_middle,1
590,center_middle,1
591.2,upper_middle,1
592.401,center_middle,1
592.401,center_left,1
596.001,lower_left,1
598.4,lower_middle,1
599.602,lower_wall,1
603.201,lower_right,1
604.401,lower_middle,1
605.6,center_right,1
606.801,upper_right,1
606.801,upper_wall,1
621.2,upper_middle,1
623.601,center_middle,1
626.001,lower_left,1
627.201,center_left,1
627.201,center_middle,1
628.4,lower_middle,1
628.4,lower_right,1
629.6,center_right,1
629.6,center_middle,1
630.8,upper_right,1
632.001,upper_middle,1
635.601,center_middle,1
636.8,center_left,1
643.6,END,0
