time,code,class
0.802,lower_left,1
2.001,lower_wall,1
3.201,left_wall,1
4.401,lower_left,1
4.401,lower_middle,1
6.8,center_right,1
8.001,lower_right,1
8.001,right_wall,1
9.201,lower_wall,1
9.201,lower_right,1
10.4,lower_middle,1
11.6,lower_wall,1
11.6,lower_middle,1
22.401,lower_wall,1
23.601,lower_left,1
24.801,lower_middle,1
29.601,lower_wall,1
29.601,lower_middle,1
32.001,center_middle,1
33.201,upper_left,1
34.4,upper_middle,1
35.601,center_middle,1
36.8,lower_middle,1
36.8,lower_right,1
39.201,lower_middle,1
53.6,center_middle,1
53.6,center_right,1
56.001,lower_right,1
57.201,lower_wall,1
57.201,lower_middle,1
59.6,lower_left,1
60.8,center_left,1
60.8,center_middle,1
63.2,lower_middle,1
78.8,lower_wall,1
80,lower_left,1
81.2,lower_wall,1
82.4,left_wall,1
96.8,upper_left,1
98.001,center_left,1
98.001,center_middle,1
100.4,center_right,1
101.601,lower_right,1
101.601,lower_middle,1
118.401,center_middle,1
119.6,center_left,1
122.001,center_middle,1
123.201,lower_middle,1
128,lower_right,1
129.201,lower_wall,1
130.401,lower_right,1
131.6,lower_middle,1
144.8,lower_left,1
146.001,left_wall,1
148.401,upper_wall,1
154.401,right_wall,1
155.601,upper_right,1
155.601,center_right,1
156.801,center_middle,1
156.801,lower_middle,1
161.6,lower_wall,1
162.8,lower_middle,1
172.4,center_middle,1
172.4,center_left,1
172.4,lower_left,1
173.601,lower_middle,1
174.8,lower_wall,1
176,lower_right,1
177.201,center_right,1
178.401,upper_right,1
178.401,upper_middle,1
180.801,center_middle,1
182,center_left,1
183.201,lower_middle,1
207.201,lower_wall,1
210.8,lower_left,1
212,lower_middle,1
214.4,lower_right,1
216.8,center_right,1
216.8,center_middle,1
219.2,lower_middle,1
246.8,lower_wall,1
248.001,left_wall,1
249.2,upper_left,1
250.4,upper_middle,1
251.601,center_middle,1
254,lower_middle,1
260,lower_right,1
261.2,center_right,1
262.401,center_middle,1
263.6,lower_left,1
264.801,left_wall,1
268.4,lower_left,1
268.4,lower_middle,1
284,center_middle,1
285.2,lower_middle,1
286.4,center_middle,1
286.4,upper_middle,1
287.6,upper_left,1
290.001,upper_middle,1
290.001,upper_right,1
292.401,upper_wall,1
292.401,right_wall,1
293.6,center_right,1
294.801,lower_right,1
296.001,lower_middle,1
306.8,center_middle,1
306.8,upper_middle,1
309.2,center_middle,1
310.4,center_right,1
311.6,lower_right,1
312.8,center_right,1
315.2,center_middle,1
316.401,center_left,1
317.601,lower_left,1
321.201,lower_middle,1
327.2,center_middle,1
328.4,center_right,1
328.4,upper_right,1
329.601,upper_wall,1
333.2,upper_middle,1
333.2,center_middle,1
334.401,center_right,1
335.6,lower_middle,1
357.2,lower_left,1
360.801,left_wall,1
363.2,lower_wall,1
364.4,lower_middle,1
365.601,lower_wall,1
366.801,lower_right,1
366.801,lower_wall,1
369.201,lower_middle,1
371.6,center_middle,1
372.8,center_left,1
374,left_wall,1
375.2,upper_wall,1
378.8,upper_middle,1
380.001,upper_right,1
381.201,center_right,1
384.801,lower_middle,1
392,center_middle,1
392,center_left,1
394.401,left_wall,1
395.601,lower_wall,1
402.8,left_wall,1
407.6,lower_wall,1
414.801,lower_middle,1
416,lower_right,1
417.201,lower_middle,1
418.4,center_right,1
419.601,upper_right,1
420.801,upper_middle,1
422.001,center_middle,1
423.2,lower_middle,1
426.801,lower_wall,1
429.2,left_wall,1
431.6,upper_wall,1
436.4,upper_left,1
438.8,center_left,1
441.201,lower_middle,1
452.001,lower_wall,1
452.001,lower_middle,1
453.2,center_middle,1
454.401,upper_middle,1
454.401,upper_right,1
455.6,upper_wall,1
458.001,upper_right,1
458.001,upper_middle,1
459.201,center_middle,1
466.4,lower_middle,1
467.601,lower_right,1
467.601,lower_wall,1
470,right_wall,1
478.401,upper_right,1
479.321,center_right,1
484.4,center_middle,1
485.6,lower_middle,1
486.8,center_middle,1
489.2,lower_middle,1
490.4,lower_wall,1
492.801,right_wall,1
494.001,lower_right,1
495.2,lower_middle,1
496.401,center_middle,1
501.201,upper_middle,1
503.6,upper_wall,1
508.401,left_wall,1
510.802,lower_left,1
510.802,lower_wall,1
513.2,lower_middle,1
515.6,center_middle,1
516.8,center_right,1
516.8,upper_right,1
516.8,upper_wall,1
518,right_wall,1
519.2,lower_right,1
520.4,lower_wall,1
522.8,lower_right,1
524,lower_middle,1
525.201,center_middle,1
525.201,center_left,1
526.4,upper_left,1
527.601,left_wall,1
527.601,upper_wall,1
528.801,upper_left,1
531.2,center_left,1
532.4,left_wall,1
536.001,lower_wall,1
539.601,lower_left,1
540.801,center_left,1
542.001,center_middle,1
543.2,lower_middle,1
570.8,center_middle,1
572,upper_middle,1
572,upper_right,1
573.2,upper_wall,1
574.401,right_wall,1
575.6,upper_right,1
576.801,center_right,1
578,center_middle,1
580.4,lower_middle,1
585.2,lower_wall,1
586.401,lower_middle,1
596.001,center_middle,1
597.201,upper_middle,1
597.201,upper_wall,1
602.001,left_wall,1
604.4,upper_wall,1
605.6,left_wall,1
605.6,upper_left,1
609.56,END,0
