time,code,class
0,center_middle,1
1.798,center_left,1
4.866,upper_left,1
8.803,upper_middle,1
10.006,upper_wall,1
11.736,upper_right,1
12.741,upper_wall,1
14.277,upper_left,1
15.574,upper_wall,1
27.589,upper_right,1
28.624,right_wall,1
33.493,upper_right,1
33.996,upper_wall,1
35.029,upper_left,1
38.6,center_left,1
39.103,center_middle,1
40.403,lower_middle,1
49.344,center_middle,1
51.649,lower_middle,1
60.886,lower_wall,1
61.89,lower_middle,1
71.633,center_right,1
71.872,center_middle,1
72.401,lower_middle,1
90.581,lower_left,1
91.586,center_left,1
92.885,center_middle,1
93.653,lower_middle,1
94.923,lower_right,1
96.725,right_wall,1
96.961,lower_right,1
97.728,lower_middle,1
99.529,center_middle,1
101.569,lower_middle,1
101.83,lower_left,1
102.597,lower_middle,1
106.965,center_middle,1
107.969,upper_middle,1
109.005,upper_left,1
109.27,upper_middle,1
111.808,center_middle,1
113.609,lower_middle,1
122.819,lower_left,1
123.852,center_left,1
125.387,lower_left,1
127.189,lower_wall,1
129.225,lower_middle,1
131.026,center_middle,1
131.794,center_right,1
133.829,right_wall,1
136.131,center_right,1
136.661,lower_middle,1
137.165,center_middle,1
137.667,center_left,1
141.27,left_wall,1
141.505,center_left,1
142.805,lower_middle,1
153.548,center_middle,1
160.455,lower_middle,1
161.729,center_middle,1
162.258,center_left,1
163.265,upper_left,1
168.131,center_left,1
173.002,lower_left,1
174.536,lower_middle,1
175.303,center_middle,1
176.071,upper_middle,1
177.606,upper_wall,1
181.943,left_wall,1
187.05,center_left,1
188.586,lower_left,1
189.618,lower_middle,1
190.652,lower_wall,1
191.152,lower_middle,1
191.919,lower_right,1
194.751,lower_wall,1
195.52,lower_middle,1
198.826,center_middle,1
199.094,center_left,1
200.128,upper_left,1
201.395,center_left,1
201.898,left_wall,1
203.434,center_left,1
204.204,lower_left,1
204.465,lower_middle,1
218.283,center_middle,1
220.081,upper_right,1
221.616,upper_middle,1
223.417,upper_left,1
225.72,center_left,1
225.983,center_middle,1
227.256,lower_middle,1
229.29,lower_left,1
230.826,lower_wall,1
232.628,lower_left,1
233.132,lower_middle,1
241.837,lower_wall,1
243.372,lower_middle,1
244.907,center_left,1
246.444,left_wall,1
246.974,center_left,1
248.243,center_middle,1
250.283,lower_middle,1
261.055,center_left,1
262.059,upper_left,1
263.858,center_left,1
264.364,center_middle,1
265.131,lower_middle,1
274.869,center_middle,1
276.138,center_right,1
276.907,upper_right,1
278.974,upper_middle,1
281.008,upper_left,1
282.81,left_wall,1
284.345,upper_wall,1
289.451,upper_left,1
292.019,center_left,1
293.291,center_middle,1
294.828,lower_middle,1
296.123,center_middle,1
296.891,lower_middle,1
297.391,lower_right,1
298.926,right_wall,1
299.962,center_right,1
300.729,center_middle,1
303.531,upper_middle,1
306.604,upper_right,1
310.972,upper_middle,1
311.978,upper_left,1
313.274,center_left,1
316.845,lower_left,1
318.144,left_wall,1
318.379,lower_wall,1
322.483,lower_middle,1
327.856,center_left,1
329.39,center_middle,1
334.262,upper_left,1
335.029,center_left,1
336.564,center_middle,1
337.331,lower_middle,1
338.867,lower_wall,1
341.436,lower_middle,1
342.703,lower_left,1
342.97,lower_wall,1
343.999,lower_left,1
344.767,lower_middle,1
348.076,lower_right,1
348.843,lower_wall,1
350.144,right_wall,1
354.75,upper_wall,1
373.167,upper_middle,1
377.772,center_middle,1
378.303,center_left,1
380.341,lower_left,1
380.86,left_wall,1
381.375,lower_wall,1
394.155,right_wall,1
395.692,lower_right,1
396.724,center_right,1
396.991,center_middle,1
399.53,center_left,1
400.061,left_wall,1
402.604,upper_wall,1
409.004,upper_middle,1
411.573,upper_right,1
412.606,right_wall,1
415.676,upper_wall,1
423.084,upper_right,1
424.618,upper_middle,1
425.152,center_middle,1
426.421,lower_middle,1
446.379,center_middle,1
446.64,center_left,1
448.176,left_wall,1
450.478,lower_wall,1
473.268,lower_middle,1
477.873,center_middle,1
478.639,upper_middle,1
479.406,upper_left,1
480.442,upper_wall,1
485.312,left_wall,1
491.953,center_left,1
496.32,center_middle,1
498.359,center_right,1
500.395,right_wall,1
503.23,lower_wall,1
509.37,lower_middle,1
526.015,center_middle,1
526.521,center_right,1
527.022,center_middle,1
528.055,upper_middle,1
528.319,upper_left,1
529.59,left_wall,1
531.893,upper_left,1
532.394,center_left,1
535.467,center_middle,1
535.997,upper_middle,1
536.497,upper_right,1
537.531,upper_wall,1
544.939,upper_right,1
545.206,upper_middle,1
547.243,upper_left,1
548.542,left_wall,1
551.851,lower_wall,1
555.183,lower_middle,1
568.763,lower_right,1
570.03,right_wall,1
570.559,lower_wall,1
573.367,lower_right,1
573.869,lower_middle,1
574.902,center_middle,1
576.171,lower_middle,1
576.939,lower_left,1
578.739,lower_wall,1
584.405,lower_middle,1
585.413,center_middle,1
586.71,upper_middle,1
587.216,upper_right,1
590.019,center_middle,1
590.55,upper_middle,1
591.819,upper_left,1
595.157,center_middle,1
596.16,center_right,1
600.529,upper_right,1
602.564,center_middle,1
603.332,lower_middle,1
606.934,lower_wall,1
608.832,END,0
