time,code,class
0,center_middle,1
1.535,center_left,1
3.068,lower_left,1
5.371,left_wall,1
20.587,upper_wall,1
26.994,upper_left,1
28.795,left_wall,1
30.062,lower_wall,1
33.169,lower_middle,1
38.038,center_middle,1
39.572,upper_middle,1
40.608,upper_left,1
41.375,upper_wall,1
43.676,upper_left,1
45.713,center_left,1
46.746,lower_left,1
48.785,lower_middle,1
49.817,lower_wall,1
50.85,lower_right,1
53.654,lower_middle,1
57.49,lower_left,1
58.79,lower_middle,1
61.329,lower_right,1
65.431,lower_wall,1
65.699,lower_right,1
66.199,lower_middle,1
67.734,lower_wall,1
68.501,lower_middle,1
69.269,lower_left,1
71.335,center_left,1
72.338,upper_left,1
73.373,center_middle,1
74.64,lower_middle,1
98.198,center_right,1
100.278,center_middle,1
104.401,center_left,1
105.168,center_middle,1
112.316,upper_middle,1
113.612,upper_left,1
113.851,upper_wall,1
118.718,right_wall,1
120.253,upper_right,1
125.124,upper_middle,1
125.891,upper_left,1
126.395,upper_wall,1
141.072,left_wall,1
143.109,lower_wall,1
152.319,right_wall,1
153.085,lower_right,1
154.384,lower_middle,1
174.076,center_middle,1
175.108,center_right,1
175.612,lower_right,1
176.643,lower_middle,1
177.676,lower_wall,1
178.177,lower_middle,1
179.452,lower_left,1
180.24,center_left,1
181.246,center_middle,1
182.544,center_right,1
185.616,center_middle,1
186.62,upper_middle,1
187.653,upper_left,1
188.42,upper_wall,1
198.928,right_wall,1
206.606,center_right,1
207.373,lower_right,1
208.38,lower_middle,1
223.757,lower_left,1
226.825,left_wall,1
227.857,lower_left,1
229.129,lower_middle,1
236.539,lower_right,1
238.076,right_wall,1
238.845,lower_wall,1
251.388,left_wall,1
254.46,center_left,1
259.088,center_middle,1
260.092,center_left,1
260.624,center_middle,1
262.161,center_right,1
263.164,upper_right,1
263.931,right_wall,1
265.231,upper_wall,1
269.068,right_wall,1
269.835,upper_right,1
272.137,upper_wall,1
276.743,upper_right,1
281.083,center_middle,1
283.149,lower_middle,1
286.986,lower_wall,1
288.017,lower_right,1
288.785,lower_middle,1
291.59,center_middle,1
292.092,center_left,1
292.86,center_middle,1
293.628,upper_middle,1
298.001,upper_wall,1
302.101,right_wall,1
307.238,lower_right,1
310.544,right_wall,1
312.345,lower_right,1
314.386,lower_middle,1
336.167,center_middle,1
338.204,upper_middle,1
338.47,upper_left,1
339.238,upper_wall,1
471.767,left_wall,1
477.246,upper_left,1
478.517,center_left,1
481.586,left_wall,1
482.62,lower_wall,1
486.192,lower_left,1
489.791,left_wall,1
493.098,center_left,1
494.399,lower_left,1
495.401,lower_middle,1
497.469,center_middle,1
497.705,center_right,1
498.474,upper_right,1
499.242,right_wall,1
500.009,upper_wall,1
630.195,END,0
