time,code,class
0,center_middle,1
4.104,lower_middle,1
9.21,lower_wall,1
9.715,lower_middle,1
12.02,lower_wall,1
12.28,lower_middle,1
20.722,center_middle,1
24.826,lower_middle,1
71.239,center_middle,1
73.544,lower_middle,1
75.08,lower_left,1
75.609,center_left,1
76.376,left_wall,1
77.645,upper_left,1
78.413,center_middle,1
78.941,lower_middle,1
80.715,lower_wall,1
83.017,lower_middle,1
113.748,center_middle,1
115.016,upper_middle,1
117.32,center_middle,1
118.088,lower_middle,1
121.688,lower_wall,1
124.491,left_wall,1
125.022,lower_left,1
126.026,lower_middle,1
133.704,center_middle,1
133.704,center_right,1
135.769,center_middle,1
136.009,lower_middle,1
151.118,center_middle,1
152.92,lower_middle,1
156.49,lower_right,1
158.025,lower_middle,1
165.465,lower_wall,1
166.473,lower_middle,1
167.501,center_middle,1
167.768,center_left,1
169.036,upper_left,1
169.302,upper_middle,1
169.803,upper_wall,1
172.373,upper_middle,1
172.874,upper_left,1
173.14,upper_middle,1
173.641,center_middle,1
175.177,center_right,1
176.209,right_wall,1
176.712,center_right,1
178.779,upper_right,1
179.547,upper_wall,1
190.793,upper_middle,1
195.4,upper_left,1
196.697,center_left,1
198.494,left_wall,1
200.797,upper_wall,1
205.907,upper_left,1
209.743,center_left,1
210.01,center_middle,1
210.51,lower_middle,1
213.08,lower_wall,1
216.917,lower_left,1
218.185,lower_wall,1
219.486,lower_left,1
221.256,center_middle,1
225.626,upper_middle,1
233.8,upper_right,1
234.068,upper_wall,1
235.101,upper_right,1
242.509,right_wall,1
243.277,upper_right,1
247.114,upper_wall,1
248.916,upper_right,1
249.181,upper_middle,1
251.218,upper_left,1
251.721,upper_wall,1
261.461,left_wall,1
263.498,lower_left,1
264.264,lower_middle,1
271.438,lower_right,1
272.206,lower_wall,1
273.481,lower_right,1
274.508,lower_middle,1
285.018,center_middle,1
288.856,lower_left,1
290.39,lower_middle,1
299.1,center_middle,1
299.866,upper_middle,1
300.872,upper_right,1
301.903,upper_wall,1
303.177,right_wall,1
308.573,lower_wall,1
312.413,right_wall,1
316.25,lower_right,1
317.017,center_right,1
317.257,center_middle,1
318.552,center_left,1
319.581,lower_left,1
320.087,left_wall,1
322.122,upper_wall,1
327.261,upper_right,1
328.264,upper_middle,1
330.33,center_middle,1
331.337,lower_middle,1
342.056,lower_wall,1
343.323,lower_left,1
343.591,lower_middle,1
344.621,center_middle,1
345.126,center_left,1
347.161,left_wall,1
348.462,lower_wall,1
358.702,right_wall,1
359.974,lower_right,1
360.237,lower_middle,1
387.367,center_left,1
388.135,center_middle,1
390.171,upper_middle,1
395.545,upper_left,1
397.344,center_left,1
397.848,left_wall,1
400.153,lower_left,1
403.483,center_left,1
404.518,upper_left,1
405.018,upper_middle,1
405.786,upper_wall,1
415.028,upper_left,1
418.099,upper_middle,1
420.163,upper_right,1
422.203,right_wall,1
429.676,upper_wall,1
435.817,right_wall,1
436.317,upper_right,1
437.614,center_right,1
437.851,center_middle,1
438.381,lower_middle,1
443.993,lower_left,1
444.761,lower_middle,1
445.792,center_middle,1
446.827,upper_middle,1
448.863,upper_right,1
449.897,upper_wall,1
452.966,right_wall,1
460.377,upper_right,1
461.145,upper_wall,1
463.978,left_wall,1
473.187,upper_left,1
474.721,center_left,1
475.756,lower_middle,1
497.511,center_middle,1
499.814,upper_middle,1
500.581,upper_left,1
502.883,upper_wall,1
523.103,upper_middle,1
524.905,center_middle,1
525.672,lower_middle,1
527.708,lower_wall,1
534.616,lower_middle,1
540.761,center_middle,1
541.788,center_right,1
544.859,center_middle,1
545.625,lower_middle,1
547.16,lower_left,1
547.928,lower_wall,1
555.102,left_wall,1
557.165,upper_wall,1
561.774,left_wall,1
569.95,lower_left,1
574.822,center_left,1
575.085,center_middle,1
575.589,center_left,1
576.356,upper_left,1
576.621,upper_middle,1
583.769,center_right,1
586.073,upper_right,1
588.636,center_right,1
590.17,lower_right,1
590.701,right_wall,1
593.006,lower_right,1
593.506,lower_middle,1
605.132,END,0
