time,code,class
0,center_middle,1
0.788,lower_middle,1
1.557,lower_right,1
2.325,lower_wall,1
5.899,left_wall,1
6.932,upper_wall,1
10.238,right_wall,1
14.341,lower_wall,1
17.172,lower_middle,1
18.446,lower_right,1
19.212,right_wall,1
19.98,lower_wall,1
23.049,left_wall,1
24.584,upper_wall,1
29.696,right_wall,1
30.992,center_right,1
31.491,lower_right,1
32.259,lower_wall,1
32.788,lower_middle,1
33.293,lower_left,1
33.795,center_left,1
34.561,upper_left,1
35.329,upper_wall,1
37.898,upper_middle,1
38.164,upper_right,1
38.933,right_wall,1
40.703,lower_wall,1
45.573,left_wall,1
47.374,upper_wall,1
54.282,right_wall,1
55.817,lower_wall,1
58.624,left_wall,1
60.688,upper_wall,1
63.253,upper_right,1
64.02,right_wall,1
65.792,lower_wall,1
69.631,lower_left,1
70.164,left_wall,1
72.2,upper_wall,1
74.239,upper_middle,1
74.501,upper_right,1
75.536,right_wall,1
77.07,lower_wall,1
80.149,lower_left,1
80.149,left_wall,1
81.685,upper_wall,1
85.257,right_wall,1
86.528,center_right,1
87.058,lower_right,1
87.826,lower_wall,1
90.63,left_wall,1
91.924,center_left,1
92.43,upper_left,1
93.46,upper_wall,1
96.268,right_wall,1
97.803,lower_right,1
98.304,lower_wall,1
99.337,lower_middle,1
99.604,lower_left,1
100.106,left_wall,1
100.872,upper_left,1
101.375,upper_wall,1
102.675,upper_right,1
103.441,center_right,1
104.976,center_middle,1
106.752,upper_middle,1
107.779,upper_wall,1
109.076,right_wall,1
110.614,lower_wall,1
113.152,lower_left,1
113.684,left_wall,1
115.22,upper_wall,1
125.198,upper_left,1
128.533,upper_middle,1
129.301,upper_right,1
129.802,center_right,1
130.303,right_wall,1
131.336,lower_wall,1
134.143,left_wall,1
135.942,lower_left,1
136.975,lower_wall,1
140.309,right_wall,1
142.08,upper_wall,1
146.953,left_wall,1
149.521,lower_left,1
150.022,lower_wall,1
151.824,lower_middle,1
153.858,lower_wall,1
156.162,left_wall,1
157.696,upper_wall,1
167.701,upper_middle,1
168.975,center_middle,1
169.741,lower_middle,1
172.308,lower_left,1
172.544,lower_wall,1
174.347,left_wall,1
175.88,upper_wall,1
179.218,right_wall,1
181.254,lower_wall,1
185.858,left_wall,1
188.159,upper_wall,1
191.999,right_wall,1
193.299,center_right,1
194.302,lower_middle,1
196.102,lower_wall,1
198.144,left_wall,1
200.206,upper_left,1
200.705,upper_wall,1
203.54,right_wall,1
204.81,lower_right,1
205.577,lower_middle,1
207.379,lower_left,1
208.383,left_wall,1
210.95,upper_wall,1
213.519,upper_middle,1
214.787,center_middle,1
216.085,center_right,1
216.853,lower_middle,1
217.856,center_middle,1
218.388,center_left,1
218.89,upper_left,1
219.924,upper_wall,1
221.961,upper_left,1
223.231,left_wall,1
225.535,lower_wall,1
228.629,lower_right,1
229.635,right_wall,1
232.468,upper_wall,1
238.078,left_wall,1
242.688,lower_left,1
243.215,lower_middle,1
245.25,lower_right,1
246.548,right_wall,1
246.785,lower_wall,1
249.621,left_wall,1
250.889,upper_left,1
251.657,upper_wall,1
256.261,left_wall,1
258.063,lower_left,1
258.564,lower_wall,1
260.865,left_wall,1
262.4,upper_wall,1
265.236,upper_left,1
266.239,center_left,1
267.272,lower_left,1
269.311,lower_middle,1
270.342,lower_right,1
271.109,lower_wall,1
271.876,right_wall,1
273.678,upper_wall,1
278.017,left_wall,1
283.391,upper_wall,1
288.26,right_wall,1
290.562,lower_wall,1
309.248,left_wall,1
310.782,upper_wall,1
326.164,upper_left,1
327.936,left_wall,1
329.471,lower_wall,1
333.572,lower_right,1
333.839,lower_middle,1
335.637,lower_wall,1
337.172,left_wall,1
339.711,upper_wall,1
340.479,left_wall,1
342.784,lower_wall,1
348.928,right_wall,1
351.489,upper_wall,1
387.092,left_wall,1
388.626,center_left,1
389.127,lower_left,1
389.895,lower_middle,1
391.43,lower_right,1
392.197,lower_wall,1
395.533,left_wall,1
397.068,upper_wall,1
407.813,right_wall,1
409.877,lower_wall,1
413.452,left_wall,1
414.485,center_left,1
414.987,upper_left,1
415.754,upper_wall,1
418.559,right_wall,1
419.328,center_right,1
