time,code,class
0,center_middle,1
1.772,lower_middle,1
3.309,center_middle,1
4.077,upper_left,1
5.373,upper_middle,1
6.14,upper_wall,1
80.749,right_wall,1
82.783,center_right,1
83.05,upper_right,1
84.055,upper_middle,1
85.591,center_left,1
85.854,upper_left,1
86.887,left_wall,1
88.923,center_left,1
89.957,center_middle,1
90.458,lower_middle,1
91.492,center_middle,1
92.525,upper_middle,1
93.795,upper_wall,1
97.898,upper_left,1
99.434,center_left,1
102.503,lower_left,1
105.306,center_left,1
106.605,center_middle,1
109.676,center_right,1
111.712,right_wall,1
113.247,upper_wall,1
142.878,upper_left,1
143.912,upper_middle,1
145.946,center_middle,1
150.317,upper_middle,1
151.852,upper_wall,1
156.696,right_wall,1
158.252,upper_wall,1
163.628,upper_right,1
165.932,center_right,1
166.433,upper_right,1
166.7,upper_middle,1
167.703,upper_left,1
169.503,upper_wall,1
173.607,left_wall,1
176.677,lower_wall,1
181.283,left_wall,1
184.087,center_left,1
185.623,center_middle,1
187.159,lower_middle,1
187.927,center_middle,1
189.224,upper_left,1
190.491,upper_wall,1
201.769,upper_middle,1
202.796,upper_left,1
204.071,upper_wall,1
209.444,upper_left,1
209.944,upper_middle,1
210.476,upper_left,1
212.78,center_left,1
214.049,upper_left,1
214.552,upper_middle,1
217.117,upper_right,1
217.623,upper_wall,1
225.059,upper_right,1
225.826,right_wall,1
230.698,upper_right,1
231.465,upper_middle,1
233.001,center_middle,1
237.339,lower_middle,1
238.636,center_middle,1
240.172,upper_middle,1
241.443,upper_wall,1
249.383,left_wall,1
253.221,lower_wall,1
259.36,lower_left,1
261.162,center_left,1
262.696,left_wall,1
263.964,upper_wall,1
265.499,upper_left,1
267.035,upper_middle,1
267.564,upper_wall,1
275.243,upper_middle,1
275.744,upper_wall,1
276.511,upper_left,1
277.783,left_wall,1
278.813,upper_left,1
280.347,center_left,1
281.115,upper_left,1
281.644,upper_middle,1
282.412,upper_wall,1
286.252,upper_middle,1
289.057,upper_left,1
290.592,left_wall,1
294.695,upper_left,1
295.964,upper_wall,1
302.104,right_wall,1
310.811,center_right,1
311.578,right_wall,1
313.882,upper_right,1
315.18,upper_middle,1
315.684,center_middle,1
320.554,lower_middle,1
324.653,lower_wall,1
331.927,right_wall,1
333.7,center_right,1
338.071,upper_right,1
339.841,upper_wall,1
345.745,upper_middle,1
355.989,upper_wall,1
367.501,upper_middle,1
368.769,upper_right,1
370.305,upper_wall,1
384.651,upper_middle,1
385.419,upper_left,1
393.623,center_left,1
394.39,center_middle,1
395.396,lower_middle,1
396.162,center_middle,1
398.23,upper_middle,1
398.466,upper_right,1
399.767,upper_wall,1
410.007,right_wall,1
411.778,upper_right,1
412.546,upper_middle,1
414.614,upper_left,1
415.381,left_wall,1
423.823,lower_wall,1
427.394,lower_left,1
429.196,center_left,1
429.964,lower_left,1
430.73,center_middle,1
431.233,lower_middle,1
432.001,center_middle,1
432.533,center_right,1
433.033,lower_right,1
433.8,lower_middle,1
435.842,center_right,1
436.87,center_middle,1
437.905,upper_middle,1
438.935,upper_left,1
439.702,upper_wall,1
493.526,upper_left,1
494.562,center_left,1
495.329,center_middle,1
497.631,upper_middle,1
498.135,upper_left,1
498.665,upper_wall,1
504.578,left_wall,1
506.134,upper_left,1
507.67,upper_wall,1
528.897,upper_right,1
529.929,upper_middle,1
531.201,center_middle,1
531.731,upper_middle,1
531.969,upper_right,1
533,upper_wall,1
540.674,right_wall,1
546.579,upper_wall,1
552.982,upper_right,1
554.754,upper_middle,1
555.521,upper_left,1
556.556,left_wall,1
562.435,lower_wall,1
567.063,lower_left,1
567.301,lower_middle,1
568.068,lower_left,1
568.598,lower_middle,1
569.602,center_middle,1
570.902,upper_middle,1
572.439,upper_wall,1
611.606,left_wall,1
613.911,upper_left,1
614.914,center_left,1
615.181,center_middle,1
619.787,upper_middle,1
620.553,upper_wall,1
656.892,END,0
