time,code,class
0,upper_middle,1
0.767,upper_wall,1
4.074,upper_middle,1
4.843,upper_left,1
5.373,upper_middle,1
6.14,center_middle,1
7.147,center_right,1
8.176,lower_middle,1
10.24,lower_wall,1
12.279,lower_middle,1
15.615,center_middle,1
16.384,center_right,1
17.919,lower_right,1
18.686,lower_middle,1
20.721,center_middle,1
22.256,lower_middle,1
25.087,lower_wall,1
26.36,lower_right,1
26.862,lower_middle,1
27.392,center_middle,1
30.197,lower_middle,1
38.379,center_middle,1
40.941,lower_middle,1
50.153,center_middle,1
52.459,lower_middle,1
59.894,lower_left,1
60.394,center_left,1
60.661,center_middle,1
61.161,upper_middle,1
61.695,upper_right,1
63.466,center_middle,1
65.771,lower_middle,1
76.277,center_middle,1
76.544,center_right,1
77.812,lower_middle,1
80.881,center_middle,1
81.649,lower_middle,1
82.416,center_middle,1
83.451,lower_middle,1
91.392,center_middle,1
91.892,center_right,1
93.427,right_wall,1
94.195,lower_wall,1
98.8,lower_right,1
99.067,lower_middle,1
104.438,center_middle,1
104.939,center_left,1
105.472,upper_left,1
106.473,upper_wall,1
111.612,left_wall,1
112.113,upper_left,1
112.619,upper_wall,1
113.647,upper_middle,1
114.416,upper_right,1
115.951,right_wall,1
116.479,upper_right,1
116.984,center_right,1
118.783,lower_middle,1
131.565,center_middle,1
132.864,upper_middle,1
133.631,upper_wall,1
145.913,upper_middle,1
146.944,center_middle,1
148.716,lower_middle,1
161.023,center_middle,1
161.262,center_right,1
162.029,right_wall,1
166.868,upper_right,1
167.903,upper_middle,1
170.204,center_middle,1
170.708,center_left,1
172.007,lower_left,1
175.338,left_wall,1
177.111,lower_wall,1
181.483,lower_middle,1
187.882,lower_right,1
188.891,lower_wall,1
192.994,right_wall,1
195.03,center_right,1
196.063,lower_right,1
196.33,lower_middle,1
197.865,lower_right,1
204.506,lower_middle,1
206.307,center_middle,1
207.338,center_right,1
208.874,upper_right,1
209.378,upper_middle,1
215.516,center_middle,1
217.052,lower_middle,1
226.527,center_middle,1
228.329,center_right,1
229.332,right_wall,1
230.869,upper_wall,1
234.468,upper_middle,1
239.339,upper_left,1
240.608,left_wall,1
241.376,upper_wall,1
244.948,left_wall,1
257.258,lower_left,1
258.26,lower_middle,1
268.77,center_middle,1
270.304,center_right,1
271.073,upper_right,1
275.414,right_wall,1
281.817,lower_wall,1
286.955,lower_right,1
288.222,lower_middle,1
292.06,center_middle,1
293.334,upper_middle,1
293.862,upper_left,1
294.63,left_wall,1
295.659,upper_wall,1
300.001,upper_middle,1
303.572,center_middle,1
304.341,center_right,1
308.182,lower_right,1
308.709,lower_middle,1
330.964,lower_wall,1
337.109,left_wall,1
341.475,center_left,1
342.743,left_wall,1
343.275,upper_left,1
344.279,upper_wall,1
349.151,right_wall,1
351.19,upper_wall,1
363.231,upper_left,1
364.765,center_left,1
365.533,left_wall,1
368.102,center_left,1
369.637,lower_left,1
370.138,lower_middle,1
371.673,lower_wall,1
377.812,right_wall,1
383.958,center_right,1
388.586,upper_right,1
390.891,upper_wall,1
476.907,upper_right,1
477.411,upper_middle,1
477.913,center_middle,1
478.946,lower_middle,1
482.282,lower_wall,1
485.086,lower_middle,1
488.423,center_middle,1
489.191,upper_middle,1
490.545,upper_wall,1
491.326,upper_middle,1
492.093,upper_right,1
492.33,upper_wall,1
494.895,right_wall,1
500.799,lower_wall,1
503.871,lower_right,1
504.639,lower_middle,1
507.946,center_middle,1
514.615,lower_middle,1
519.219,lower_left,1
520.254,lower_wall,1
527.423,lower_left,1
527.928,lower_middle,1
533.035,center_middle,1
534.067,upper_middle,1
535.103,upper_wall,1
546.346,upper_left,1
547.648,center_left,1
549.684,lower_left,1
551.485,lower_middle,1
553.521,lower_wall,1
554.795,lower_middle,1
562.996,lower_right,1
563.764,center_right,1
564.532,right_wall,1
567.339,upper_wall,1
595.763,right_wall,1
597.802,upper_wall,1
616.55,END,0
