time,code,class
0,center_middle,1
1.8,upper_middle,1
2.302,upper_left,1
3.335,center_left,1
4.102,left_wall,1
39.306,lower_wall,1
247.046,lower_middle,1
262.133,center_left,1
263.162,center_middle,1
266.5,center_right,1
267.266,center_middle,1
269.302,lower_middle,1
285.184,lower_wall,1
286.454,lower_middle,1
286.986,lower_left,1
287.989,left_wall,1
290.823,center_left,1
291.325,upper_left,1
292.092,upper_middle,1
296.697,center_middle,1
298.999,lower_middle,1
330.763,lower_right,1
332.798,right_wall,1
335.102,center_right,1
336.374,center_middle,1
338.437,upper_left,1
339.467,left_wall,1
340.473,upper_wall,1
344.311,upper_left,1
344.577,upper_middle,1
345.61,upper_right,1
349.448,upper_middle,1
350.455,upper_left,1
351.752,left_wall,1
356.856,lower_wall,1
363.263,lower_middle,1
386.053,center_middle,1
387.083,upper_middle,1
388.355,upper_wall,1
391.424,upper_left,1
391.69,upper_middle,1
392.458,center_middle,1
394.23,lower_middle,1
395.766,lower_wall,1
401.667,right_wall,1
408.841,lower_right,1
409.077,center_right,1
409.609,center_middle,1
411.381,center_left,1
413.18,center_middle,1
415.749,upper_middle,1
417.546,center_middle,1
418.819,lower_middle,1
441.846,center_middle,1
444.15,center_right,1
445.177,upper_right,1
446.712,upper_wall,1
453.887,upper_middle,1
454.39,upper_left,1
454.92,upper_wall,1
455.689,left_wall,1
461.828,upper_left,1
462.596,upper_middle,1
465.664,center_middle,1
466.165,center_right,1
467.968,right_wall,1
470.537,lower_wall,1
476.171,lower_left,1
477.944,lower_middle,1
487.157,center_middle,1
488.188,upper_middle,1
493.56,center_middle,1
495.362,lower_middle,1
496.129,lower_right,1
497.162,lower_middle,1
497.664,lower_wall,1
498.165,lower_middle,1
501.237,center_middle,1
503.036,upper_left,1
504.838,left_wall,1
505.605,upper_wall,1
511.478,upper_middle,1
512.778,upper_right,1
514.55,right_wall,1
518.652,upper_right,1
519.419,center_right,1
523.255,center_middle,1
526.592,center_left,1
528.895,left_wall,1
531.464,lower_left,1
532.231,lower_middle,1
537.866,center_middle,1
540.675,center_left,1
541.44,center_middle,1
548.086,center_right,1
549.883,center_middle,1
552.715,upper_middle,1
555.018,center_middle,1
555.521,center_right,1
556.789,center_middle,1
557.558,upper_middle,1
557.823,center_middle,1
558.325,center_left,1
562.934,upper_left,1
565.498,upper_wall,1
574.709,left_wall,1
581.113,upper_left,1
582.112,center_middle,1
582.88,upper_middle,1
584.917,center_middle,1
585.42,center_right,1
587.486,lower_right,1
587.987,lower_middle,1
597.728,center_middle,1
604.636,lower_middle,1
653.785,center_middle,1
654.816,upper_middle,1
656.352,upper_wall,1
657.623,upper_middle,1
662.73,center_middle,1
666.064,lower_middle,1
671.437,center_middle,1
672.736,upper_left,1
679.378,END,0
