time,code,class
0,center_middle,1
0.788,upper_middle,1
4.366,upper_right,1
6.166,right_wall,1
17.173,upper_wall,1
65.493,right_wall,1
71.632,lower_wall,1
74.197,lower_middle,1
75.204,lower_left,1
75.47,lower_middle,1
82.88,center_middle,1
83.647,lower_middle,1
88.783,center_middle,1
90.581,center_left,1
91.085,center_middle,1
91.853,lower_middle,1
101.568,center_middle,1
102.598,upper_middle,1
104.131,upper_left,1
106.197,center_middle,1
107.733,lower_middle,1
131.392,lower_right,1
132.16,lower_wall,1
134.963,lower_left,1
135.466,left_wall,1
135.997,lower_left,1
137.265,center_middle,1
138.538,upper_middle,1
139.067,upper_right,1
141.632,center_right,1
142.386,center_middle,1
142.904,lower_middle,1
149.811,center_middle,1
150.578,lower_right,1
151.614,right_wall,1
154.415,lower_wall,1
160.32,lower_right,1
161.322,center_right,1
161.855,center_middle,1
163.625,center_left,1
171.327,center_middle,1
172.334,lower_middle,1
173.631,lower_left,1
174.399,lower_middle,1
181.042,center_middle,1
182.313,upper_right,1
182.844,upper_middle,1
183.85,upper_wall,1
192.319,upper_left,1
193.087,upper_middle,1
193.588,center_middle,1
195.89,center_right,1
197.693,upper_right,1
199.487,upper_wall,1
208.704,upper_right,1
209.471,upper_middle,1
209.972,center_middle,1
212.01,lower_middle,1
219.448,lower_wall,1
222.784,lower_middle,1
233.262,center_middle,1
237.097,center_left,1
239.935,center_middle,1
240.436,lower_middle,1
241.47,center_middle,1
241.971,center_right,1
252.48,center_middle,1
261.184,upper_middle,1
263.726,upper_left,1
265.792,center_left,1
267.327,upper_left,1
267.83,left_wall,1
272.597,lower_wall,1
275.668,lower_left,1
277.205,lower_middle,1
278.739,center_middle,1
282.309,upper_middle,1
285.14,upper_left,1
285.908,upper_wall,1
286.676,upper_left,1
287.181,upper_wall,1
289.216,left_wall,1
292.053,upper_left,1
293.823,upper_wall,1
300.494,upper_left,1
300.996,upper_middle,1
301.762,center_middle,1
304.596,lower_middle,1
319.181,center_middle,1
319.444,center_right,1
320.98,right_wall,1
324.819,upper_right,1
329.156,center_middle,1
331.727,upper_middle,1
331.989,upper_left,1
353.983,upper_middle,1
356.051,center_middle,1
357.585,lower_middle,1
359.621,lower_wall,1
363.791,right_wall,1
365.826,lower_right,1
366.862,lower_middle,1
373.502,center_middle,1
374.271,center_right,1
376.576,center_middle,1
379.406,upper_middle,1
380.941,upper_wall,1
387.348,upper_right,1
387.584,upper_middle,1
388.884,upper_left,1
389.383,upper_wall,1
397.589,upper_left,1
398.859,upper_middle,1
401.663,center_middle,1
402.431,center_right,1
410.638,center_middle,1
411.138,lower_middle,1
419.915,center_middle,1
422.216,upper_middle,1
422.483,upper_left,1
424.019,left_wall,1
426.32,upper_wall,1
428.885,left_wall,1
429.123,upper_wall,1
431.692,upper_middle,1
439.103,upper_right,1
440.64,center_right,1
442.703,center_middle,1
447.042,lower_left,1
448.577,lower_wall,1
449.109,lower_left,1
449.876,lower_middle,1
501.829,center_middle,1
504.9,center_right,1
505.428,lower_right,1
505.667,lower_middle,1
506.196,lower_right,1
507.733,lower_wall,1
522.817,right_wall,1
528.455,upper_right,1
533.061,upper_middle,1
533.569,center_middle,1
537.665,center_left,1
539.2,left_wall,1
543.039,lower_wall,1
547.408,lower_left,1
548.437,center_left,1
549.204,center_middle,1
551.508,center_right,1
576.837,lower_middle,1
578.372,lower_right,1
578.64,lower_middle,1
590.15,center_middle,1
591.185,upper_middle,1
591.952,upper_right,1
592.96,upper_wall,1
595.285,right_wall,1
596.557,upper_right,1
597.589,center_right,1
597.826,center_middle,1
599.626,center_left,1
601.162,lower_left,1
603.465,lower_middle,1
606.272,center_middle,1
609.603,upper_middle,1
610.372,upper_left,1
613.44,left_wall,1
616.777,upper_wall,1
620.352,upper_left,1
623.424,upper_middle,1
623.951,center_middle,1
624.981,lower_middle,1
640.737,END,0
