time,code,class
0,center_middle,1
1.268,center_right,1
2.302,right_wall,1
3.332,upper_wall,1
6.455,right_wall,1
7.273,upper_right,1
7.774,center_right,1
8.303,center_middle,1
9.07,lower_middle,1
12.676,lower_wall,1
13.961,lower_middle,1
14.745,center_middle,1
16.282,center_right,1
17.817,right_wall,1
19.854,center_right,1
20.357,lower_middle,1
47.248,center_middle,1
47.749,lower_middle,1
56.218,center_middle,1
57.224,upper_right,1
58.763,right_wall,1
59.289,upper_wall,1
59.793,right_wall,1
60.293,upper_right,1
61.061,center_right,1
61.593,lower_middle,1
69.002,lower_left,1
71.571,lower_middle,1
79.748,center_middle,1
81.048,lower_middle,1
93.06,center_middle,1
93.828,center_right,1
94.362,upper_right,1
94.862,right_wall,1
97.669,upper_right,1
98.199,center_right,1
98.965,center_middle,1
99.467,lower_middle,1
100.501,lower_right,1
102.3,center_right,1
103.834,upper_right,1
104.601,upper_middle,1
105.37,upper_wall,1
110.746,right_wall,1
113.05,center_right,1
114.08,lower_right,1
114.848,lower_wall,1
116.149,lower_middle,1
122.29,center_middle,1
122.556,center_left,1
125.36,lower_left,1
126.66,center_left,1
127.161,left_wall,1
127.928,upper_wall,1
133.044,upper_middle,1
134.067,upper_right,1
134.836,upper_middle,1
135.365,center_middle,1
137.668,upper_right,1
142.51,center_middle,1
143.544,lower_middle,1
153.019,lower_wall,1
160.431,lower_left,1
161.2,lower_middle,1
166.834,lower_wall,1
168.371,right_wall,1
171.706,upper_wall,1
180.148,upper_middle,1
180.914,upper_left,1
181.948,center_middle,1
182.717,lower_middle,1
189.89,center_middle,1
190.391,center_right,1
192.434,right_wall,1
195.524,upper_wall,1
198.331,upper_right,1
200.132,upper_middle,1
200.635,center_middle,1
204.976,center_left,1
205.743,lower_left,1
208.837,lower_middle,1
212.146,lower_wall,1
212.914,lower_middle,1
213.947,lower_right,1
218.052,lower_middle,1
223.156,lower_left,1
224.453,left_wall,1
224.958,lower_wall,1
226.994,lower_left,1
228.293,lower_middle,1
230.068,center_middle,1
230.83,lower_middle,1
253.621,center_right,1
255.156,right_wall,1
256.437,upper_wall,1
258.993,upper_middle,1
261.06,center_left,1
261.829,left_wall,1
263.864,upper_left,1
264.371,upper_wall,1
278.452,upper_right,1
278.98,right_wall,1
280.515,center_right,1
283.056,lower_middle,1
291.524,lower_right,1
293.06,lower_wall,1
300.734,lower_right,1
303.537,right_wall,1
308.143,lower_right,1
309.678,center_right,1
311.746,center_middle,1
314.548,upper_middle,1
317.884,upper_left,1
322.223,upper_middle,1
326.859,upper_wall,1
330.458,upper_right,1
331.227,upper_middle,1
334.033,upper_left,1
337.104,upper_middle,1
337.87,center_middle,1
338.906,lower_middle,1
352.72,center_middle,1
353.223,center_right,1
353.988,right_wall,1
355.022,upper_wall,1
364.498,left_wall,1
370.904,lower_wall,1
375.001,lower_middle,1
377.043,lower_right,1
377.543,lower_wall,1
382.446,lower_right,1
383.45,lower_middle,1
390.366,center_middle,1
390.89,center_left,1
392.686,upper_left,1
393.192,upper_middle,1
395.228,upper_right,1
397.294,upper_wall,1
400.1,right_wall,1
400.866,upper_right,1
402.668,center_right,1
406.505,upper_middle,1
407.535,center_middle,1
410.606,center_left,1
412.378,left_wall,1
413.413,center_left,1
415.45,center_middle,1
415.982,upper_middle,1
416.217,upper_right,1
417.516,upper_wall,1
420.058,upper_right,1
424.925,right_wall,1
426.994,center_right,1
427.761,upper_right,1
432.132,center_middle,1
433.667,lower_middle,1
446.447,lower_left,1
450.288,lower_middle,1
461.593,lower_right,1
463.898,center_right,1
464.667,right_wall,1
468.267,upper_wall,1
475.941,upper_right,1
478.745,upper_middle,1
482.348,center_middle,1
485.678,lower_middle,1
527.66,center_middle,1
528.665,upper_middle,1
528.936,upper_right,1
529.729,upper_wall,1
537.137,upper_right,1
544.577,center_right,1
545.845,lower_right,1
546.613,lower_wall,1
547.647,lower_middle,1
552.754,lower_wall,1
554.82,left_wall,1
558.658,center_left,1
558.894,left_wall,1
559.664,upper_left,1
560.431,upper_wall,1
564.536,upper_left,1
565.298,upper_middle,1
568.369,upper_wall,1
569.403,upper_middle,1
569.903,upper_right,1
574.007,right_wall,1
574.774,upper_right,1
593.459,center_right,1
595.762,lower_middle,1
603.971,lower_wall,1
613.446,lower_right,1
616.782,right_wall,1
619.853,upper_wall,1
622.422,upper_right,1
632.9,center_right,1
637.004,upper_right,1
638.804,center_right,1
642.906,center_middle,1
646.746,lower_middle,1
667.366,END,0
