time,code,class
0,center_middle,1
1.537,upper_middle,1
1.798,upper_left,1
2.306,center_left,1
3.073,center_middle,1
3.601,lower_middle,1
4.868,center_middle,1
5.903,upper_middle,1
7.938,upper_wall,1
23.317,right_wall,1
24.853,upper_right,1
25.621,upper_middle,1
26.389,upper_left,1
28.928,center_middle,1
29.96,lower_middle,1
32.001,lower_left,1
32.769,lower_middle,1
34.064,center_middle,1
36.867,center_left,1
38.934,center_middle,1
39.936,upper_middle,1
40.203,upper_right,1
41.473,center_right,1
44.041,center_middle,1
44.544,lower_middle,1
50.447,lower_left,1
52.483,lower_middle,1
53.517,center_middle,1
55.553,upper_middle,1
57.088,center_middle,1
59.657,center_right,1
61.697,upper_right,1
61.959,right_wall,1
66.831,lower_right,1
67.861,lower_middle,1
75.776,lower_wall,1
76.545,lower_middle,1
78.849,lower_left,1
79.11,center_left,1
79.375,center_middle,1
86.017,upper_middle,1
87.05,upper_wall,1
90.386,left_wall,1
91.394,upper_left,1
93.957,upper_middle,1
95.759,center_middle,1
97.293,lower_middle,1
113.942,center_middle,1
115.478,center_left,1
115.979,upper_left,1
118.016,upper_middle,1
119.552,center_middle,1
121.618,lower_middle,1
122.386,lower_left,1
123.393,lower_wall,1
128.526,right_wall,1
129.292,lower_right,1
129.793,lower_middle,1
145.676,center_middle,1
146.443,center_left,1
147.211,center_middle,1
149.512,upper_middle,1
150.017,upper_right,1
151.047,upper_wall,1
156.42,upper_right,1
157.717,upper_middle,1
158.221,center_middle,1
159.756,lower_middle,1
162.561,lower_wall,1
163.329,lower_right,1
164.627,right_wall,1
165.895,lower_wall,1
167.169,right_wall,1
169.489,lower_right,1
170.5,lower_middle,1
180.481,center_middle,1
182.017,lower_middle,1
183.814,lower_left,1
184.582,center_left,1
185.615,upper_left,1
186.884,upper_middle,1
188.418,upper_right,1
193.026,upper_middle,1
194.057,center_middle,1
195.859,lower_middle,1
206.37,center_middle,1
207.403,upper_middle,1
209.439,upper_left,1
210.71,upper_wall,1
215.079,upper_left,1
218.416,center_left,1
219.713,left_wall,1
220.481,lower_left,1
220.984,lower_wall,1
223.019,lower_middle,1
229.164,lower_right,1
230.699,right_wall,1
233.025,upper_wall,1
237.367,upper_right,1
237.632,upper_middle,1
247.611,center_middle,1
248.879,lower_middle,1
255.019,lower_wall,1
257.921,right_wall,1
258.689,lower_right,1
259.189,center_right,1
259.692,center_middle,1
261.994,lower_middle,1
264.828,center_middle,1
265.068,center_left,1
266.624,center_middle,1
269.696,center_left,1
270.967,left_wall,1
275.307,upper_wall,1
281.744,upper_middle,1
281.985,upper_right,1
283.541,center_right,1
285.077,lower_right,1
285.315,lower_middle,1
288.15,lower_wall,1
288.918,lower_middle,1
290.187,center_middle,1
291.721,upper_middle,1
291.988,upper_left,1
292.992,upper_middle,1
295.297,center_middle,1
296.065,center_right,1
297.36,right_wall,1
301.966,upper_wall,1
302.465,upper_right,1
302.998,upper_middle,1
304.267,center_middle,1
305.301,lower_middle,1
328.085,center_middle,1
330.893,center_right,1
332.161,center_middle,1
332.693,lower_middle,1
360.323,center_middle,1
361.859,upper_middle,1
362.125,upper_left,1
363.659,upper_middle,1
364.16,center_middle,1
364.929,center_right,1
365.962,lower_middle,1
371.334,center_middle,1
381.077,center_right,1
381.577,center_middle,1
383.112,lower_right,1
384.148,lower_middle,1
385.416,lower_wall,1
389.782,lower_middle,1
391.317,lower_left,1
392.086,center_left,1
392.854,left_wall,1
395.658,lower_left,1
396.427,lower_middle,1
413.844,lower_right,1
415.111,right_wall,1
416.646,center_right,1
417.941,lower_right,1
418.181,lower_middle,1
419.716,center_middle,1
420.751,center_left,1
422.785,center_middle,1
425.354,lower_middle,1
441.238,center_middle,1
442.505,upper_middle,1
444.544,upper_left,1
446.342,left_wall,1
447.638,upper_wall,1
450.709,upper_right,1
453.517,center_right,1
454.55,right_wall,1
455.051,center_right,1
456.085,lower_right,1
459.922,center_right,1
460.16,center_middle,1
466.83,lower_middle,1
468.365,center_middle,1
473.236,lower_middle,1
477.608,center_middle,1
478.636,upper_middle,1
482.979,upper_right,1
484.012,upper_wall,1
487.083,upper_right,1
487.584,upper_middle,1
488.854,center_middle,1
489.886,center_left,1
492.189,lower_left,1
492.695,lower_middle,1
494.491,lower_wall,1
499.363,right_wall,1
501.665,lower_right,1
503.467,lower_middle,1
514.475,center_middle,1
516.246,upper_left,1
517.281,upper_wall,1
517.782,upper_left,1
519.083,center_left,1
520.086,lower_left,1
521.384,lower_wall,1
523.688,lower_middle,1
526.756,center_middle,1
527.788,upper_middle,1
531.362,center_middle,1
534.431,center_right,1
535.198,upper_right,1
536.47,upper_middle,1
537.767,center_middle,1
538.268,center_left,1
539.804,left_wall,1
541.099,center_left,1
542.635,center_middle,1
544.407,center_right,1
545.442,lower_right,1
546.209,right_wall,1
549.783,lower_wall,1
562.326,right_wall,1
564.128,lower_right,1
564.629,center_right,1
565.662,center_middle,1
570.028,lower_left,1
572.069,center_left,1
572.331,center_middle,1
583.34,center_right,1
585.382,lower_right,1
592.021,center_right,1
593.056,right_wall,1
595.861,upper_right,1
597.161,center_right,1
598.696,lower_right,1
601.498,lower_wall,1
629.833,END,0
