time,code,class
0,center_middle,1
1.325,lower_middle,1
4.993,lower_wall,1
5.66,lower_middle,1
7.34,lower_left,1
8.255,center_left,1
8.475,left_wall,1
12.169,upper_wall,1
52.823,left_wall,1
100.587,upper_wall,1
106.162,left_wall,1
107.729,center_left,1
108.034,center_middle,1
109.898,lower_middle,1
157.98,center_middle,1
159.532,upper_middle,1
160.449,upper_wall,1
166.679,upper_right,1
168.855,upper_wall,1
171.968,upper_middle,1
173.209,upper_left,1
174.146,left_wall,1
177.259,lower_wall,1
181.304,lower_left,1
183.149,lower_middle,1
187.778,lower_right,1
188.716,lower_wall,1
193.368,lower_middle,1
195.223,center_left,1
196.161,left_wall,1
200.834,upper_wall,1
203.628,upper_middle,1
204.886,upper_wall,1
205.825,upper_middle,1
207.062,center_middle,1
208.601,lower_middle,1
228.182,center_middle,1
229.401,center_right,1
230.018,upper_right,1
230.957,upper_wall,1
232.493,upper_right,1
233.121,upper_middle,1
233.73,center_middle,1
234.357,lower_middle,1
242.131,lower_wall,1
243.693,lower_middle,1
251.8,center_middle,1
252.717,center_left,1
255.49,lower_left,1
256.427,left_wall,1
259.222,lower_wall,1
316.333,lower_left,1
318.806,lower_middle,1
336.172,lower_wall,1
338.327,left_wall,1
341.463,upper_wall,1
347.97,upper_left,1
350.445,left_wall,1
356.013,center_left,1
357.27,center_middle,1
358.21,lower_middle,1
362.562,center_middle,1
364.119,upper_middle,1
364.119,upper_right,1
364.752,upper_wall,1
370.923,right_wall,1
373.08,center_right,1
373.997,lower_middle,1
376.472,center_middle,1
378.334,upper_left,1
379.268,center_left,1
380.504,upper_left,1
381.462,upper_wall,1
386.741,left_wall,1
391.084,upper_left,1
393.559,upper_wall,1
598.871,left_wall,1
655.98,END,0
