time,code,class
0,center_middle,1
1.3,center_right,1
2.569,upper_right,1
2.902,upper_middle,1
3.842,upper_wall,1
5.44,left_wall,1
6.103,upper_wall,1
9.943,right_wall,1
14.081,upper_wall,1
20.163,upper_right,1
21.122,center_right,1
21.762,right_wall,1
22.421,lower_wall,1
30.096,left_wall,1
32.002,upper_wall,1
36.802,right_wall,1
38.405,upper_right,1
39.04,upper_middle,1
39.682,upper_wall,1
41.941,left_wall,1
43.542,lower_wall,1
51.852,left_wall,1
57.289,lower_wall,1
62.094,lower_middle,1
63.063,lower_wall,1
65.297,right_wall,1
68.502,upper_right,1
69.135,upper_middle,1
69.769,upper_left,1
73.941,center_left,1
74.242,lower_left,1
75.207,lower_wall,1
77.778,lower_left,1
79.044,center_left,1
79.917,upper_left,1
80.247,upper_wall,1
82.178,upper_middle,1
83.757,center_middle,1
86.018,lower_middle,1
88.254,center_middle,1
88.556,center_right,1
89.856,right_wall,1
90.491,lower_wall,1
96.237,left_wall,1
100.098,upper_wall,1
108.075,upper_right,1
108.409,upper_wall,1
112.578,upper_middle,1
113.515,center_middle,1
115.449,upper_left,1
118.319,center_left,1
120.254,left_wall,1
120.555,lower_wall,1
124.397,right_wall,1
127.597,upper_right,1
129.529,upper_middle,1
131.13,upper_left,1
132.398,center_left,1
134.969,lower_middle,1
135.601,lower_left,1
138.806,left_wall,1
143.917,upper_wall,1
146.178,upper_left,1
146.813,upper_wall,1
153.854,right_wall,1
155.756,lower_wall,1
163.436,lower_right,1
164.397,lower_middle,1
165.697,lower_right,1
166.637,center_middle,1
167.601,upper_middle,1
167.935,upper_right,1
168.237,upper_wall,1
177.517,left_wall,1
180.716,center_left,1
182.648,lower_left,1
183.617,lower_middle,1
185.218,center_left,1
186.487,upper_middle,1
186.818,upper_right,1
188.088,right_wall,1
189.355,lower_wall,1
200.898,lower_left,1
203.135,center_left,1
204.403,left_wall,1
205.372,upper_wall,1
207.608,left_wall,1
214.317,lower_wall,1
222.955,lower_middle,1
223.923,lower_left,1
224.558,center_left,1
225.524,center_middle,1
226.796,upper_middle,1
228.095,upper_right,1
229.996,upper_wall,1
243.777,left_wall,1
247.613,upper_left,1
249.515,center_middle,1
251.45,lower_middle,1
252.417,lower_right,1
253.686,lower_wall,1
259.458,right_wall,1
264.898,upper_wall,1
269.677,right_wall,1
272.239,lower_wall,1
274.476,lower_middle,1
279.917,left_wall,1
282.483,lower_wall,1
287.618,right_wall,1
289.523,lower_right,1
289.855,lower_middle,1
291.458,center_middle,1
292.726,upper_middle,1
293.359,upper_wall,1
299.133,upper_middle,1
299.436,upper_right,1
300.399,center_right,1
301.368,right_wall,1
307.138,lower_right,1
307.775,lower_wall,1
311.278,lower_middle,1
311.916,lower_right,1
315.117,center_right,1
316.083,upper_right,1
317.051,upper_wall,1
326.657,left_wall,1
327.595,upper_left,1
329.53,left_wall,1
331.13,lower_wall,1
336.569,right_wall,1
339.772,lower_right,1
340.076,center_right,1
340.738,center_middle,1
341.677,upper_middle,1
342.641,upper_right,1
343.609,center_right,1
344.578,upper_right,1
345.212,right_wall,1
346.179,upper_wall,1
353.854,upper_right,1
354.818,upper_wall,1
355.454,upper_right,1
371.138,right_wall,1
373.039,lower_wall,1
378.811,lower_middle,1
380.08,lower_wall,1
386.818,right_wall,1
389.356,upper_wall,1
401.2,left_wall,1
412.411,lower_wall,1
417.216,lower_left,1
419.118,lower_middle,1
420.418,center_middle,1
420.721,center_left,1
422.957,left_wall,1
425.195,lower_wall,1
427.761,lower_left,1
428.397,lower_middle,1
429.696,center_left,1
430.33,upper_left,1
431.297,left_wall,1
432.236,upper_left,1
432.566,upper_middle,1
433.2,upper_wall,1
439.938,right_wall,1
444.076,upper_right,1
446.978,center_right,1
447.279,center_middle,1
448.247,lower_middle,1
449.516,lower_left,1
450.816,lower_wall,1
456.557,lower_middle,1
459.457,lower_wall,1
460.726,right_wall,1
461.36,center_right,1
461.995,upper_right,1
462.636,upper_middle,1
464.563,upper_left,1
469.035,upper_wall,1
470.336,upper_left,1
470.637,upper_middle,1
471.937,center_middle,1
475.442,lower_middle,1
476.076,center_middle,1
478.316,center_left,1
479.612,left_wall,1
481.517,upper_wall,1
487.921,left_wall,1
489.196,upper_wall,1
497.197,upper_left,1
498.498,upper_wall,1
517.356,left_wall,1
521.52,center_left,1
523.757,lower_left,1
525.997,lower_wall,1
529.529,right_wall,1
531.764,upper_right,1
535.298,upper_middle,1
535.298,upper_wall,1
542.007,upper_right,1
542.975,right_wall,1
545.211,lower_wall,1
551.918,lower_left,1
552.886,lower_wall,1
561.527,lower_left,1
562.496,left_wall,1
566.332,lower_left,1
568.236,center_left,1
568.877,center_middle,1
572.406,upper_middle,1
573.677,upper_wall,1
577.844,upper_middle,1
579.446,upper_left,1
581.048,upper_wall,1
584.557,left_wall,1
589.357,center_left,1
590.657,upper_left,1
591.597,upper_middle,1
592.558,upper_wall,1
597.037,upper_right,1
598.635,upper_middle,1
602.167,upper_wall,1
611.287,END,0
