time,code,class
32.016,center_middle,1
34.578,lower_middle,1
35.106,lower_wall,1
37.919,left_wall,1
41.49,upper_wall,1
42.521,left_wall,1
48.16,upper_wall,1
54.302,right_wall,1
56.338,lower_wall,1
68.116,lower_left,1
68.884,center_middle,1
69.651,upper_middle,1
70.178,upper_right,1
71.715,right_wall,1
73.252,upper_right,1
73.751,upper_wall,1
84.765,left_wall,1
86.799,upper_wall,1
101.649,right_wall,1
103.45,lower_wall,1
123.406,left_wall,1
127.775,upper_wall,1
136.483,upper_left,1
138.256,center_left,1
139.023,left_wall,1
140.05,lower_wall,1
145.693,left_wall,1
152.098,upper_wall,1
166.945,right_wall,1
171.286,upper_right,1
171.81,center_right,1
172.821,lower_right,1
174.115,lower_wall,1
186.4,right_wall,1
191.005,upper_wall,1
202.515,upper_middle,1
203.551,center_middle,1
206.353,lower_middle,1
206.62,lower_left,1
207.386,lower_wall,1
211.225,left_wall,1
214.296,upper_wall,1
225.04,right_wall,1
226.837,upper_wall,1
230.942,upper_right,1
232.214,right_wall,1
233.247,lower_right,1
234.015,lower_wall,1
240.151,left_wall,1
244.495,center_left,1
245.282,center_middle,1
247.587,center_right,1
248.597,right_wall,1
251.163,lower_wall,1
254.999,right_wall,1
256.268,upper_right,1
256.803,upper_middle,1
257.57,upper_wall,1
262.174,upper_middle,1
262.943,center_middle,1
263.971,lower_middle,1
266.275,lower_wall,1
272.917,lower_middle,1
273.421,lower_right,1
273.954,right_wall,1
278.289,center_right,1
280.094,center_middle,1
281.122,lower_middle,1
281.627,lower_right,1
283.426,right_wall,1
291.872,center_right,1
292.13,lower_right,1
293.407,right_wall,1
294.173,center_right,1
295.203,lower_right,1
295.709,lower_middle,1
296.474,center_middle,1
297.244,center_left,1
298.01,left_wall,1
299.041,upper_left,1
300.049,left_wall,1
301.079,upper_left,1
306.191,center_left,1
306.45,center_middle,1
309.021,lower_middle,1
311.587,center_middle,1
311.824,center_left,1
312.355,left_wall,1
313.124,lower_wall,1
333.005,lower_middle,1
333.245,lower_left,1
334.015,center_left,1
334.778,upper_left,1
335.55,upper_wall,1
374.718,left_wall,1
378.56,lower_wall,1
391.372,lower_left,1
392.378,left_wall,1
393.408,lower_left,1
393.933,lower_wall,1
395.708,lower_left,1
396.478,center_middle,1
397.509,upper_right,1
399.811,upper_wall,1
400.846,upper_right,1
402.382,upper_middle,1
402.617,upper_left,1
403.386,left_wall,1
427.468,upper_wall,1
429.409,upper_wall,1
447.062,upper_left,1
448.091,center_left,1
449.363,lower_left,1
450.128,lower_middle,1
454.5,lower_left,1
454.999,lower_wall,1
463.202,left_wall,1
463.971,lower_left,1
464.739,center_left,1
465.747,upper_middle,1
466.512,upper_wall,1
467.546,upper_middle,1
468.049,upper_right,1
469.348,center_right,1
469.848,right_wall,1
472.655,center_right,1
473.424,upper_right,1
475.218,upper_wall,1
483.928,upper_right,1
485.968,upper_wall,1
488.034,upper_middle,1
488.802,upper_left,1
492.64,upper_middle,1
493.908,center_middle,1
502.348,center_left,1
503.38,lower_left,1
506.451,lower_wall,1
516.195,left_wall,1
520.271,upper_wall,1
536.148,right_wall,1
548.193,lower_wall,1
561.507,lower_left,1
562.275,center_left,1
563.28,upper_left,1
565.602,upper_wall,1
579.663,upper_middle,1
583.264,upper_right,1
584.532,center_right,1
588.634,upper_right,1
590.168,upper_wall,1
681.561,END,0
