time,code,class
31.275,center_middle,1
32.814,center_right,1
33.847,right_wall,1
35.113,lower_wall,1
41.015,left_wall,1
43.823,upper_left,1
44.591,upper_wall,1
48.696,left_wall,1
50.231,upper_wall,1
52.533,upper_middle,1
53.56,center_right,1
54.568,right_wall,1
55.864,upper_wall,1
75.558,upper_left,1
76.087,center_left,1
78.126,left_wall,1
79.657,lower_wall,1
88.633,left_wall,1
93.24,upper_wall,1
109.353,right_wall,1
110.391,upper_right,1
111.415,right_wall,1
112.693,lower_wall,1
114.224,lower_right,1
115.256,lower_middle,1
116.261,lower_wall,1
125.477,lower_left,1
126.244,left_wall,1
127.031,center_left,1
127.273,left_wall,1
129.074,upper_wall,1
132.145,upper_left,1
132.647,upper_middle,1
134.446,center_middle,1
137.515,lower_right,1
138.282,lower_wall,1
140.852,right_wall,1
148.53,upper_wall,1
154.168,upper_middle,1
154.405,upper_left,1
154.932,left_wall,1
158.507,lower_wall,1
166.949,right_wall,1
172.583,upper_right,1
173.092,upper_wall,1
177.188,upper_right,1
177.959,upper_middle,1
179.76,center_middle,1
186.404,center_left,1
187.433,lower_left,1
188.203,left_wall,1
193.337,upper_wall,1
204.852,left_wall,1
207.416,lower_left,1
208.183,lower_wall,1
211.494,right_wall,1
212.526,lower_wall,1
214.563,right_wall,1
217.398,upper_wall,1
226.873,left_wall,1
229.674,upper_left,1
244.521,center_middle,1
245.292,upper_right,1
246.056,center_right,1
247.094,lower_right,1
248.359,lower_wall,1
255.033,left_wall,1
265.514,lower_wall,1
271.151,lower_middle,1
272.185,lower_right,1
273.45,lower_wall,1
288.805,lower_right,1
289.833,lower_wall,1
291.895,left_wall,1
294.708,upper_wall,1
299.311,left_wall,1
304.682,lower_wall,1
308.789,lower_left,1
309.556,lower_middle,1
310.323,center_right,1
311.593,upper_right,1
312.888,right_wall,1
318.264,upper_right,1
321.572,center_right,1
322.87,lower_middle,1
324.405,lower_wall,1
328.744,right_wall,1
337.975,center_right,1
338.486,upper_right,1
341.286,upper_middle,1
350.761,upper_left,1
351.269,center_left,1
352.823,lower_left,1
356.403,lower_wall,1
362.806,lower_middle,1
364.581,lower_right,1
365.112,center_right,1
366.378,right_wall,1
370.484,lower_wall,1
380.194,right_wall,1
382.501,upper_wall,1
390.969,left_wall,1
392.236,upper_left,1
392.738,left_wall,1
397.368,lower_left,1
400.948,lower_wall,1
410.424,left_wall,1
422.438,upper_wall,1
430.904,upper_middle,1
432.681,center_middle,1
432.681,center_left,1
433.977,lower_left,1
434.983,left_wall,1
437.286,lower_wall,1
440.375,lower_middle,1
442.157,center_middle,1
442.679,upper_right,1
447.027,upper_middle,1
448.825,upper_wall,1
458.535,right_wall,1
463.141,center_right,1
463.912,right_wall,1
465.977,lower_right,1
469.282,lower_wall,1
481.83,right_wall,1
486.696,lower_wall,1
507.448,right_wall,1
523.571,center_right,1
525.103,upper_middle,1
528.676,upper_left,1
530.98,left_wall,1
533.047,upper_wall,1
539.685,left_wall,1
546.596,lower_left,1
548.133,lower_wall,1
583.224,lower_right,1
583.992,center_right,1
584.761,upper_right,1
588.601,upper_wall,1
597.545,upper_left,1
598.313,upper_wall,1
599.08,left_wall,1
603.947,center_left,1
604.453,lower_left,1
605.221,lower_wall,1
607.524,lower_middle,1
609.324,center_middle,1
609.59,center_right,1
611.384,right_wall,1
622.903,lower_wall,1
661.305,END,0
