time,code,class
34.179,center_middle,1
35.452,center_right,1
36.987,right_wall,1
38.783,lower_wall,1
44.685,right_wall,1
48.764,lower_wall,1
56.461,left_wall,1
61.069,upper_wall,1
66.446,upper_left,1
69.248,left_wall,1
72.077,lower_wall,1
78.725,left_wall,1
80.527,lower_left,1
81.294,center_left,1
82.296,upper_left,1
83.063,upper_wall,1
89.737,left_wall,1
93.308,upper_wall,1
101.005,right_wall,1
103.049,center_right,1
103.818,lower_right,1
105.351,lower_wall,1
118.157,left_wall,1
121.47,lower_wall,1
126.606,right_wall,1
128.141,lower_wall,1
144.761,right_wall,1
147.833,upper_wall,1
154.766,left_wall,1
156.801,upper_left,1
157.568,center_left,1
158.841,lower_left,1
161.676,lower_wall,1
163.143,lower_wall,1
168.014,left_wall,1
170.047,lower_left,1
171.341,center_left,1
171.582,center_middle,1
172.618,upper_middle,1
172.858,upper_right,1
173.884,upper_wall,1
181.061,right_wall,1
188.234,lower_right,1
189.261,lower_middle,1
190.009,lower_left,1
191.039,left_wall,1
196.409,upper_wall,1
202.046,upper_right,1
204.877,center_right,1
205.12,center_middle,1
207.181,lower_middle,1
208.455,lower_wall,1
230.207,lower_left,1
230.976,lower_middle,1
232.779,lower_right,1
234.813,lower_wall,1
237.115,lower_middle,1
238.152,lower_left,1
238.651,center_left,1
240.718,left_wall,1
244.795,upper_wall,1
248.396,upper_left,1
248.897,upper_middle,1
249.421,upper_right,1
250.432,right_wall,1
252.734,upper_right,1
254.269,center_right,1
254.534,center_middle,1
255.566,lower_middle,1
255.804,lower_left,1
257.438,left_wall,1
258.206,lower_wall,1
263.075,lower_middle,1
264.076,center_middle,1
264.611,center_right,1
266.381,right_wall,1
269.885,upper_wall,1
276.286,upper_right,1
276.556,upper_middle,1
277.822,upper_left,1
280.896,left_wall,1
282.43,upper_wall,1
295.501,left_wall,1
303.419,lower_left,1
304.448,lower_middle,1
305.983,lower_wall,1
320.57,right_wall,1
321.603,lower_right,1
323.404,center_middle,1
324.429,upper_middle,1
324.673,upper_left,1
326.208,upper_wall,1
331.577,left_wall,1
339.018,center_left,1
339.785,lower_left,1
340.554,lower_middle,1
341.582,lower_right,1
344.125,center_right,1
349.76,center_middle,1
350.029,lower_middle,1
352.567,center_right,1
354.125,upper_right,1
354.893,right_wall,1
356.933,upper_wall,1
374.589,left_wall,1
383.563,upper_left,1
384.065,center_left,1
386.125,left_wall,1
391.237,lower_wall,1
398.144,lower_left,1
399.946,left_wall,1
401.478,center_left,1
402.249,upper_left,1
403.017,left_wall,1
405.053,upper_left,1
406.35,upper_middle,1
408.653,center_middle,1
411.457,center_right,1
412.222,center_middle,1
420.166,upper_middle,1
421.966,upper_right,1
422.971,upper_wall,1
429.311,left_wall,1
432.91,upper_left,1
433.415,center_left,1
434.179,lower_left,1
434.446,left_wall,1
436.219,center_left,1
436.75,upper_left,1
440.229,upper_wall,1
441.785,upper_left,1
442.023,center_left,1
442.79,lower_left,1
443.558,lower_wall,1
450.998,lower_left,1
451.497,lower_middle,1
452.533,lower_wall,1
458.937,right_wall,1
466.348,upper_right,1
467.64,upper_middle,1
469.176,center_middle,1
473.017,lower_right,1
474.285,right_wall,1
477.354,upper_wall,1
494.007,upper_right,1
496.567,upper_middle,1
497.845,upper_left,1
498.61,center_left,1
499.62,left_wall,1
504.485,lower_wall,1
510.389,lower_left,1
513.46,lower_wall,1
517.029,lower_left,1
520.632,lower_middle,1
523.433,lower_left,1
524.47,center_left,1
525.738,upper_left,1
526.508,upper_wall,1
532.912,left_wall,1
542.389,lower_wall,1
569.512,left_wall,1
572.019,lower_wall,1
600.44,lower_left,1
601.208,center_left,1
602.744,upper_middle,1
604.281,upper_left,1
605.049,upper_wall,1
611.959,left_wall,1
640.12,lower_wall,1
642.661,lower_left,1
643.19,lower_wall,1
664.441,END,0
