time,code,class
29.133,center_middle,1
30.408,center_right,1
31.437,right_wall,1
33.741,upper_wall,1
35.016,upper_middle,1
36.284,center_middle,1
37.819,center_right,1
38.85,right_wall,1
40.122,lower_wall,1
43.962,right_wall,1
47.053,upper_right,1
48.063,upper_wall,1
49.594,upper_left,1
51.133,upper_wall,1
52.933,left_wall,1
54.968,upper_left,1
55.502,upper_middle,1
55.502,upper_middle,1
56.269,upper_right,1
56.269,upper_right,1
58.042,right_wall,1
58.829,upper_wall,1
64.206,upper_right,1
64.974,right_wall,1
67.514,lower_wall,1
74.956,left_wall,1
75.981,lower_wall,1
79.56,lower_left,1
80.59,left_wall,1
82.364,upper_wall,1
87.999,upper_middle,1
88.766,upper_left,1
89.804,left_wall,1
90.302,lower_wall,1
93.9,lower_middle,1
94.669,center_middle,1
96.206,upper_middle,1
97.212,upper_wall,1
99.513,left_wall,1
100.545,upper_wall,1
104.652,left_wall,1
105.677,upper_left,1
106.755,center_left,1
108.045,lower_left,1
109.321,lower_wall,1
115.462,right_wall,1
118.798,upper_wall,1
124.41,upper_left,1
128.009,upper_wall,1
133.646,left_wall,1
136.717,lower_wall,1
140.554,left_wall,1
143.621,lower_wall,1
146.691,lower_right,1
147.727,right_wall,1
149.499,lower_wall,1
156.17,right_wall,1
157.702,upper_wall,1
162.81,upper_middle,1
163.579,center_middle,1
164.347,lower_middle,1
165.113,lower_wall,1
175.886,lower_left,1
176.892,center_middle,1
177.659,center_right,1
179.195,upper_right,1
180.727,right_wall,1
181.498,upper_wall,1
186.893,left_wall,1
188.169,upper_left,1
188.936,center_left,1
189.196,center_middle,1
190.201,lower_middle,1
190.47,lower_right,1
191.237,lower_wall,1
193.542,right_wall,1
198.142,upper_wall,1
202.509,right_wall,1
205.396,upper_wall,1
208.724,upper_middle,1
209.756,center_left,1
211.024,lower_left,1
211.79,lower_wall,1
213.328,left_wall,1
215.125,lower_wall,1
227.674,left_wall,1
230.741,upper_wall,1
248.929,upper_left,1
250.464,center_left,1
251.733,lower_left,1
252.501,lower_middle,1
253.266,lower_right,1
254.563,center_right,1
255.833,right_wall,1
257.105,upper_right,1
258.136,upper_middle,1
259.406,upper_wall,1
264.278,upper_middle,1
266.338,center_left,1
267.615,lower_left,1
268.642,lower_wall,1
274.787,left_wall,1
279.89,left_wall,1
281.43,upper_wall,1
286.3,left_wall,1
288.332,center_left,1
289.368,center_middle,1
290.906,center_right,1
292.176,lower_right,1
292.436,right_wall,1
293.474,lower_wall,1
297.571,lower_middle,1
298.846,center_middle,1
306.516,lower_left,1
308.559,left_wall,1
310.114,center_left,1
310.882,upper_left,1
311.65,upper_wall,1
315.73,left_wall,1
318.298,lower_wall,1
323.17,lower_left,1
323.672,lower_middle,1
324.774,lower_middle,1
325.304,lower_right,1
326.305,right_wall,1
328.106,lower_right,1
328.872,lower_middle,1
329.639,lower_wall,1
348.33,left_wall,1
349.097,lower_left,1
351.399,left_wall,1
356.536,center_left,1
358.071,upper_middle,1
358.839,upper_wall,1
363.705,upper_right,1
364.713,upper_wall,1
380.857,upper_left,1
381.359,upper_middle,1
382.63,upper_right,1
384.166,right_wall,1
388.005,lower_wall,1
407.221,right_wall,1
408.248,lower_right,1
410.552,center_right,1
411.559,upper_middle,1
412.089,upper_wall,1
420.534,left_wall,1
421.559,upper_left,1
422.328,center_left,1
422.836,lower_left,1
423.601,lower_wall,1
434.853,lower_left,1
435.62,lower_middle,1
436.651,center_right,1
437.419,right_wall,1
438.953,upper_wall,1
441.252,upper_right,1
441.785,upper_middle,1
444.089,center_middle,1
445.625,lower_middle,1
446.392,lower_wall,1
449.459,right_wall,1
453.56,upper_wall,1
480.595,left_wall,1
486.23,upper_wall,1
493.406,right_wall,1
495.971,lower_wall,1
513.892,left_wall,1
514.66,lower_left,1
515.428,center_left,1
516.195,center_middle,1
516.963,upper_middle,1
517.2,upper_left,1
518.498,upper_wall,1
541.021,upper_left,1
546.896,upper_wall,1
557.906,right_wall,1
558.673,upper_right,1
559.704,center_right,1
560.47,lower_right,1
562.275,lower_wall,1
578.658,lower_left,1
579.424,center_left,1
580.961,upper_left,1
581.729,upper_wall,1
592.469,upper_left,1
596.047,upper_middle,1
598.879,center_middle,1
603.748,center_right,1
605.284,right_wall,1
607.056,lower_wall,1
610.657,lower_right,1
611.921,right_wall,1
621.904,upper_wall,1
626.003,upper_right,1
631.379,center_middle,1
631.907,lower_left,1
633.179,lower_wall,1
649.06,END,0
